manifest_row_id,schema_version,completeness,record_granularity,source_id,source_scope_id,source_family_id,source_directory,source_title,task,origin_kind,scientific_role,raw_sample_key,material_formula_key,specimen_key,run_key,curve_key,scalar_key,leakage_group_key,leakage_key_status,quality_status,weight_ceiling,current_weight_materialized,model_ready,specimen_count,run_count,curve_count,scalar_count,point_count,numeric_value_count,unit_status,license_status,dedup_status,source_locator,audit_basis,decision_basis,notes
manifest_1be536106d0d7b9cd012,v0.2,v0.1_frozen_source_aggregate,source,ds_smipoly_monomers,v0.1_snapshot_smipoly,family_smipoly,基础数据/smipoly_monomers.csv,SMiPoly公开单体示例,反应规则约束与虚拟候选生成,虚拟候选,迁移,v0.1_snapshot_smipoly,,,,,,family_smipoly,coarse_source_family,仅验证,0.0,False,False,0,0,0,0,0,0,不适用,allow_with_attribution,已分组,,05_数据库快照/TPU数据库_v0.1_快照.json,来源级聚合；候选计数不等于模型就绪数,"1,083 条来源记录规范化为 1,071 个候选结构；候选不是实验性能标签。"
manifest_b00ea1dfc41494afcdd1,v0.2,v0.1_frozen_source_aggregate,source,ds_pue326_dq,v0.1_snapshot_pue326,family_pue_dq_matimpute,代码仓库镜像/DQ/experiment/datasets/PUE.csv,DQ固定仓库发布,交联 PUE 变换后性质辅助,实验,迁移,v0.1_snapshot_pue326,,,,,,family_pue_dq_matimpute,coarse_source_family,隔离,0.0,False,False,0,0,0,326,0,0,未解析,manual_review,已分组,,05_数据库快照/TPU数据库_v0.1_快照.json,来源级聚合；候选计数不等于模型就绪数,326 行是同一母集的变换后辅助记录，原配方不可恢复，公开视图为 0 行。
manifest_33c1a8a5a59b3e2967fd,v0.2,v0.1_frozen_source_aggregate,source,ds_prepolymer_viscosity,v0.1_snapshot_prepolymer_viscosity,family_pugar_viscosity,代码仓库镜像/viscosity-modeling/ViscTempData.xlsx,PU预聚体黏度建模固定仓库发布,预聚体温度—黏度加工辅助,实验,迁移,v0.1_snapshot_prepolymer_viscosity,,,,,,family_pugar_viscosity,coarse_source_family,隔离,0.0,False,False,0,39,39,0,4559,4559,已解析,manual_review,未见精确重复,,05_数据库快照/TPU数据库_v0.1_快照.json,来源级聚合；候选计数不等于模型就绪数,39 个配方与 39 条温度—黏度曲线一一对应；许可未闭合。
manifest_9f2ecc30c5548dfdd784,v0.2,v0.1_frozen_source_aggregate,source,ds_eom_hbond_2021,v0.1_snapshot_eom_hbond,family_eom2021,外部数据/TPU_HBond_2021_Source_Main.xlsx,Eom 2021 TPU氢键Source Data,TPU 氢键—温度—力学与曲线派生,实验,TPU核心,v0.1_snapshot_eom_hbond,,,,,,family_eom2021,coarse_source_family,入选,1.0,False,False,0,53,53,19,25972,25991,部分已解析,allow_with_attribution,未见精确重复,,05_数据库快照/TPU数据库_v0.1_快照.json,来源级聚合；候选计数不等于模型就绪数,53 条曲线与 19 个作者标量已冻结；当前仅 16 条拉伸曲线产生 48 个合法派生端点。
manifest_e08d8529f59c66fc9b30,v0.2,source_aggregate_plus_evidence_groups,source,ledger_source_114,scope_acs_figshare_31989433_v1,family_co2_copolyester_puu,ACS_Figshare_二氧化碳共聚酯聚氨酯,Recyclable Thermoplastic Poly(urethane-urea)s with Enhanced Mechanical and Adhesive Properties Derived from CO2-Based Copolyesters,配方/合成/力学文献证据,证据,证据,scope_acs_figshare_31989433_v1,,,,,,family_co2_copolyester_puu,coarse_source_family,仅验证,0.0,False,False,0,0,0,0,0,0,不适用,manual_review,不适用,,01_原始数据/外部数据/新增开放数据/ACS_Figshare_二氧化碳共聚酯聚氨酯/内容审计摘要.json,来源级聚合；候选计数不等于模型就绪数,PDF 证据待双人录入
manifest_730e0039f9aa30ab0f0b,v0.2,source_aggregate_plus_evidence_groups,source,ledger_source_110,scope_acs_figshare_31429142_v1,family_furan_postdynamic_tpu,ACS_Figshare_呋喃高强聚氨酯,"High-Strength, Tough, Furan-Based Polyurethane Elastomers Achieving Performance and Functionality Upgrades through Postdynamic Cross-Linking",高强韧/耗散/恢复文献证据,证据,证据,scope_acs_figshare_31429142_v1,,,,,,family_furan_postdynamic_tpu,coarse_source_family,仅验证,0.0,False,False,0,0,0,0,0,0,不适用,manual_review,不适用,,01_原始数据/外部数据/新增开放数据/ACS_Figshare_呋喃高强聚氨酯/内容审计摘要.json,来源级聚合；候选计数不等于模型就绪数,6 个配方线索但无原始重复曲线
manifest_3fbdd039b8d0dc298f6f,v0.2,source_aggregate_plus_evidence_groups,source,ledger_source_116,scope_acs_figshare_32256977_v1,family_co2_polycarbonate_macrodiol_tpu,ACS_Figshare_聚碳酸酯大分子二醇TPU,One-Pot Synthesis of CO2-Based Polycarbonate Macrodiols: (Propylene Carbonate)/(Ethylene Carbonate) Composition Evolution Versus Physicochemical Performance,CO2 基大分子二醇—TPU性能证据,证据,证据,scope_acs_figshare_32256977_v1,,,,,,family_co2_polycarbonate_macrodiol_tpu,coarse_source_family,仅验证,0.0,False,False,0,0,0,0,0,0,不适用,manual_review,不适用,,01_原始数据/外部数据/新增开放数据/ACS_Figshare_聚碳酸酯大分子二醇TPU/内容审计摘要.json,来源级聚合；候选计数不等于模型就绪数,表头/脚注与重复编号待人工复原
manifest_3120cf286cfa101d28c8,v0.2,source_aggregate_plus_evidence_groups,source,ledger_source_112,scope_acs_figshare_31614502_v1,family_polyimide_upcycled_chain_extender,ACS_Figshare_聚酰亚胺回收链扩剂PU,Upcycling of Polyimide for the Preparation of a High-Performance Polyurethane Chain Extender,回收链扩剂—PU性能证据,证据,证据,scope_acs_figshare_31614502_v1,,,,,,family_polyimide_upcycled_chain_extender,coarse_source_family,仅验证,0.0,False,False,0,0,0,0,0,0,不适用,manual_review,不适用,,01_原始数据/外部数据/新增开放数据/ACS_Figshare_聚酰亚胺回收链扩剂PU/内容审计摘要.json,来源级聚合；候选计数不等于模型就绪数,5 个配方线索；二手比较表不作本研究样本
manifest_a8a80f832407db4f6e5f,v0.2,source_aggregate_plus_evidence_groups,source,ledger_source_118,scope_acs_figshare_32567339_v1,family_hbond_nanostructured_tpe,ACS_Figshare_氢键纳米结构TPU,Design of Sustainable and High Strength-Toughness Thermoplastic Elastomer via a Strong Hydrogen Bond-Reinforced Nanostructure,氢键程度—热/力学证据,证据,证据,scope_acs_figshare_32567339_v1,,,,,,family_hbond_nanostructured_tpe,coarse_source_family,仅验证,0.0,False,False,0,0,0,0,0,0,不适用,manual_review,不适用,,01_原始数据/外部数据/新增开放数据/ACS_Figshare_氢键纳米结构TPU/内容审计摘要.json,来源级聚合；候选计数不等于模型就绪数,7 个配方线索；破折号必须保留为缺失
manifest_d5b4efa4bee4edf725ae,v0.2,source_aggregate_plus_evidence_groups,source,ledger_source_106,scope_acs_figshare_29074233_v1,family_tpu_dual_phase_evolution,ACS_Figshare_双相演化聚氨酯,Capturing Robust and Tough Thermoplastic Polyurethane Elastomers via Engineering Dual-Phase Evolution Rather than Chain Extenders,双相演化—氢键—力学证据,证据,证据,scope_acs_figshare_29074233_v1,,,,,,family_tpu_dual_phase_evolution,coarse_source_family,仅验证,0.0,False,False,0,0,0,0,0,0,不适用,manual_review,不适用,,01_原始数据/外部数据/新增开放数据/ACS_Figshare_双相演化聚氨酯/内容审计摘要.json,来源级聚合；候选计数不等于模型就绪数,5 个配方线索；无原始曲线
