queue_rank,formulation_id,combination_id,diisocyanate_id,diisocyanate_smiles,macrodiol_proxy_id,macrodiol_proxy_smiles,chain_extender_id,chain_extender_smiles,macrodiol_nominal_mn_g_mol,hard_segment_mass_fraction_target,nco_oh_ratio_target,total_structure_review_alert_count,procurement_status,ehs_status,literature_novelty_status,experimental_eligibility,dft_stage,dft_protocol_id,dft_calculation_status,dft_input_status,md_stage,md_block_reason,queue_selection_basis,performance_claim_status,citation_keys
1,formulation_0094c4144426e57f,combo_a6db4d5cb8f9f84b,polyuniverse_dinco_7416e04e1592ed966a70,O=C=NCC1COC(CN=C=O)O1,chemical_1f862d0fb910ec42,Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1,chemical_75fb481cd45cc100,CCCCC(CC)(CO)CO,2000,0.45,1.02,2,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
2,formulation_15c071355412fe2d,combo_09f3fe134ab55878,polyuniverse_dinco_569c13453ff070989050,[C-]#[N+]c1cc2c(N=C=O)c(C#N)c(C#N)cc2c(N=C=O)c1[N+]#[C-],chemical_6364c045bd73da83,Oc1cccc(Oc2ccc(Oc3cccc(O)c3)cc2)c1,chemical_5be20976c2a9d662,Oc1c(F)c(F)c(O)c(F)c1F,2000,0.45,1.02,5,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
3,formulation_18123b8fa6d8c211,combo_ea8276fc8d74cc19,polyuniverse_dinco_07a134f8e87f85791f77,O=C=NC1CCCC2C3CCC2C1(N=C=O)C3,chemical_5e814be594638bdc,OCCCCCCCCCCCCCCCCO,chemical_551a139d1b44a292,OC12CC3CC(C1)CC(O)(C3)C2,2000,0.45,1.02,1,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
4,formulation_fe9da0192caee395,combo_218eb8068e57083a,polyuniverse_dinco_c842b8dc271bd83c79bd,CC1C(C)C(N=C=O)C(C)(C)C(C)C1N=C=O,chemical_3a566be4d64035e3,Oc1ccc(-c2ccc(O)c(Br)c2)cc1Br,chemical_831d24f7368b3f75,Cc1cc(-c2cc(C)c(O)c(C)c2)cc(C)c1O,2000,0.45,1.02,4,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
5,formulation_f4acd4ef4d5d7e2f,combo_26dc7353ef6eed40,polyuniverse_dinco_4bd62448d543828bc87c,CC(C)CC(CC(C)C)(CC(CC(C)C)(CC(C)C)N=C=O)N=C=O,chemical_a2cf8157d0f77432,OC(c1cccc(C(O)(C(F)(F)F)C(F)(F)F)c1)(C(F)(F)F)C(F)(F)F,chemical_48e0f37b8f35d22d,Cc1c(C)c(CO)c(C)c(C)c1CO,2000,0.45,1.02,4,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
6,formulation_e50622a381df8455,combo_dffbf92bd9f549cf,polyuniverse_dinco_0321877a48fd93e2fb7d,CCC(N=C=O)OCC(C)(C)COC(CC)N=C=O,chemical_5e814be594638bdc,OCCCCCCCCCCCCCCCCO,chemical_ca5e105838153c99,CCC(CO)CC(CC)CO,2000,0.45,1.02,1,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
7,formulation_461e1747022352ae,combo_4a2e219998ec9f70,polyuniverse_dinco_055819dc5371734047d1,N#COC1CCC(CC2CCC(N=C=O)C(CC3CCC(N=C=O)CC3)C2)CC1,chemical_e34b1bd2b88ad439,CC(C)(c1ccc(O)c(C2CCCCC2)c1)c1ccc(O)c(C2CCCCC2)c1,chemical_6ee30a16c1c450ed,OC1CCCCC1O,2000,0.45,1.02,2,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
8,formulation_4b44e10195f031ce,combo_3b600f8fa7ac9162,polyuniverse_dinco_f93d4f580beca33f9619,O=C=Nc1cc(N=C=O)cc(OCCCCc2ccco2)c1,chemical_e4aa17432292bb19,Cc1cc2c(cc1O)C(C)(C)CC1(CC(C)(C)c3cc(O)c(C)cc3O1)O2,chemical_f25ee56de4366915,O=[N+]([O-])c1cc(CO)ccc1CO,2000,0.45,1.02,4,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
9,formulation_260f7c21bbd0186d,combo_48c965e9f414b6a7,polyuniverse_dinco_01a65934dd666174775c,O=C=NCCC1CC2CC1C1CCC(CCN=C=O)C21,chemical_ff8d497a35fecaa4,OC(C(F)(F)F)(C(F)(F)F)C(O)(C(F)(F)F)C(F)(F)F,chemical_16bdee252ed11d7a,CC(O)C(C)O,2000,0.45,1.02,2,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
10,formulation_937be1595bc40ecf,combo_6363155d10a46ba8,polyuniverse_dinco_ba183439d0e722cfbeb8,O=C=Nc1ccc(C(c2ccc(N=C=O)cc2)n2ccnc2)cc1,chemical_694871d5e95b7370,Oc1c(F)c(F)c(-c2c(F)c(F)c(O)c(F)c2F)c(F)c1F,chemical_16bdee252ed11d7a,CC(O)C(C)O,2000,0.45,1.02,4,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
