candidate_id,component_class,source_id,source_family_id,source_citation_key,preferred_name,canonical_smiles,molecular_weight_calculated_g_mol,isocyanate_group_count,hydroxyl_group_count,heavy_atom_count,ring_count,aromatic_atom_fraction,rotatable_bond_count,rdkit_mol_weight_g_mol,non_isocyanate_carbonyl_count,side_chain_multiple_bond_count,isocyanate_attachment_count,has_isotope_label,allowed_element_set,diversity_selection_rank,selection_status,selection_reason,experimental_status,license_spdx,license_status
chemical_28a648027cd37607,chain_extender_diol,ds_smipoly_monomers,family_smipoly,ledger-007-smipoly-2023,"nonane-1,9-diol",OCCCCCCCCCO,160.257,0,2,11,0,0,8,160.257,0,0,0,False,True,1,selected_for_virtual_formulation_space,通过原型结构门；Morgan-Tanimoto最大最小多样性抽样,未采购未合成；需路线、EHS与供应复核,BSD-3-Clause,allow_with_attribution
chemical_dd2ebb8c8aeed446,chain_extender_diol,ds_smipoly_monomers,family_smipoly,ledger-007-smipoly-2023,"naphthalene-1,6-diol",Oc1ccc2c(O)cccc2c1,160.172,0,2,12,2,0.833333,0,160.172,0,0,0,False,True,2,selected_for_virtual_formulation_space,通过原型结构门；Morgan-Tanimoto最大最小多样性抽样,未采购未合成；需路线、EHS与供应复核,BSD-3-Clause,allow_with_attribution
chemical_551a139d1b44a292,chain_extender_diol,ds_smipoly_monomers,family_smipoly,ledger-007-smipoly-2023,"adamantane-1,3-diol",OC12CC3CC(C1)CC(O)(C3)C2,168.236,0,2,12,4,0,0,168.236,0,0,0,False,True,3,selected_for_virtual_formulation_space,通过原型结构门；Morgan-Tanimoto最大最小多样性抽样,未采购未合成；需路线、EHS与供应复核,BSD-3-Clause,allow_with_attribution
chemical_16bdee252ed11d7a,chain_extender_diol,ds_smipoly_monomers,family_smipoly,ledger-007-smipoly-2023,"butane-2,3-diol",CC(O)C(C)O,90.122,0,2,6,0,0,1,90.122,0,0,0,False,True,4,selected_for_virtual_formulation_space,通过原型结构门；Morgan-Tanimoto最大最小多样性抽样,未采购未合成；需路线、EHS与供应复核,BSD-3-Clause,allow_with_attribution
chemical_5be20976c2a9d662,chain_extender_diol,ds_smipoly_monomers,family_smipoly,ledger-007-smipoly-2023,"2,3,5,6-tetrafluorobenzene-1,4-diol",Oc1c(F)c(F)c(O)c(F)c1F,182.072,0,2,12,1,0.5,0,182.072,0,0,0,False,True,5,selected_for_virtual_formulation_space,通过原型结构门；Morgan-Tanimoto最大最小多样性抽样,未采购未合成；需路线、EHS与供应复核,BSD-3-Clause,allow_with_attribution
chemical_2dad29ca9d88607e,chain_extender_diol,ds_smipoly_monomers,family_smipoly,ledger-007-smipoly-2023,4-(4-hydroxycyclohexyl)cyclohexan-1-ol,OC1CCC(C2CCC(O)CC2)CC1,198.306,0,2,14,2,0,1,198.306,0,0,0,False,True,6,selected_for_virtual_formulation_space,通过原型结构门；Morgan-Tanimoto最大最小多样性抽样,未采购未合成；需路线、EHS与供应复核,BSD-3-Clause,allow_with_attribution
chemical_3635aefc1005d8ad,chain_extender_diol,ds_smipoly_monomers,family_smipoly,ledger-007-smipoly-2023,"2,5-dimethylhexane-2,5-diol",CC(C)(O)CCC(C)(C)O,146.23,0,2,10,0,0,3,146.23,0,0,0,False,True,7,selected_for_virtual_formulation_space,通过原型结构门；Morgan-Tanimoto最大最小多样性抽样,未采购未合成；需路线、EHS与供应复核,BSD-3-Clause,allow_with_attribution
chemical_f25ee56de4366915,chain_extender_diol,ds_smipoly_monomers,family_smipoly,ledger-007-smipoly-2023,[4-(hydroxymethyl)-3-nitrophenyl]methanol,O=[N+]([O-])c1cc(CO)ccc1CO,183.163,0,2,13,1,0.461538,3,183.163,0,0,0,False,True,8,selected_for_virtual_formulation_space,通过原型结构门；Morgan-Tanimoto最大最小多样性抽样,未采购未合成；需路线、EHS与供应复核,BSD-3-Clause,allow_with_attribution
chemical_7eec20377145fdb7,chain_extender_diol,ds_smipoly_monomers,family_smipoly,ledger-007-smipoly-2023,"2,2,4,4-tetramethylcyclobutane-1,3-diol",CC1(C)C(O)C(C)(C)C1O,144.214,0,2,10,1,0,0,144.214,0,0,0,False,True,9,selected_for_virtual_formulation_space,通过原型结构门；Morgan-Tanimoto最大最小多样性抽样,未采购未合成；需路线、EHS与供应复核,BSD-3-Clause,allow_with_attribution
chemical_ca5e105838153c99,chain_extender_diol,ds_smipoly_monomers,family_smipoly,ledger-007-smipoly-2023,"2,4-diethylpentane-1,5-diol",CCC(CO)CC(CC)CO,160.257,0,2,11,0,0,6,160.257,0,0,0,False,True,10,selected_for_virtual_formulation_space,通过原型结构门；Morgan-Tanimoto最大最小多样性抽样,未采购未合成；需路线、EHS与供应复核,BSD-3-Clause,allow_with_attribution
