stable_component_id,preferred_name,synonym,role,identity_kind,canonical_smiles,repeat_unit,nominal_mn_g_mol,cas_or_product_grade,supplier_or_manufacturer,evidence_url,accessed_date,synthesis_feasibility_status,commercial_evidence_status,ehs_review_status,source_scope,priority_class,notes
commercial_mdi_44,"4,4'-MDI","4,4'-Methylenediphenyl diisocyanate",diisocyanate,discrete_substance,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,,,101-68-8 / Desmodur 44 MC FLAKES,Covestro,https://solutions.covestro.com/en/products/Desmodur/Desmodur-44-MC-FLAKES_000000000004833899,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,control_aromatic,"Manufacturer page states monomeric 4,4'-MDI and polyurethane use; regional quotation still required."
commercial_ipdi,IPDI,Isophorone diisocyanate,diisocyanate,discrete_substance,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,,,4098-71-9 / Desmodur I,Covestro,https://solutions.covestro.com/en/products/desmodur/desmodur-i_000000000000480770,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,control_light_stable,Manufacturer product page and specification; exact structure also indexed by PubChem CID 169132.
commercial_h12mdi,H12MDI,HMDI / hydrogenated MDI,diisocyanate,discrete_substance,O=C=NC1CCC(CC1)CC2CCC(CC2)N=C=O,,,5124-30-1 / Desmodur W,Covestro,https://solutions.covestro.com/ja/products/desmodur/desmodur-w_000000000005907551,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,comparison_light_stable,Manufacturer page lists CAS and product specification; isomer mixture must be recorded by lot.
commercial_hdi,HDI,"1,6-Hexamethylene diisocyanate",diisocyanate,discrete_substance,O=C=NCCCCCCN=C=O,,,822-06-0 / Desmodur H,Covestro,https://solutions.covestro.com/de/products/desmodur/desmodur-h_000000000000409340,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,comparison_flexible_aliphatic,Manufacturer page lists CAS and assay; monomer volatility and inhalation controls require special review.
commercial_ptmg_1000,PTMG-1000,PolyTHF 1000,macrodiol,commercial_polyol_grade,,HO-[(CH2)4-O]n-H,1000,25190-06-1 / PolyTHF 1000,BASF,https://chemicals.basf.com/global/en/Intermediates/Product_groups/PolyTHF,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,control_soft_segment,Commercial polymer grade; preserve OH number Mn Mw PDI water and lot COA instead of a single-molecule SMILES.
commercial_ptmg_2000,PTMG-2000,PolyTHF 2000,macrodiol,commercial_polyol_grade,,HO-[(CH2)4-O]n-H,2000,25190-06-1 / PolyTHF 2000,BASF,https://chemicals.basf.com/global/en/Intermediates/Product_groups/PolyTHF,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,control_soft_segment,Commercial polymer grade; preserve OH number Mn Mw PDI water and lot COA instead of a single-molecule SMILES.
commercial_bdo_14,"1,4-BDO","Butane-1,4-diol",chain_extender,discrete_substance,OCCCCO,,,"110-63-4 / 1,4-Butanediol",BASF,https://products.basf.com/global/en/ci/1-4-butanediol,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,control_chain_extender,Manufacturer page explicitly lists polyurethane use and bulk packaging; laboratory pack quotation still required.
commercial_tdi_24,"2,4-TDI","Toluene 2,4-diisocyanate",diisocyanate,discrete_substance,CC1=C(C=C(C=C1)N=C=O)N=C=O,,,584-84-9 / Desmodur T 100,Covestro,https://solutions.covestro.com/zh/products/desmodur/desmodur-t-100_000000000004476549,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,comparison_aromatic_high_reactivity,"Manufacturer product page identifies pure 2,4-TDI; severe inhalation and sensitization controls required."
commercial_ndi_15,"1,5-NDI","1,5-Naphthalene diisocyanate",diisocyanate,discrete_substance,C1=CC2=C(C=CC=C2N=C=O)C(=C1)N=C=O,,,3173-72-6 / Desmodur 15,Covestro,https://solutions.covestro.com/en/highlights/articles/theme/product-technology/ndi-based-elastomers,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,restricted_specialty_elastomer,Commercial specialty route may require licensed processing and elevated-temperature handling.
commercial_pdi_15,"1,5-PDI","Pentamethylene diisocyanate",diisocyanate,discrete_substance,C(CCN=C=O)CCN=C=O,,,4538-42-5 / Desmodur CQ PDI,Covestro,https://solutions.covestro.com/en/products/desmodur/desmodur-cq-pdi_000000000086764814,2026-08-24,established_or_standard_route,catalog_or_manufacturer_evidence,requires_human_sds_review,added_commercial_control,regional_quote_required,Manufacturer page exists but product availability is market-dependent.
