candidate_id,component_role,ensemble_status,task_index,canonical_smiles,geometry_status,inchi_key,molecular_formula,rdkit_mol_weight,query_status,pubchem_cid,pubchem_vendor_record_count,pubchem_distinct_vendor_count,pubchem_vendor_names,catalog_prefilter_status,queried_utc,pubchem_vendor_hit,molbloom_hit,molbloom_catalog,smallworld_hit,smallworld_result_count,emolecules_exact_url,catalog_signal_count,unified_catalog_status,direct_commercial_evidence_status,experiment_release_status,experimental_gate_status,experimental_gate_reason,allowed_use
chemical_16bdee252ed11d7a,chain_extender,complete,0,CC(O)C(C)O,ready,OWBTYPJTUOEWEK-UHFFFAOYSA-N,C4H10O2,90.122,completed,262.0,133,69.0,"001Chemical;10X CHEM;1st Scientific;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Achemtek;Acmec Biochemical;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Allbio Pharm Co., Ltd;Ambeed;Angel Pharmatech Ltd.;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;Biosynth;CAPOT;CATO Research Chemicals Inc.;Chem-Impex;Chem-Space.com Database;Chemenu Inc.;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;Debye Scientific Co., Ltd;Enamine;EvitaChem;Finetech Industry Limited;Fluorochem;Hairui Chemical;INTERBIOSCREEN;InvivoChem;J&H Chemical Co.,ltd;LGC Standards;Life Chemicals;Matrix Scientific;Mcule;MedChemexpress MCE;MolCore;Molport;MuseChem;Oakwood Products;Quality Control Solutions (QCS Standards);RR Scientific;Selleck Chemicals;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;SynQuest Laboratories;Synblock Inc;TCI (Tokyo Chemical Industry);TargetMol;Thermo Fisher Scientific;VladaChem;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:23.084837+00:00,True,False,zinc-instock-mini,False,0,https://www.emolecules.com/search/?q=CC%28O%29C%28C%29O&t=1,1,single_catalog_signal,required,blocked_pending_quote_sds_and_local_approval,blocked,direct_manufacturer_or_catalog_identity_not_verified,model_training_and_quantum_reference
chemical_1ace6e6abb3b5be3,chain_extender,complete,1,Oc1ccc(O)c2c1C1CCC2C1,ready,JYHNNCBQCSLFQM-UHFFFAOYSA-N,C11H12O2,176.21499999999995,completed,85967.0,44,39.0,"001Chemical;10X CHEM;1st Scientific;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Alfa Chemistry;Angel Pharmatech Ltd.;Angene Chemical;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;CATO Research Chemicals Inc.;Chem-Space.com Database;Chemenu Inc.;ChemoSapiens;Cooke Chemical Co., Ltd;CymitQuimica;Finetech Industry Limited;Fluorochem;Hairui Chemical;J&H Chemical Co.,ltd;Key Organics/BIONET;Mcule;MolCore;Molport;MuseChem;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;TCI (Tokyo Chemical Industry);TargetMol;TimTec;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:26.634807+00:00,True,False,zinc-instock-mini,False,0,https://www.emolecules.com/search/?q=Oc1ccc%28O%29c2c1C1CCC2C1&t=1,1,single_catalog_signal,required,blocked_pending_quote_sds_and_local_approval,blocked,direct_manufacturer_or_catalog_identity_not_verified,model_training_and_quantum_reference
chemical_28a648027cd37607,chain_extender,complete,2,OCCCCCCCCCO,ready,ALVZNPYWJMLXKV-UHFFFAOYSA-N,C9H20O2,160.257,completed,19835.0,79,67.0,"001Chemical;10X CHEM;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;Acmec Biochemical;Activate Scientific;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Ambinter;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;Biosynce Pharmatech;Biosynth;CATO Research Chemicals Inc.;Chem-Space.com Database;Chemenu Inc.;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;DSL Chemicals;Debye Scientific Co., Ltd;Enamine;Finetech Industry Limited;Fluorochem;Frinton Laboratories;Hairui Chemical;InvivoChem;J&H Chemical Co.,ltd;Key Organics/BIONET;LGC Standards;Matrix Scientific;Mcule;MolCore;Molport;MuseChem;Oakwood Products;Pi Chemicals;RR Scientific;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;Synthonix, Inc.;TCI (Tokyo Chemical Industry);TargetMol;Thermo Fisher Scientific;Thoreauchem;TimTec;VladaChem;Win-Win Chemical;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:30.351159+00:00,True,True,zinc-instock-mini,False,0,https://www.emolecules.com/search/?q=OCCCCCCCCCO&t=1,2,multiple_catalog_signals,required,blocked_pending_quote_sds_and_local_approval,blocked,direct_manufacturer_or_catalog_identity_not_verified,model_training_and_quantum_reference
chemical_2a0d22152800ae85,chain_extender,complete,3,Oc1ccc(Oc2ccc(O)cc2)cc1,ready,NZGQHKSLKRFZFL-UHFFFAOYSA-N,C12H10O3,202.209,completed,16069.0,66,57.0,"001Chemical;10X CHEM;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;Accel Scientific;Accela ChemBio Inc.;Acmec Biochemical;Activate Scientific;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Ambinter;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;Biosynth;CAPOT;CATO Research Chemicals Inc.;Chem-Space.com Database;ChemFish Tokyo Co., Ltd.;Chemenu Inc.;ChemoSapiens;Combi-Blocks;CymitQuimica;DSL Chemicals;Debye Scientific Co., Ltd;Enamine;Fluorochem;Hairui Chemical;Hunan Chemfish Pharmaceutical Co., Ltd.;J&H Chemical Co.,ltd;Key Organics/BIONET;LGC Standards;Mcule;MolCore;Molport;MuseChem;Oakwood Products;Pi Chemicals;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;TCI (Tokyo Chemical Industry);TimTec;VladaChem;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:33.093132+00:00,True,True,zinc-instock-mini,False,0,https://www.emolecules.com/search/?q=Oc1ccc%28Oc2ccc%28O%29cc2%29cc1&t=1,2,multiple_catalog_signals,required,blocked_pending_quote_sds_and_local_approval,blocked,direct_manufacturer_or_catalog_identity_not_verified,model_training_and_quantum_reference
chemical_2dad29ca9d88607e,chain_extender,complete,4,OC1CCC(C2CCC(O)CC2)CC1,ready,MZXNOAWIRQFYDB-UHFFFAOYSA-N,C12H22O2,198.30599999999993,completed,88608.0,60,53.0,"001Chemical;10X CHEM;1st Scientific;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;Acmec Biochemical;Activate Scientific;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Ambinter;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;Chem-Space.com Database;ChemShuttle;Chemenu Inc.;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;DSL Chemicals;Finetech Industry Limited;Fluorochem;Hairui Chemical;J&H Chemical Co.,ltd;Key Organics/BIONET;MolCore;Molport;Oakwood Products;Pi Chemicals;RR Scientific;Shandong Benrite New Chemical Materials Co.,Ltd;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;Synthonix, Inc.;TCI (Tokyo Chemical Industry);Thoreauchem;Win-Win Chemical;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:36.163087+00:00,True,True,zinc-instock-mini,False,0,https://www.emolecules.com/search/?q=OC1CCC%28C2CCC%28O%29CC2%29CC1&t=1,2,multiple_catalog_signals,required,blocked_pending_quote_sds_and_local_approval,blocked,direct_manufacturer_or_catalog_identity_not_verified,model_training_and_quantum_reference
chemical_3635aefc1005d8ad,chain_extender,complete,5,CC(C)(O)CCC(C)(C)O,ready,ZWNMRZQYWRLGMM-UHFFFAOYSA-N,C8H18O2,146.23,completed,8031.0,80,66.0,"001Chemical;10X CHEM;1st Scientific;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Achemtek;Acmec Biochemical;AgroIntelBioScan.com;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Ambinter;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;Biosynce Pharmatech;Biosynth;CAPOT;CATO Research Chemicals Inc.;Chem-Space.com Database;ChemShuttle;Chemenu Inc.;ChemoSapiens;Clearsynth;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;DSL Chemicals;Debye Scientific Co., Ltd;Enamine;Finetech Industry Limited;Fluorochem;Hairui Chemical;J&H Chemical Co.,ltd;Key Organics/BIONET;Mcule;MolCore;Moldb;Molport;MuseChem;Oakwood Products;RR Scientific;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;TCI (Tokyo Chemical Industry);TargetMol;Thermo Fisher Scientific;Thoreauchem;TimTec;VladaChem;Win-Win Chemical;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:40.163731+00:00,True,True,zinc-instock-mini,False,0,https://www.emolecules.com/search/?q=CC%28C%29%28O%29CCC%28C%29%28C%29O&t=1,2,multiple_catalog_signals,required,blocked_pending_quote_sds_and_local_approval,blocked,direct_manufacturer_or_catalog_identity_not_verified,model_training_and_quantum_reference
chemical_48e0f37b8f35d22d,chain_extender,complete,6,Cc1c(C)c(CO)c(C)c(C)c1CO,ready,KDJOOHBQJRVMIX-UHFFFAOYSA-N,C12H18O2,194.27399999999997,completed,82026.0,47,42.0,"10X CHEM;A2B Chem;AA BLOCKS;AChemBlock;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;Acmec Biochemical;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Ambinter;Angel Pharmatech Ltd.;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;CATO Research Chemicals Inc.;Chem-Space.com Database;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;Finetech Industry Limited;Fluorochem;Hairui Chemical;J&H Chemical Co.,ltd;Key Organics/BIONET;Mcule;Molport;MuseChem;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;TCI (Tokyo Chemical Industry);abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:43.656288+00:00,True,True,zinc-instock-mini,False,0,https://www.emolecules.com/search/?q=Cc1c%28C%29c%28CO%29c%28C%29c%28C%29c1CO&t=1,2,multiple_catalog_signals,required,blocked_pending_quote_sds_and_local_approval,blocked,direct_manufacturer_or_catalog_identity_not_verified,model_training_and_quantum_reference
chemical_551a139d1b44a292,chain_extender,complete,7,OC12CC3CC(C1)CC(O)(C3)C2,ready,MOLCWHCSXCKHAP-UHFFFAOYSA-N,C10H16O2,168.236,completed,573829.0,94,74.0,"001Chemical;10X CHEM;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;Acmec Biochemical;Activate Scientific;AgroIntelBioScan.com;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Alinda Chemical Trade Company Ltd;Allbio Pharm Co., Ltd;Ambeed;Ambinter;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biosynth;CAPOT;CATO Research Chemicals Inc.;Chem-Space.com Database;ChemDiv;ChemFish Tokyo Co., Ltd.;ChemShuttle;Chemenu Inc.;ChemoSapiens;Clinivex;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;Enamine;Finetech Industry Limited;Fluorochem;Hairui Chemical;Hunan Chemfish Pharmaceutical Co., Ltd.;INTERBIOSCREEN;Innovapharm;J&H Chemical Co.,ltd;Key Organics/BIONET;LGC Standards;Matrix Scientific;MolCore;Molport;MuseChem;Oakwood Products;PharmaBlock;Protheragen;Quality Control Solutions (QCS Standards);RR Scientific;Shandong Benrite New Chemical Materials Co.,Ltd;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;Synthonix, Inc.;TCI (Tokyo Chemical Industry);Thoreauchem;TimTec;Veeprho;Vitas-M Laboratory;VladaChem;Win-Win Chemical;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:48.274241+00:00,True,True,zinc-instock-mini,False,0,https://www.emolecules.com/search/?q=OC12CC3CC%28C1%29CC%28O%29%28C3%29C2&t=1,2,multiple_catalog_signals,required,blocked_pending_quote_sds_and_local_approval,blocked,direct_manufacturer_or_catalog_identity_not_verified,model_training_and_quantum_reference
chemical_5be20976c2a9d662,chain_extender,complete,8,Oc1c(F)c(F)c(O)c(F)c1F,ready,ZSDAMBJDFDRLSS-UHFFFAOYSA-N,C6H2F4O2,182.07199999999997,completed,69870.0,64,56.0,"10X CHEM;A2B Chem;AA BLOCKS;AChemBlock;AKos Consulting & Solutions;Accel Scientific;Accela ChemBio Inc.;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Amfluoro;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Chem-Space.com Database;ChemFish Tokyo Co., Ltd.;Chemenu Inc.;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;DSL Chemicals;Debye Scientific Co., Ltd;DempoChem;Finetech Industry Limited;Fluorochem;Hairui Chemical;Hunan Chemfish Pharmaceutical Co., Ltd.;Innovapharm;J&H Chemical Co.,ltd;Key Organics/BIONET;Matrix Scientific;Mcule;Molport;MuseChem;Oakwood Products;RR Scientific;Sigma-Aldrich;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;SynQuest Laboratories;TCI (Tokyo Chemical Industry);Thermo Fisher Scientific;Thoreauchem;TimTec;VladaChem;Win-Win Chemical;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:53.722275+00:00,True,True,zinc-instock-mini,False,0,https://www.emolecules.com/search/?q=Oc1c%28F%29c%28F%29c%28O%29c%28F%29c1F&t=1,2,multiple_catalog_signals,required,blocked_pending_quote_sds_and_local_approval,blocked,direct_manufacturer_or_catalog_identity_not_verified,model_training_and_quantum_reference
chemical_63c6eb608324eca7,chain_extender,complete,9,OCC1CC2C3CC(CO)C(C3)C2C1,ready,ZFZDWMXUMXACHS-UHFFFAOYSA-N,C12H20O2,196.29,completed,98091.0,23,22.0,001Chemical;A2B Chem;AA BLOCKS;AbaChemScene;Alfa Chemistry;Ambinter;Angene Chemical;BLD Pharm;BOC Sciences;BenchChem;Biosynth;CATO Research Chemicals Inc.;ChemShuttle;Chemenu Inc.;ChemoSapiens;CymitQuimica;Finetech Industry Limited;Hairui Chemical;MolCore;RR Scientific;Smolecule;Starshine Chemical,catalog_index_hit,2026-08-24T12:21:59.514601+00:00,True,False,zinc-instock-mini,False,0,https://www.emolecules.com/search/?q=OCC1CC2C3CC%28CO%29C%28C3%29C2C1&t=1,1,single_catalog_signal,required,blocked_pending_quote_sds_and_local_approval,blocked,direct_manufacturer_or_catalog_identity_not_verified,model_training_and_quantum_reference
