candidate_id,component_role,canonical_smiles,inchi_key,query_status,pubchem_cid,pubchem_vendor_record_count,pubchem_distinct_vendor_count,pubchem_vendor_names,catalog_prefilter_status,queried_utc
chemical_16bdee252ed11d7a,chain_extender,CC(O)C(C)O,OWBTYPJTUOEWEK-UHFFFAOYSA-N,completed,262.0,133.0,69.0,"001Chemical;10X CHEM;1st Scientific;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Achemtek;Acmec Biochemical;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Allbio Pharm Co., Ltd;Ambeed;Angel Pharmatech Ltd.;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;Biosynth;CAPOT;CATO Research Chemicals Inc.;Chem-Impex;Chem-Space.com Database;Chemenu Inc.;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;Debye Scientific Co., Ltd;Enamine;EvitaChem;Finetech Industry Limited;Fluorochem;Hairui Chemical;INTERBIOSCREEN;InvivoChem;J&H Chemical Co.,ltd;LGC Standards;Life Chemicals;Matrix Scientific;Mcule;MedChemexpress MCE;MolCore;Molport;MuseChem;Oakwood Products;Quality Control Solutions (QCS Standards);RR Scientific;Selleck Chemicals;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;SynQuest Laboratories;Synblock Inc;TCI (Tokyo Chemical Industry);TargetMol;Thermo Fisher Scientific;VladaChem;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:23.084837+00:00
chemical_1ace6e6abb3b5be3,chain_extender,Oc1ccc(O)c2c1C1CCC2C1,JYHNNCBQCSLFQM-UHFFFAOYSA-N,completed,85967.0,44.0,39.0,"001Chemical;10X CHEM;1st Scientific;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Alfa Chemistry;Angel Pharmatech Ltd.;Angene Chemical;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;CATO Research Chemicals Inc.;Chem-Space.com Database;Chemenu Inc.;ChemoSapiens;Cooke Chemical Co., Ltd;CymitQuimica;Finetech Industry Limited;Fluorochem;Hairui Chemical;J&H Chemical Co.,ltd;Key Organics/BIONET;Mcule;MolCore;Molport;MuseChem;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;TCI (Tokyo Chemical Industry);TargetMol;TimTec;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:26.634807+00:00
chemical_28a648027cd37607,chain_extender,OCCCCCCCCCO,ALVZNPYWJMLXKV-UHFFFAOYSA-N,completed,19835.0,79.0,67.0,"001Chemical;10X CHEM;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;Acmec Biochemical;Activate Scientific;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Ambinter;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;Biosynce Pharmatech;Biosynth;CATO Research Chemicals Inc.;Chem-Space.com Database;Chemenu Inc.;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;DSL Chemicals;Debye Scientific Co., Ltd;Enamine;Finetech Industry Limited;Fluorochem;Frinton Laboratories;Hairui Chemical;InvivoChem;J&H Chemical Co.,ltd;Key Organics/BIONET;LGC Standards;Matrix Scientific;Mcule;MolCore;Molport;MuseChem;Oakwood Products;Pi Chemicals;RR Scientific;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;Synthonix, Inc.;TCI (Tokyo Chemical Industry);TargetMol;Thermo Fisher Scientific;Thoreauchem;TimTec;VladaChem;Win-Win Chemical;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:30.351159+00:00
chemical_2a0d22152800ae85,chain_extender,Oc1ccc(Oc2ccc(O)cc2)cc1,NZGQHKSLKRFZFL-UHFFFAOYSA-N,completed,16069.0,66.0,57.0,"001Chemical;10X CHEM;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;Accel Scientific;Accela ChemBio Inc.;Acmec Biochemical;Activate Scientific;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Ambinter;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;Biosynth;CAPOT;CATO Research Chemicals Inc.;Chem-Space.com Database;ChemFish Tokyo Co., Ltd.;Chemenu Inc.;ChemoSapiens;Combi-Blocks;CymitQuimica;DSL Chemicals;Debye Scientific Co., Ltd;Enamine;Fluorochem;Hairui Chemical;Hunan Chemfish Pharmaceutical Co., Ltd.;J&H Chemical Co.,ltd;Key Organics/BIONET;LGC Standards;Mcule;MolCore;Molport;MuseChem;Oakwood Products;Pi Chemicals;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;TCI (Tokyo Chemical Industry);TimTec;VladaChem;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:33.093132+00:00
chemical_2dad29ca9d88607e,chain_extender,OC1CCC(C2CCC(O)CC2)CC1,MZXNOAWIRQFYDB-UHFFFAOYSA-N,completed,88608.0,60.0,53.0,"001Chemical;10X CHEM;1st Scientific;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;Acmec Biochemical;Activate Scientific;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Ambinter;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;Chem-Space.com Database;ChemShuttle;Chemenu Inc.;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;DSL Chemicals;Finetech Industry Limited;Fluorochem;Hairui Chemical;J&H Chemical Co.,ltd;Key Organics/BIONET;MolCore;Molport;Oakwood Products;Pi Chemicals;RR Scientific;Shandong Benrite New Chemical Materials Co.,Ltd;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;Synthonix, Inc.;TCI (Tokyo Chemical Industry);Thoreauchem;Win-Win Chemical;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:36.163087+00:00
chemical_3635aefc1005d8ad,chain_extender,CC(C)(O)CCC(C)(C)O,ZWNMRZQYWRLGMM-UHFFFAOYSA-N,completed,8031.0,80.0,66.0,"001Chemical;10X CHEM;1st Scientific;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Achemtek;Acmec Biochemical;AgroIntelBioScan.com;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Ambinter;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;Biosynce Pharmatech;Biosynth;CAPOT;CATO Research Chemicals Inc.;Chem-Space.com Database;ChemShuttle;Chemenu Inc.;ChemoSapiens;Clearsynth;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;DSL Chemicals;Debye Scientific Co., Ltd;Enamine;Finetech Industry Limited;Fluorochem;Hairui Chemical;J&H Chemical Co.,ltd;Key Organics/BIONET;Mcule;MolCore;Moldb;Molport;MuseChem;Oakwood Products;RR Scientific;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;TCI (Tokyo Chemical Industry);TargetMol;Thermo Fisher Scientific;Thoreauchem;TimTec;VladaChem;Win-Win Chemical;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:40.163731+00:00
chemical_48e0f37b8f35d22d,chain_extender,Cc1c(C)c(CO)c(C)c(C)c1CO,KDJOOHBQJRVMIX-UHFFFAOYSA-N,completed,82026.0,47.0,42.0,"10X CHEM;A2B Chem;AA BLOCKS;AChemBlock;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;Acmec Biochemical;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Ambinter;Angel Pharmatech Ltd.;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;CATO Research Chemicals Inc.;Chem-Space.com Database;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;Finetech Industry Limited;Fluorochem;Hairui Chemical;J&H Chemical Co.,ltd;Key Organics/BIONET;Mcule;Molport;MuseChem;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;TCI (Tokyo Chemical Industry);abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:43.656288+00:00
chemical_551a139d1b44a292,chain_extender,OC12CC3CC(C1)CC(O)(C3)C2,MOLCWHCSXCKHAP-UHFFFAOYSA-N,completed,573829.0,94.0,74.0,"001Chemical;10X CHEM;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;Acmec Biochemical;Activate Scientific;AgroIntelBioScan.com;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Alinda Chemical Trade Company Ltd;Allbio Pharm Co., Ltd;Ambeed;Ambinter;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biosynth;CAPOT;CATO Research Chemicals Inc.;Chem-Space.com Database;ChemDiv;ChemFish Tokyo Co., Ltd.;ChemShuttle;Chemenu Inc.;ChemoSapiens;Clinivex;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;Enamine;Finetech Industry Limited;Fluorochem;Hairui Chemical;Hunan Chemfish Pharmaceutical Co., Ltd.;INTERBIOSCREEN;Innovapharm;J&H Chemical Co.,ltd;Key Organics/BIONET;LGC Standards;Matrix Scientific;MolCore;Molport;MuseChem;Oakwood Products;PharmaBlock;Protheragen;Quality Control Solutions (QCS Standards);RR Scientific;Shandong Benrite New Chemical Materials Co.,Ltd;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;Synthonix, Inc.;TCI (Tokyo Chemical Industry);Thoreauchem;TimTec;Veeprho;Vitas-M Laboratory;VladaChem;Win-Win Chemical;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:48.274241+00:00
chemical_5be20976c2a9d662,chain_extender,Oc1c(F)c(F)c(O)c(F)c1F,ZSDAMBJDFDRLSS-UHFFFAOYSA-N,completed,69870.0,64.0,56.0,"10X CHEM;A2B Chem;AA BLOCKS;AChemBlock;AKos Consulting & Solutions;Accel Scientific;Accela ChemBio Inc.;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Amfluoro;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Chem-Space.com Database;ChemFish Tokyo Co., Ltd.;Chemenu Inc.;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;DSL Chemicals;Debye Scientific Co., Ltd;DempoChem;Finetech Industry Limited;Fluorochem;Hairui Chemical;Hunan Chemfish Pharmaceutical Co., Ltd.;Innovapharm;J&H Chemical Co.,ltd;Key Organics/BIONET;Matrix Scientific;Mcule;Molport;MuseChem;Oakwood Products;RR Scientific;Sigma-Aldrich;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;SynQuest Laboratories;TCI (Tokyo Chemical Industry);Thermo Fisher Scientific;Thoreauchem;TimTec;VladaChem;Win-Win Chemical;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:21:53.722275+00:00
chemical_63c6eb608324eca7,chain_extender,OCC1CC2C3CC(CO)C(C3)C2C1,ZFZDWMXUMXACHS-UHFFFAOYSA-N,completed,98091.0,23.0,22.0,001Chemical;A2B Chem;AA BLOCKS;AbaChemScene;Alfa Chemistry;Ambinter;Angene Chemical;BLD Pharm;BOC Sciences;BenchChem;Biosynth;CATO Research Chemicals Inc.;ChemShuttle;Chemenu Inc.;ChemoSapiens;CymitQuimica;Finetech Industry Limited;Hairui Chemical;MolCore;RR Scientific;Smolecule;Starshine Chemical,catalog_index_hit,2026-08-24T12:21:59.514601+00:00
chemical_6ee30a16c1c450ed,chain_extender,OC1CCCCC1O,PFURGBBHAOXLIO-UHFFFAOYSA-N,completed,13601.0,106.0,64.0,"001Chemical;10X CHEM;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;Acmec Biochemical;Activate Scientific;AgroIntelBioScan.com;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;CAPOT;CATO Research Chemicals Inc.;Chem-Space.com Database;ChemFish Tokyo Co., Ltd.;Chemenu Inc.;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;Debye Scientific Co., Ltd;Enamine;EvitaChem;Finetech Industry Limited;Fluorochem;Hairui Chemical;Hunan Chemfish Pharmaceutical Co., Ltd.;INTERBIOSCREEN;J&H Chemical Co.,ltd;Key Organics/BIONET;Matrix Scientific;Mcule;MolCore;Molport;MuseChem;Oakwood Products;RR Scientific;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;Synblock Inc;TCI (Tokyo Chemical Industry);TargetMol;Thermo Fisher Scientific;Thoreauchem;TimTec;Vitas-M Laboratory;VladaChem;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:22:02.392107+00:00
chemical_706c38f2fda91d2c,chain_extender,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,HTVITOHKHWFJKO-UHFFFAOYSA-N,completed,66166.0,79.0,63.0,"001Chemical;10X CHEM;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbMole Bioscience;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;Achemtek;Acmec Biochemical;AgroIntelBioScan.com;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Alinda Chemical Trade Company Ltd;Ambeed;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;CAPOT;CATO Research Chemicals Inc.;Chem-Space.com Database;Chemenu Inc.;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;DC Chemicals;Debye Scientific Co., Ltd;Finetech Industry Limited;Fluorochem;Hairui Chemical;InvivoChem;J&H Chemical Co.,ltd;Key Organics/BIONET;LGC Standards;Matrix Scientific;Mcule;MedChemexpress MCE;MolCore;Molport;MuseChem;Oakwood Products;Pi Chemicals;Quality Control Solutions (QCS Standards);RR Scientific;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;TCI (Tokyo Chemical Industry);TargetMol;Thoreauchem;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:22:07.782534+00:00
chemical_72b7ed7d3d268fd7,chain_extender,CC(C)CC(CO)(CO)CC(C)C,PTRCHMOHGGDNIJ-UHFFFAOYSA-N,completed,3985625.0,37.0,35.0,"10X CHEM;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;Activate Scientific;Alfa Chemistry;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;CATO Research Chemicals Inc.;Chem-Space.com Database;ChemDiv;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;Finetech Industry Limited;Fluorochem;J&H Chemical Co.,ltd;Mcule;Molport;MuseChem;RR Scientific;Smolecule;Starshine Chemical;TCI (Tokyo Chemical Industry);abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:22:10.384040+00:00
chemical_75fb481cd45cc100,chain_extender,CCCCC(CC)(CO)CO,DSKYSDCYIODJPC-UHFFFAOYSA-N,completed,61038.0,52.0,48.0,"10X CHEM;1st Scientific;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;CATO Research Chemicals Inc.;Chem-Space.com Database;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;Finetech Industry Limited;Fluorochem;Frinton Laboratories;Hairui Chemical;Innovapharm;J&H Chemical Co.,ltd;Key Organics/BIONET;Life Chemicals;Matrix Scientific;Mcule;Molport;MuseChem;Oakwood Products;RR Scientific;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;TCI (Tokyo Chemical Industry);abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:22:13.357028+00:00
