component_id,inchi_key,interface_name,query_status,evidence_level,query_value,result_count,result_summary,result_url,queried_utc,cache_key,limitations
chemical_16bdee252ed11d7a,OWBTYPJTUOEWEK-UHFFFAOYSA-N,pubchem_vendor,completed,vendor_directory,262,133,"001Chemical;10X CHEM;1st Scientific;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Achemtek;Acmec Biochemical;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Allbio Pharm Co., Ltd;Ambeed;Angel Pharmatech Ltd.;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;Biosynth;CAPOT;CATO Research Chemicals Inc.;Chem-Impex;Chem-Space.com Database;Chemenu Inc.;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;Debye Scientific Co., Ltd;Enamine;EvitaChem;Finetech Industry Limited;Fluorochem;Hairui Chemical;INTERBIOSCREEN;InvivoChem;J&H Chemical Co.,ltd;LGC Standards;Life Chemicals;Matrix Scientific;Mcule;MedChemexpress MCE;MolCore;Molport;MuseChem;Oakwood Products;Quality Control Solutions (QCS Standards);RR Scientific;Selleck Chemicals;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;SynQuest Laboratories;Synblock Inc;TCI (Tokyo Chemical Industry);TargetMol;Thermo Fisher Scientific;VladaChem;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",https://pubchem.ncbi.nlm.nih.gov/compound/262,2026-08-24T12:21:23.084837+00:00,,从既有PubChem查询复用；目录不代表实时库存
chemical_16bdee252ed11d7a,OWBTYPJTUOEWEK-UHFFFAOYSA-N,molbloom,completed,catalog_bloom_prefilter,zinc-instock-mini,0,catalog=zinc-instock-mini;hit=false,https://zinc20.docking.org/,2026-08-24T13:10:27.484842+00:00,4c63d919395c878af454a373a26c9d5e35bbbb0a023122c8eab763ea8ff1b268,随包mini目录假阳性率约7%；ZINC20目录为历史快照，不代表实时库存
chemical_16bdee252ed11d7a,OWBTYPJTUOEWEK-UHFFFAOYSA-N,emolecules_link,link_generated,manual_exact_structure_search,CC(O)C(C)O,0,exact_structure_search_url,https://www.emolecules.com/search/?q=CC%28O%29C%28C%29O&t=1,2026-08-24T13:14:23.614531+00:00,f23ae564005c548d7bff771f5b3047d5200fa100474f539af7ac43b46319e9df,eMolecules没有公开无密钥库存API；必须打开链接人工核验
chemical_1ace6e6abb3b5be3,JYHNNCBQCSLFQM-UHFFFAOYSA-N,pubchem_vendor,completed,vendor_directory,85967,44,"001Chemical;10X CHEM;1st Scientific;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Alfa Chemistry;Angel Pharmatech Ltd.;Angene Chemical;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;CATO Research Chemicals Inc.;Chem-Space.com Database;Chemenu Inc.;ChemoSapiens;Cooke Chemical Co., Ltd;CymitQuimica;Finetech Industry Limited;Fluorochem;Hairui Chemical;J&H Chemical Co.,ltd;Key Organics/BIONET;Mcule;MolCore;Molport;MuseChem;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;TCI (Tokyo Chemical Industry);TargetMol;TimTec;eMolecules;eNovation Chemicals",https://pubchem.ncbi.nlm.nih.gov/compound/85967,2026-08-24T12:21:26.634807+00:00,,从既有PubChem查询复用；目录不代表实时库存
chemical_1ace6e6abb3b5be3,JYHNNCBQCSLFQM-UHFFFAOYSA-N,molbloom,completed,catalog_bloom_prefilter,zinc-instock-mini,0,catalog=zinc-instock-mini;hit=false,https://zinc20.docking.org/,2026-08-24T13:10:27.618886+00:00,969ade0f8e8453a444e5ccdaa64bf062014f619f24fbf093a8f2ba81995ac063,随包mini目录假阳性率约7%；ZINC20目录为历史快照，不代表实时库存
chemical_1ace6e6abb3b5be3,JYHNNCBQCSLFQM-UHFFFAOYSA-N,emolecules_link,link_generated,manual_exact_structure_search,Oc1ccc(O)c2c1C1CCC2C1,0,exact_structure_search_url,https://www.emolecules.com/search/?q=Oc1ccc%28O%29c2c1C1CCC2C1&t=1,2026-08-24T13:14:23.614531+00:00,558a6fd7cb727762fc8ee4f5cf2489ab1ba0041387429b3abf21541df6beac0e,eMolecules没有公开无密钥库存API；必须打开链接人工核验
chemical_28a648027cd37607,ALVZNPYWJMLXKV-UHFFFAOYSA-N,pubchem_vendor,completed,vendor_directory,19835,79,"001Chemical;10X CHEM;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;Acmec Biochemical;Activate Scientific;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Ambinter;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;Biosynce Pharmatech;Biosynth;CATO Research Chemicals Inc.;Chem-Space.com Database;Chemenu Inc.;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;DSL Chemicals;Debye Scientific Co., Ltd;Enamine;Finetech Industry Limited;Fluorochem;Frinton Laboratories;Hairui Chemical;InvivoChem;J&H Chemical Co.,ltd;Key Organics/BIONET;LGC Standards;Matrix Scientific;Mcule;MolCore;Molport;MuseChem;Oakwood Products;Pi Chemicals;RR Scientific;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;Synthonix, Inc.;TCI (Tokyo Chemical Industry);TargetMol;Thermo Fisher Scientific;Thoreauchem;TimTec;VladaChem;Win-Win Chemical;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",https://pubchem.ncbi.nlm.nih.gov/compound/19835,2026-08-24T12:21:30.351159+00:00,,从既有PubChem查询复用；目录不代表实时库存
chemical_28a648027cd37607,ALVZNPYWJMLXKV-UHFFFAOYSA-N,molbloom,completed,catalog_bloom_prefilter,zinc-instock-mini,1,catalog=zinc-instock-mini;hit=true,https://zinc20.docking.org/,2026-08-24T13:10:27.741158+00:00,ff98e403cd9843ffd72605c60bfac6a888ee866021fdb003bcfd69b2f4648291,随包mini目录假阳性率约7%；ZINC20目录为历史快照，不代表实时库存
chemical_28a648027cd37607,ALVZNPYWJMLXKV-UHFFFAOYSA-N,emolecules_link,link_generated,manual_exact_structure_search,OCCCCCCCCCO,0,exact_structure_search_url,https://www.emolecules.com/search/?q=OCCCCCCCCCO&t=1,2026-08-24T13:14:23.614531+00:00,168af5854a05df066875b216e13533a1df4510327f52388ad4f860d571bdd954,eMolecules没有公开无密钥库存API；必须打开链接人工核验
chemical_2a0d22152800ae85,NZGQHKSLKRFZFL-UHFFFAOYSA-N,pubchem_vendor,completed,vendor_directory,16069,66,"001Chemical;10X CHEM;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;Accel Scientific;Accela ChemBio Inc.;Acmec Biochemical;Activate Scientific;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Ambinter;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;Biosynth;CAPOT;CATO Research Chemicals Inc.;Chem-Space.com Database;ChemFish Tokyo Co., Ltd.;Chemenu Inc.;ChemoSapiens;Combi-Blocks;CymitQuimica;DSL Chemicals;Debye Scientific Co., Ltd;Enamine;Fluorochem;Hairui Chemical;Hunan Chemfish Pharmaceutical Co., Ltd.;J&H Chemical Co.,ltd;Key Organics/BIONET;LGC Standards;Mcule;MolCore;Molport;MuseChem;Oakwood Products;Pi Chemicals;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;TCI (Tokyo Chemical Industry);TimTec;VladaChem;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",https://pubchem.ncbi.nlm.nih.gov/compound/16069,2026-08-24T12:21:33.093132+00:00,,从既有PubChem查询复用；目录不代表实时库存
