component_id,preferred_name,role,representation_smiles,representation_scope,nearest_training_structure,nearest_training_leakage_group,nearest_training_split,max_morgan_tanimoto,applicability_domain_status,model_prediction_permission,fingerprint_radius,fingerprint_bits
commercial_bdo_14,"1,4-BDO",chain_extender,OCCCCO,discrete_substance,*CC(*)C(=O)OCCCCCCOCCCCCCCCCO,hard_group_789552b02c82ebb9,train,0.25,outside_training_structure_domain,blocked_outside_structure_domain,2,2048
commercial_chdm_14,"1,4-CHDM",chain_extender,C1CC(CCC1CO)CO,commercial_isomer_mixture,*NC1CCC(CCC2CCC(NC(*)=O)CC2)CC1,hard_group_96717a2efe0dfa7d,test,0.23333333333333334,outside_training_structure_domain,blocked_outside_structure_domain,2,2048
commercial_deg,DEG,chain_extender,C(COCCO)O,discrete_substance,*CC(*)C(=O)OCCCCCCOCCCCCCCCCO,hard_group_789552b02c82ebb9,train,0.26666666666666666,outside_training_structure_domain,blocked_outside_structure_domain,2,2048
commercial_eg,EG,chain_extender,C(CO)O,discrete_substance,*CC(*)C(=O)OCCCCCCOCCCCCCCCCO,hard_group_789552b02c82ebb9,train,0.13793103448275862,outside_training_structure_domain,blocked_outside_structure_domain,2,2048
commercial_hdo_16,"1,6-HDO",chain_extender,C(CCCO)CCO,discrete_substance,*CC(*)C(=O)OCCCCCCOCCCCCCCCCO,hard_group_789552b02c82ebb9,train,0.2857142857142857,outside_training_structure_domain,blocked_outside_structure_domain,2,2048
commercial_hqee,HQEE,chain_extender,C1=CC(=CC=C1OCCO)OCCO,discrete_substance,*Oc1ccc(-c2ccc(OCCCCCCCCOC(*)=O)cc2)cc1,hard_group_b721466d81c2bbd3,train,0.38235294117647056,outside_training_structure_domain,blocked_outside_structure_domain,2,2048
commercial_npg,NPG,chain_extender,CC(C)(CO)CO,discrete_substance,*CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(*)(F)OC(C)(C)CO,hard_group_51bccb0eb5f19ad6,train,0.21212121212121213,outside_training_structure_domain,blocked_outside_structure_domain,2,2048
commercial_h12mdi,H12MDI,diisocyanate,O=C=NC1CCC(CC1)CC2CCC(CC2)N=C=O,discrete_substance,*C(=O)NC1CCC(CC2CCC(NC(=O)N3CCN(*)CC3)CC2)CC1,hard_group_d6a7e1ee6eac12ff,train,0.22727272727272727,outside_training_structure_domain,blocked_outside_structure_domain,2,2048
commercial_hdi,HDI,diisocyanate,O=C=NCCCCCCN=C=O,discrete_substance,*OC(=O)NCCCCCCNC(=O)O*,hard_group_29280914685c63c2,test,0.17857142857142858,outside_training_structure_domain,blocked_outside_structure_domain,2,2048
commercial_ipdi,IPDI,diisocyanate,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,discrete_substance,*NC(=O)CC1(C)CC(NC(*)=O)CC(C)(C)C1,hard_group_62fe1e3e3f399811,train,0.2549019607843137,outside_training_structure_domain,blocked_outside_structure_domain,2,2048
