formulation_id,base_system_id,combination_id,baseline_priority,planning_tier,diisocyanate_id,diisocyanate_name,diisocyanate_smiles,diisocyanate_cas_or_grade,diisocyanate_evidence_url,macrodiol_id,macrodiol_name,macrodiol_identity_kind,macrodiol_smiles,macrodiol_repeat_unit,macrodiol_nominal_mn_g_mol,macrodiol_cas_or_grade,macrodiol_evidence_url,chain_extender_id,chain_extender_name,chain_extender_smiles,chain_extender_cas_or_grade,chain_extender_evidence_url,component_ids,hard_segment_mass_fraction_target,nco_oh_ratio_target,novelty_role,procurement_review_status,sds_review_status,experiment_release_status,performance_claim_status,library,reality_component_gate_status,experiment_use_status,queue_status,ml_status,component_quantum_status,formulation_dft_status,md_status,ranking_status,next_gate
commercial_system_8f78b79e85d09a49_707fe304b16717b6,commercial_system_8f78b79e85d09a49,commercial_system_8f78b79e85d09a49,1,tier2_control_grid,commercial_mdi_44,"4,4'-MDI",O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,101-68-8 / Desmodur 44 MC FLAKES,https://solutions.covestro.com/en/products/Desmodur/Desmodur-44-MC-FLAKES_000000000004833899,commercial_ptmg_1000,PTMG-1000,commercial_polyol_grade,,HO-[(CH2)4-O]n-H,1000.0,25190-06-1 / PolyTHF 1000,https://chemicals.basf.com/global/en/Intermediates/Product_groups/PolyTHF,commercial_bdo_14,"1,4-BDO",OCCCCO,"110-63-4 / 1,4-Butanediol",https://products.basf.com/global/en/ci/1-4-butanediol,commercial_mdi_44;commercial_ptmg_1000;commercial_bdo_14,0.35,1.0,commercial_control_or_comparison,catalog_evidence_found_quote_required,required_before_order_or_use,blocked_pending_quote_sds_and_local_approval,no_performance_claim,reality,all_three_components_verified,blocked_pending_quote_sds_and_local_approval,held_after_tier1,blocked_pending_formulation_representation,held,blocked_pending_component_descriptors_and_reacted_fragment,blocked_pending_reacted_chain_and_force_field,not_ranked_no_performance_claim,wait_for_tier1_review
commercial_system_8f78b79e85d09a49_d4bd65fe8c7c0e5c,commercial_system_8f78b79e85d09a49,commercial_system_8f78b79e85d09a49,1,tier2_control_grid,commercial_mdi_44,"4,4'-MDI",O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,101-68-8 / Desmodur 44 MC FLAKES,https://solutions.covestro.com/en/products/Desmodur/Desmodur-44-MC-FLAKES_000000000004833899,commercial_ptmg_1000,PTMG-1000,commercial_polyol_grade,,HO-[(CH2)4-O]n-H,1000.0,25190-06-1 / PolyTHF 1000,https://chemicals.basf.com/global/en/Intermediates/Product_groups/PolyTHF,commercial_bdo_14,"1,4-BDO",OCCCCO,"110-63-4 / 1,4-Butanediol",https://products.basf.com/global/en/ci/1-4-butanediol,commercial_mdi_44;commercial_ptmg_1000;commercial_bdo_14,0.35,1.02,commercial_control_or_comparison,catalog_evidence_found_quote_required,required_before_order_or_use,blocked_pending_quote_sds_and_local_approval,no_performance_claim,reality,all_three_components_verified,blocked_pending_quote_sds_and_local_approval,held_after_tier1,blocked_pending_formulation_representation,held,blocked_pending_component_descriptors_and_reacted_fragment,blocked_pending_reacted_chain_and_force_field,not_ranked_no_performance_claim,wait_for_tier1_review
commercial_system_8f78b79e85d09a49_d918861888054223,commercial_system_8f78b79e85d09a49,commercial_system_8f78b79e85d09a49,1,tier2_control_grid,commercial_mdi_44,"4,4'-MDI",O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,101-68-8 / Desmodur 44 MC FLAKES,https://solutions.covestro.com/en/products/Desmodur/Desmodur-44-MC-FLAKES_000000000004833899,commercial_ptmg_1000,PTMG-1000,commercial_polyol_grade,,HO-[(CH2)4-O]n-H,1000.0,25190-06-1 / PolyTHF 1000,https://chemicals.basf.com/global/en/Intermediates/Product_groups/PolyTHF,commercial_bdo_14,"1,4-BDO",OCCCCO,"110-63-4 / 1,4-Butanediol",https://products.basf.com/global/en/ci/1-4-butanediol,commercial_mdi_44;commercial_ptmg_1000;commercial_bdo_14,0.45,1.0,commercial_control_or_comparison,catalog_evidence_found_quote_required,required_before_order_or_use,blocked_pending_quote_sds_and_local_approval,no_performance_claim,reality,all_three_components_verified,blocked_pending_quote_sds_and_local_approval,held_after_tier1,blocked_pending_formulation_representation,held,blocked_pending_component_descriptors_and_reacted_fragment,blocked_pending_reacted_chain_and_force_field,not_ranked_no_performance_claim,wait_for_tier1_review
commercial_system_8f78b79e85d09a49_aa4e010292f6d778,commercial_system_8f78b79e85d09a49,commercial_system_8f78b79e85d09a49,1,tier1_small_control_matrix,commercial_mdi_44,"4,4'-MDI",O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,101-68-8 / Desmodur 44 MC FLAKES,https://solutions.covestro.com/en/products/Desmodur/Desmodur-44-MC-FLAKES_000000000004833899,commercial_ptmg_1000,PTMG-1000,commercial_polyol_grade,,HO-[(CH2)4-O]n-H,1000.0,25190-06-1 / PolyTHF 1000,https://chemicals.basf.com/global/en/Intermediates/Product_groups/PolyTHF,commercial_bdo_14,"1,4-BDO",OCCCCO,"110-63-4 / 1,4-Butanediol",https://products.basf.com/global/en/ci/1-4-butanediol,commercial_mdi_44;commercial_ptmg_1000;commercial_bdo_14,0.45,1.02,commercial_control_or_comparison,catalog_evidence_found_quote_required,required_before_order_or_use,blocked_pending_quote_sds_and_local_approval,no_performance_claim,reality,all_three_components_verified,blocked_pending_quote_sds_and_local_approval,tier1_component_calculation_queue,blocked_pending_formulation_representation,queued,blocked_pending_component_descriptors_and_reacted_fragment,blocked_pending_reacted_chain_and_force_field,not_ranked_no_performance_claim,commercial_component_crest_xtb
commercial_system_59ebf4f5a2e01a54_707fe304b16717b6,commercial_system_59ebf4f5a2e01a54,commercial_system_59ebf4f5a2e01a54,1,tier2_control_grid,commercial_mdi_44,"4,4'-MDI",O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,101-68-8 / Desmodur 44 MC FLAKES,https://solutions.covestro.com/en/products/Desmodur/Desmodur-44-MC-FLAKES_000000000004833899,commercial_ptmg_2000,PTMG-2000,commercial_polyol_grade,,HO-[(CH2)4-O]n-H,2000.0,25190-06-1 / PolyTHF 2000,https://chemicals.basf.com/global/en/Intermediates/Product_groups/PolyTHF,commercial_bdo_14,"1,4-BDO",OCCCCO,"110-63-4 / 1,4-Butanediol",https://products.basf.com/global/en/ci/1-4-butanediol,commercial_mdi_44;commercial_ptmg_2000;commercial_bdo_14,0.35,1.0,commercial_control_or_comparison,catalog_evidence_found_quote_required,required_before_order_or_use,blocked_pending_quote_sds_and_local_approval,no_performance_claim,reality,all_three_components_verified,blocked_pending_quote_sds_and_local_approval,held_after_tier1,blocked_pending_formulation_representation,held,blocked_pending_component_descriptors_and_reacted_fragment,blocked_pending_reacted_chain_and_force_field,not_ranked_no_performance_claim,wait_for_tier1_review
commercial_system_59ebf4f5a2e01a54_d4bd65fe8c7c0e5c,commercial_system_59ebf4f5a2e01a54,commercial_system_59ebf4f5a2e01a54,1,tier1_small_control_matrix,commercial_mdi_44,"4,4'-MDI",O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,101-68-8 / Desmodur 44 MC FLAKES,https://solutions.covestro.com/en/products/Desmodur/Desmodur-44-MC-FLAKES_000000000004833899,commercial_ptmg_2000,PTMG-2000,commercial_polyol_grade,,HO-[(CH2)4-O]n-H,2000.0,25190-06-1 / PolyTHF 2000,https://chemicals.basf.com/global/en/Intermediates/Product_groups/PolyTHF,commercial_bdo_14,"1,4-BDO",OCCCCO,"110-63-4 / 1,4-Butanediol",https://products.basf.com/global/en/ci/1-4-butanediol,commercial_mdi_44;commercial_ptmg_2000;commercial_bdo_14,0.35,1.02,commercial_control_or_comparison,catalog_evidence_found_quote_required,required_before_order_or_use,blocked_pending_quote_sds_and_local_approval,no_performance_claim,reality,all_three_components_verified,blocked_pending_quote_sds_and_local_approval,tier1_component_calculation_queue,blocked_pending_formulation_representation,queued,blocked_pending_component_descriptors_and_reacted_fragment,blocked_pending_reacted_chain_and_force_field,not_ranked_no_performance_claim,commercial_component_crest_xtb
commercial_system_59ebf4f5a2e01a54_d918861888054223,commercial_system_59ebf4f5a2e01a54,commercial_system_59ebf4f5a2e01a54,1,tier2_control_grid,commercial_mdi_44,"4,4'-MDI",O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,101-68-8 / Desmodur 44 MC FLAKES,https://solutions.covestro.com/en/products/Desmodur/Desmodur-44-MC-FLAKES_000000000004833899,commercial_ptmg_2000,PTMG-2000,commercial_polyol_grade,,HO-[(CH2)4-O]n-H,2000.0,25190-06-1 / PolyTHF 2000,https://chemicals.basf.com/global/en/Intermediates/Product_groups/PolyTHF,commercial_bdo_14,"1,4-BDO",OCCCCO,"110-63-4 / 1,4-Butanediol",https://products.basf.com/global/en/ci/1-4-butanediol,commercial_mdi_44;commercial_ptmg_2000;commercial_bdo_14,0.45,1.0,commercial_control_or_comparison,catalog_evidence_found_quote_required,required_before_order_or_use,blocked_pending_quote_sds_and_local_approval,no_performance_claim,reality,all_three_components_verified,blocked_pending_quote_sds_and_local_approval,held_after_tier1,blocked_pending_formulation_representation,held,blocked_pending_component_descriptors_and_reacted_fragment,blocked_pending_reacted_chain_and_force_field,not_ranked_no_performance_claim,wait_for_tier1_review
commercial_system_59ebf4f5a2e01a54_aa4e010292f6d778,commercial_system_59ebf4f5a2e01a54,commercial_system_59ebf4f5a2e01a54,1,tier2_control_grid,commercial_mdi_44,"4,4'-MDI",O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,101-68-8 / Desmodur 44 MC FLAKES,https://solutions.covestro.com/en/products/Desmodur/Desmodur-44-MC-FLAKES_000000000004833899,commercial_ptmg_2000,PTMG-2000,commercial_polyol_grade,,HO-[(CH2)4-O]n-H,2000.0,25190-06-1 / PolyTHF 2000,https://chemicals.basf.com/global/en/Intermediates/Product_groups/PolyTHF,commercial_bdo_14,"1,4-BDO",OCCCCO,"110-63-4 / 1,4-Butanediol",https://products.basf.com/global/en/ci/1-4-butanediol,commercial_mdi_44;commercial_ptmg_2000;commercial_bdo_14,0.45,1.02,commercial_control_or_comparison,catalog_evidence_found_quote_required,required_before_order_or_use,blocked_pending_quote_sds_and_local_approval,no_performance_claim,reality,all_three_components_verified,blocked_pending_quote_sds_and_local_approval,held_after_tier1,blocked_pending_formulation_representation,held,blocked_pending_component_descriptors_and_reacted_fragment,blocked_pending_reacted_chain_and_force_field,not_ranked_no_performance_claim,wait_for_tier1_review
commercial_system_7faa7e08bccea0b7_707fe304b16717b6,commercial_system_7faa7e08bccea0b7,commercial_system_7faa7e08bccea0b7,2,tier2_control_grid,commercial_ipdi,IPDI,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,4098-71-9 / Desmodur I,https://solutions.covestro.com/en/products/desmodur/desmodur-i_000000000000480770,commercial_ptmg_1000,PTMG-1000,commercial_polyol_grade,,HO-[(CH2)4-O]n-H,1000.0,25190-06-1 / PolyTHF 1000,https://chemicals.basf.com/global/en/Intermediates/Product_groups/PolyTHF,commercial_bdo_14,"1,4-BDO",OCCCCO,"110-63-4 / 1,4-Butanediol",https://products.basf.com/global/en/ci/1-4-butanediol,commercial_ipdi;commercial_ptmg_1000;commercial_bdo_14,0.35,1.0,commercial_control_or_comparison,catalog_evidence_found_quote_required,required_before_order_or_use,blocked_pending_quote_sds_and_local_approval,no_performance_claim,reality,all_three_components_verified,blocked_pending_quote_sds_and_local_approval,held_after_tier1,blocked_pending_formulation_representation,held,blocked_pending_component_descriptors_and_reacted_fragment,blocked_pending_reacted_chain_and_force_field,not_ranked_no_performance_claim,wait_for_tier1_review
commercial_system_7faa7e08bccea0b7_d4bd65fe8c7c0e5c,commercial_system_7faa7e08bccea0b7,commercial_system_7faa7e08bccea0b7,2,tier2_control_grid,commercial_ipdi,IPDI,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,4098-71-9 / Desmodur I,https://solutions.covestro.com/en/products/desmodur/desmodur-i_000000000000480770,commercial_ptmg_1000,PTMG-1000,commercial_polyol_grade,,HO-[(CH2)4-O]n-H,1000.0,25190-06-1 / PolyTHF 1000,https://chemicals.basf.com/global/en/Intermediates/Product_groups/PolyTHF,commercial_bdo_14,"1,4-BDO",OCCCCO,"110-63-4 / 1,4-Butanediol",https://products.basf.com/global/en/ci/1-4-butanediol,commercial_ipdi;commercial_ptmg_1000;commercial_bdo_14,0.35,1.02,commercial_control_or_comparison,catalog_evidence_found_quote_required,required_before_order_or_use,blocked_pending_quote_sds_and_local_approval,no_performance_claim,reality,all_three_components_verified,blocked_pending_quote_sds_and_local_approval,held_after_tier1,blocked_pending_formulation_representation,held,blocked_pending_component_descriptors_and_reacted_fragment,blocked_pending_reacted_chain_and_force_field,not_ranked_no_performance_claim,wait_for_tier1_review
