task_id,task_kind,target_id,input_identity,dependency_ids,input_status,calculation_status,result_use
reality_component_crest_xtb_50120ac407958dac,component_crest_xtb,commercial_bdo_14,OCCCCO,,ready_for_3d_generation,not_started,commercial_component_descriptor
reality_component_crest_xtb_9102561d17b61448,component_crest_xtb,commercial_h12mdi,O=C=NC1CCC(CC1)CC2CCC(CC2)N=C=O,,ready_for_3d_generation,not_started,commercial_component_descriptor
reality_component_crest_xtb_4e6d52322dd38a74,component_crest_xtb,commercial_hdi,O=C=NCCCCCCN=C=O,,ready_for_3d_generation,not_started,commercial_component_descriptor
reality_component_crest_xtb_17a5421ac2dc7f4f,component_crest_xtb,commercial_ipdi,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,,ready_for_3d_generation,not_started,commercial_component_descriptor
reality_component_crest_xtb_8051c2983a046b99,component_crest_xtb,commercial_mdi_44,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,,ready_for_3d_generation,not_started,commercial_component_descriptor
reality_macrodiol_representative_crest_xtb_bdaf74480711425c,macrodiol_representative_crest_xtb,commercial_ptmg_1000,OCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO,,ready_as_explicit_single_oligomer_proxy,not_started,product_grade_proxy_descriptor_no_distribution_claim
reality_macrodiol_representative_crest_xtb_cbefff2190801052,macrodiol_representative_crest_xtb,commercial_ptmg_2000,OCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO,,ready_as_explicit_single_oligomer_proxy,not_started,product_grade_proxy_descriptor_no_distribution_claim
reality_formulation_dft_4eaba509716941cc,formulation_dft,commercial_system_8f78b79e85d09a49_aa4e010292f6d778,commercial_mdi_44;commercial_ptmg_1000;commercial_bdo_14,reality_component_crest_xtb_8051c2983a046b99;reality_macrodiol_representative_crest_xtb_bdaf74480711425c;reality_component_crest_xtb_50120ac407958dac,blocked_pending_component_descriptors_and_reacted_fragment,blocked,selected_reacted_fragment_electronic_validation
reality_bulk_md_8fb7f0fb5b3c74aa,bulk_md,commercial_system_8f78b79e85d09a49_aa4e010292f6d778,commercial_mdi_44;commercial_ptmg_1000;commercial_bdo_14,reality_formulation_dft_4eaba509716941cc,blocked_pending_reacted_chain_and_force_field,blocked,density_hydrogen_bond_morphology_and_mechanics
reality_formulation_dft_79892733f9c0d3f4,formulation_dft,commercial_system_59ebf4f5a2e01a54_d4bd65fe8c7c0e5c,commercial_mdi_44;commercial_ptmg_2000;commercial_bdo_14,reality_component_crest_xtb_8051c2983a046b99;reality_macrodiol_representative_crest_xtb_cbefff2190801052;reality_component_crest_xtb_50120ac407958dac,blocked_pending_component_descriptors_and_reacted_fragment,blocked,selected_reacted_fragment_electronic_validation
reality_bulk_md_bb50f1429c5c3c26,bulk_md,commercial_system_59ebf4f5a2e01a54_d4bd65fe8c7c0e5c,commercial_mdi_44;commercial_ptmg_2000;commercial_bdo_14,reality_formulation_dft_79892733f9c0d3f4,blocked_pending_reacted_chain_and_force_field,blocked,density_hydrogen_bond_morphology_and_mechanics
reality_formulation_dft_3689f23655eaa473,formulation_dft,commercial_system_7faa7e08bccea0b7_aa4e010292f6d778,commercial_ipdi;commercial_ptmg_1000;commercial_bdo_14,reality_component_crest_xtb_17a5421ac2dc7f4f;reality_macrodiol_representative_crest_xtb_bdaf74480711425c;reality_component_crest_xtb_50120ac407958dac,blocked_pending_component_descriptors_and_reacted_fragment,blocked,selected_reacted_fragment_electronic_validation
reality_bulk_md_272f19d7fc2075a5,bulk_md,commercial_system_7faa7e08bccea0b7_aa4e010292f6d778,commercial_ipdi;commercial_ptmg_1000;commercial_bdo_14,reality_formulation_dft_3689f23655eaa473,blocked_pending_reacted_chain_and_force_field,blocked,density_hydrogen_bond_morphology_and_mechanics
reality_formulation_dft_83a1f8a2642a1ead,formulation_dft,commercial_system_70d2f0f7e0facf07_d4bd65fe8c7c0e5c,commercial_ipdi;commercial_ptmg_2000;commercial_bdo_14,reality_component_crest_xtb_17a5421ac2dc7f4f;reality_macrodiol_representative_crest_xtb_cbefff2190801052;reality_component_crest_xtb_50120ac407958dac,blocked_pending_component_descriptors_and_reacted_fragment,blocked,selected_reacted_fragment_electronic_validation
reality_bulk_md_e8335f9ccc17d9c4,bulk_md,commercial_system_70d2f0f7e0facf07_d4bd65fe8c7c0e5c,commercial_ipdi;commercial_ptmg_2000;commercial_bdo_14,reality_formulation_dft_83a1f8a2642a1ead,blocked_pending_reacted_chain_and_force_field,blocked,density_hydrogen_bond_morphology_and_mechanics
