component_id,inchi_key,interface_name,query_status,evidence_level,query_value,result_count,result_summary,result_url,queried_utc,cache_key,limitations
commercial_bdo_14,WERYXYBDKMZEQL-UHFFFAOYSA-N,pubchem_vendor,completed,vendor_directory,8064,70,"001Chemical;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Achemtek;Acmec Biochemical;Aladdin Scientific;Alfa Chemistry;Angene Chemical;AstaTech, Inc.;BOC Sciences;BenchChem;Biosynth;BroadPharm;CAPOT;CATO Research Chemicals Inc.;ChemoSapiens;Clearsynth;Cooke Chemical Co., Ltd;CymitQuimica;Glentham Life Sciences Ltd.;Hairui Chemical;Hunan Chemfish Pharmaceutical Co., Ltd.;INTERBIOSCREEN;J&H Chemical Co.,ltd;LGC Standards;Life Chemicals;Mcule;MolCore;MuseChem;Oakwood Products;Quality Control Solutions (QCS Standards);RR Scientific;Sigma-Aldrich;Sinfoo Biotech;SynQuest Laboratories;TCI (Tokyo Chemical Industry);Thermo Fisher Scientific;Thoreauchem;VladaChem;Win-Win Chemical;Yuhao Chemical;abcr GmbH;eNovation Chemicals",https://pubchem.ncbi.nlm.nih.gov/compound/8064,2026-08-24T14:06:32.701560+00:00,4bf2c1728f762db9a952d73b2c392da0f3148c9ce7225965c916453389c34ff7,PubChem目录可能重复或过期，不代表实时库存；vendor_urls=http://achemtek.com/;http://en.chemfish.com/;http://sinfoobiotech.com/;http://www.aablocks.com;http://www.abcr.com/de_en;http://www.acmec.com.cn/;http://www.akosgmbh.de/AKosSamples/index.html;http://www.angenechemical.com;http://www.broadpharm.com;http://www.chemscene.com;http://www.chemyuhao.com/;http://www.cookechem.com/;http://www.jhechem.com;http://www.lifechemicals.com;http://www.oakwoodchemical.com;http://www.rrscientific.com;http://www.sigmaaldrich.com;http://www.tcichemicals.com/eshop/en/us/commodity/B0680;http://www.thoreauchem.com/;https://chemosapiens.com;https://cymitquimica.com/;https://en.cato-chem.com/;https://mcule.com;https://qcsrm.com/;https://www.001chemical.com/;https://www.aladdinsci.com;https://www.alfa-chemistry.com;https://www.alfa-chemistry.com/;https://www.astatechinc.com/;https://www.benchchem.com/;https://www.biosynth.com;https://www.bocsci.com/;https://www.capotchem.com/;https://www.clearsynth.com/;https://www.glentham.com/en/;https://www.hairuichem.com/;https://www.ibscreen.com;https://www.lgcstandards.com/US/en/;https://www.molcore.com/;https://www.musechem.com;https://www.synquestlabs.com/;https://www.thermofisher.com/us/en/home.html;https://www.vladachem.com;https://www.win-winchemical.com/
commercial_bdo_14,WERYXYBDKMZEQL-UHFFFAOYSA-N,molbloom,completed,catalog_bloom_prefilter,zinc-instock-mini,1,catalog=zinc-instock-mini;hit=true,https://zinc20.docking.org/,2026-08-24T14:06:33.082670+00:00,fc44e9338c633301dfcd7d5fe7e19a7ddc6328280d78311cbe2bbdfd4695b2ab,随包mini目录假阳性率约7%；ZINC20目录为历史快照，不代表实时库存
commercial_bdo_14,WERYXYBDKMZEQL-UHFFFAOYSA-N,emolecules_link,link_generated,manual_exact_structure_search,OCCCCO,0,exact_structure_search_url,https://www.emolecules.com/search/?q=OCCCCO&t=1,2026-08-24T14:34:17.247366+00:00,aadafd304ca33497760e2afe2452d183c68de124d040784a99d9e4be7b762cc8,eMolecules没有公开无密钥库存API；必须打开链接人工核验
commercial_bdo_14,WERYXYBDKMZEQL-UHFFFAOYSA-N,smallworld,completed,public_purchasable_space_search,database=zinc;distance=0,1,0,https://sw.docking.org/search.html,2026-08-24T14:34:22.499037+00:00,bca86040b9eda33fddb9a31ced37e996e4b557c3082ed2f1ac2a648716137767,非官方公共服务，不用于大批量或实时库存；相似命中不是同一物质
commercial_chdm_14,YIMQCDZDWXUDCA-UHFFFAOYSA-N,pubchem_vendor,completed,vendor_directory,7735,176,"001Chemical;10X CHEM;1st Scientific;A2B Chem;AA BLOCKS;AChemBlock;AKos Consulting & Solutions;AbaChemScene;AbovChem LLC;Accel Scientific;Accela ChemBio Inc.;Achemtek;Acmec Biochemical;Activate Scientific;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Allbio Pharm Co., Ltd;Ambeed;Ambinter;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;CAPOT;CATO Research Chemicals Inc.;Chem-Space.com Database;ChemShuttle;Chemenu Inc.;ChemoSapiens;Clinivex;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;DSL Chemicals;Debye Scientific Co., Ltd;Enamine;EvitaChem;Finetech Industry Limited;Fluorochem;Hairui Chemical;Hangzhou APIChem Technology;J&H Chemical Co.,ltd;Key Organics/BIONET;LGC Standards;Matrix Scientific;Mcule;MolCore;Molport;MuseChem;Oakwood Products;PharmaBlock;Pharmacore Co., Limited;RR Scientific;Shandong Benrite New Chemical Materials Co.,Ltd;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;SynQuest Laboratories;Synblock Inc;Synthonix, Inc.;TCI (Tokyo Chemical Industry);Thermo Fisher Scientific;Thoreauchem;TimTec;VladaChem;Win-Win Chemical;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",https://pubchem.ncbi.nlm.nih.gov/compound/7735,2026-08-24T14:06:37.766974+00:00,535d5daaeba882e9b8ae8dd81560dcd75be9bd74f20dfd8a12fa8ada8a42f66c,PubChem目录可能重复或过期，不代表实时库存；vendor_urls=http://achemtek.com/;http://sinfoobiotech.com/;http://www.abcr.com/de_en;http://www.abovchem.com;http://www.accelachem.com/;http://www.acmec.com.cn/;http://www.akosgmbh.de/AKosSamples/index.html;http://www.ambinter.com;http://www.angenechemical.com;http://www.apichemistry.com;http://www.chemshuttle.com;http://www.chemyuhao.com;http://www.chemyuhao.com/;http://www.combi-blocks.com;http://www.cookechem.com/;http://www.dslchem.com;http://www.jhechem.com;http://www.oakwoodchemical.com;http://www.rrscientific.com;http://www.sigmaaldrich.com;http://www.tcichemicals.com/en/us/;http://www.thoreauchem.com/;http://www.timtec.net;https://carboxyl.alfa-chemistry.com;https://chem-space.com;https://chemosapiens.com;https://cymitquimica.com/;https://en.cato-chem.com/;https://enaminestore.com/;https://ffc.alfa-chemistry.com;https://fluorochem.co.uk;https://mcule.com;https://shop.activate-scientific.com/;https://store.aifchem.com/;https://surfactant.alfa-chemistry.com;https://synthonix.com;https://theclinivex.com/;https://www.001chemical.com/;https://www.10xchem.com/;https://www.1stsci.com/;https://www.a2bchem.com/;https://www.aablocks.com/;https://www.accelsci.com/;https://www.achemblock.com/;https://www.aladdinsci.com;https://www.alfa-apisector.com;https://www.alfa-chemistry.com;https://www.alfa-chemistry.com/;https://www.allbiopharm.com;https://www.ambeed.com/;https://www.angenechemical.com/;https://www.appchemical.com/;https://www.astatechinc.com/;https://www.benchchem.com/;https://www.benritechem.com/;https://www.biorbyt.com/;https://www.bldpharm.com/;https://www.bocsci.com/;https://www.capotchem.com/;https://www.chemenu.com/;https://www.chemscene.com/;https://www.clinivex.com/;https://www.emolecules.com/;https://www.evitachem.com;https://www.finetechnology-ind.com/;https://www.hairuichem.com/;https://www.keyorganics.net/bionet/;https://www.lgcstandards.com/US/en/;https://www.matrixscientific.com/;https://www.molcore.com/;https://www.molport.com;https://www.musechem.com;https://www.pharmablock.com/;https://www.smolecule.com/;https://www.starshinechemical.com;https://www.synblock.com/;https://www.synhet.com/;https://www.synquestlabs.com/;https://www.thermofisher.com/us/en/home.html;https://www.vladachem.com;https://www.win-winchemical.com/
commercial_chdm_14,YIMQCDZDWXUDCA-UHFFFAOYSA-N,molbloom,completed,catalog_bloom_prefilter,zinc-instock-mini,1,catalog=zinc-instock-mini;hit=true,https://zinc20.docking.org/,2026-08-24T14:06:38.147002+00:00,39277978f5142b46b5c2af295306b78bd9f02d80f552209b2dcc62a26768a38a,随包mini目录假阳性率约7%；ZINC20目录为历史快照，不代表实时库存
commercial_chdm_14,YIMQCDZDWXUDCA-UHFFFAOYSA-N,emolecules_link,link_generated,manual_exact_structure_search,OCC1CCC(CO)CC1,0,exact_structure_search_url,https://www.emolecules.com/search/?q=OCC1CCC%28CO%29CC1&t=1,2026-08-24T14:34:27.501332+00:00,ea454ea21e9e50bf410839a7572ad6de771eb708a2965bc26db49c9f52760716,eMolecules没有公开无密钥库存API；必须打开链接人工核验
commercial_chdm_14,YIMQCDZDWXUDCA-UHFFFAOYSA-N,smallworld,completed,public_purchasable_space_search,database=zinc;distance=0,3,0;1;2,https://sw.docking.org/search.html,2026-08-24T14:34:31.267009+00:00,db58828d9c9c89bce34620af61c79fd10ad23b4f61d2a00b53139878175df624,非官方公共服务，不用于大批量或实时库存；相似命中不是同一物质
commercial_deg,MTHSVFCYNBDYFN-UHFFFAOYSA-N,pubchem_vendor,completed,vendor_directory,8117,136,"001Chemical;10X CHEM;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Achemtek;Acmec Biochemical;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biorbyt;Biosynth;BroadPharm;CAPOT;CATO Research Chemicals Inc.;Cangzhou Enke Pharma Tech Co.,Ltd.;Chem-Space.com Database;Chemenu Inc.;ChemoSapiens;Clearsynth;Clinivex;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;DC Chemicals;Debye Scientific Co., Ltd;Enamine;EvitaChem;Finetech Industry Limited;Fluorochem;Glentham Life Sciences Ltd.;Hairui Chemical;Hunan Chemfish Pharmaceutical Co., Ltd.;Hunan Huateng Pharmaceutical Co., Ltd.;Innovapharm;InvivoChem;J&H Chemical Co.,ltd;Key Organics/BIONET;LGC Standards;Life Chemicals;Matrix Scientific;Mcule;MolCore;Molport;MuseChem;Oakwood Products;PharmaBlock;Protheragen;Quality Control Solutions (QCS Standards);RR Scientific;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;TCI (Tokyo Chemical Industry);TargetMol;Thermo Fisher Scientific;Thoreauchem;Veeprho;VladaChem;Win-Win Chemical;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",https://pubchem.ncbi.nlm.nih.gov/compound/8117,2026-08-24T14:06:42.132415+00:00,cde796a28873a75ba717aab235445a25b012484af56b568b5e800732e31e7b80,PubChem目录可能重复或过期，不代表实时库存；vendor_urls=http://achemtek.com/;http://en.chemfish.com/;http://innovapharm.com.ua/;http://sinfoobiotech.com/;http://www.abcr.com/de_en;http://www.acmec.com.cn/;http://www.akosgmbh.de/AKosSamples/index.html;http://www.angenechemical.com;http://www.chemscene.com;http://www.chemyuhao.com;http://www.clearsynth.com/en/iis6954.asp;http://www.combi-blocks.com;http://www.cookechem.com/;http://www.enkepharma.com/indexe.php;http://www.jhechem.com;http://www.lifechemicals.com;http://www.oakwoodchemical.com;http://www.rrscientific.com;http://www.sigmaaldrich.com;http://www.tcichemicals.com/en/us/;http://www.thoreauchem.com/;https://chem-space.com;https://chemosapiens.com;https://cosmetics.alfa-chemistry.com;https://cymitquimica.com/;https://detergents.alfa-chemistry.com;https://eco.alfa-chemistry.com;https://en.cato-chem.com/;https://enaminestore.com/;https://fluorochem.co.uk;https://mcule.com;https://qcsrm.com/;https://reagents.alfa-chemistry.com;https://store.aifchem.com/;https://us.huatengsci.com/;https://www.001chemical.com/;https://www.10xchem.com/;https://www.a2bchem.com;https://www.a2bchem.com/;https://www.aablocks.com;https://www.aablocks.com/;https://www.accelsci.com/;https://www.aladdinsci.com;https://www.alfa-chemistry.com/;https://www.ambeed.com/;https://www.angenechemical.com/;https://www.appchemical.com/;https://www.astatechinc.com/;https://www.benchchem.com/;https://www.biorbyt.com/;https://www.biosynth.com;https://www.bldpharm.com/;https://www.bocsci.com/;https://www.broadpharm.com;https://www.capotchem.com/;https://www.chemenu.com/;https://www.clearsynth.com/;https://www.clinivex.com/;https://www.dcchemicals.com;https://www.emolecules.com/;https://www.evitachem.com;https://www.finetechnology-ind.com/;https://www.glentham.com/en/;https://www.hairuichem.com/;https://www.invivochem.com/;https://www.keyorganics.net/bionet/;https://www.lgcstandards.com/US/en/;https://www.matrixscientific.com/;https://www.molcore.com/;https://www.molport.com;https://www.musechem.com;https://www.pharmablock.com/;https://www.protheragen.ai/;https://www.smolecule.com/;https://www.starshinechemical.com;https://www.synhet.com/;https://www.targetmol.com/contact-us;https://www.thermofisher.com/us/en/home.html;https://www.vladachem.com;https://www.win-winchemical.com/
commercial_deg,MTHSVFCYNBDYFN-UHFFFAOYSA-N,molbloom,completed,catalog_bloom_prefilter,zinc-instock-mini,1,catalog=zinc-instock-mini;hit=true,https://zinc20.docking.org/,2026-08-24T14:06:42.512060+00:00,857a56307508f9cd5198011a592b1f82ae7884bd095e1b0f6579b3a67a9dc641,随包mini目录假阳性率约7%；ZINC20目录为历史快照，不代表实时库存
