candidate_id,preferred_name,synonym,role,identity_kind,canonical_smiles,repeat_unit,nominal_mn_g_mol,cas_or_product_grade,supplier_or_manufacturer,evidence_url,accessed_date,current_stock_status,ehs_review_status,experiment_use_status,priority_class,library,notes,inchi_key,pubchem_vendor_hit,pubchem_vendor_record_count,pubchem_cid,molbloom_hit,molbloom_catalog,smallworld_hit,smallworld_result_count,emolecules_exact_url,catalog_signal_count,unified_catalog_status,direct_commercial_evidence_status,experiment_release_status
commercial_bdo_14,"1,4-BDO","Butane-1,4-diol",chain_extender,discrete_substance,OCCCCO,,,"110-63-4 / 1,4-Butanediol",BASF,https://products.basf.com/global/en/ci/1-4-butanediol,2026-08-24,requires_quote,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,control_chain_extender,reality,Manufacturer page explicitly lists polyurethane use and bulk packaging; laboratory pack quotation still required.,WERYXYBDKMZEQL-UHFFFAOYSA-N,True,70,8064,True,zinc-instock-mini,True,1,https://www.emolecules.com/search/?q=OCCCCO&t=1,3,multiple_catalog_signals,required,blocked_pending_quote_sds_and_local_approval
commercial_chdm_14,"1,4-CHDM","1,4-Cyclohexanedimethanol",chain_extender,commercial_isomer_mixture,OCC1CCC(CO)CC1,,,105-08-8 / Eastman CHDM-D,Eastman,https://www.eastman.com/en/products/product-detail/71001802/1-4-cyclohexanedimethanol-chdm-d,2026-08-24,requires_quote,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,chain_extender_isomer_mixture,reality,Commercial cis/trans mixture; lot isomer composition and water must be recorded.,YIMQCDZDWXUDCA-UHFFFAOYSA-N,True,176,7735,True,zinc-instock-mini,True,3,https://www.emolecules.com/search/?q=OCC1CCC%28CO%29CC1&t=1,3,multiple_catalog_signals,required,blocked_pending_quote_sds_and_local_approval
commercial_deg,DEG,Diethylene glycol,chain_extender,discrete_substance,OCCOCCO,,,111-46-6 / DEG,BASF,https://products.basf.com/global/en/cp/ethylene-glycol,2026-08-24,requires_quote,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,chain_extender_comparison,reality,Manufacturer page states DEG use as raw material for PU systems.,MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,136,8117,True,zinc-instock-mini,True,1,https://www.emolecules.com/search/?q=OCCOCCO&t=1,3,multiple_catalog_signals,required,blocked_pending_quote_sds_and_local_approval
commercial_eg,EG,Monoethylene glycol,chain_extender,discrete_substance,OCCO,,,107-21-1 / MEG,BASF,https://products.basf.com/global/en/cp/ethylene-glycol,2026-08-24,requires_quote,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,chain_extender_comparison,reality,Industrial product group evidence; laboratory procurement and water specification require confirmation.,LYCAIKOWRPUZTN-UHFFFAOYSA-N,True,280,174,True,zinc-instock-mini,True,1,https://www.emolecules.com/search/?q=OCCO&t=1,3,multiple_catalog_signals,required,blocked_pending_quote_sds_and_local_approval
commercial_hdo_16,"1,6-HDO","1,6-Hexanediol",chain_extender,discrete_substance,OCCCCCCO,,,"629-11-8 / HDO 1,6-Hexanediol",BASF,https://products.basf.com/global/en/ci/hdo,2026-08-24,requires_quote,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,chain_extender_comparison,reality,Manufacturer page states polyurethane-resin use and laboratory/drum packaging.,XXMIOPMDWAUFGU-UHFFFAOYSA-N,True,95,12374,True,zinc-instock-mini,True,1,https://www.emolecules.com/search/?q=OCCCCCCO&t=1,3,multiple_catalog_signals,required,blocked_pending_quote_sds_and_local_approval
commercial_hqee,HQEE,"2,2'-(p-Phenylenedioxy)diethanol",chain_extender,discrete_substance,OCCOc1ccc(OCCO)cc1,,,104-38-1 / ADDOLINK 30/10,LANXESS,https://lanxess.com/en-us/products/products/v/addolink--30-10-tech--ground,2026-08-24,requires_quote,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,specialty_chain_extender,reality,Manufacturer identifies high-purity HQEE-based PU chain extender; molten processing review required.,WTPYFJNYAMXZJG-UHFFFAOYSA-N,True,69,66912,True,zinc-instock-mini,True,1,https://www.emolecules.com/search/?q=OCCOc1ccc%28OCCO%29cc1&t=1,3,multiple_catalog_signals,required,blocked_pending_quote_sds_and_local_approval
commercial_npg,NPG,Neopentyl glycol,chain_extender,discrete_substance,CC(C)(CO)CO,,,126-30-7 / Neol NPG,BASF,https://products.basf.com/global/en/ci/neol-neopentylglycol,2026-08-24,requires_quote,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,chain_extender_comparison,reality,Manufacturer page lists polyurethane-resin use and multiple pack sizes.,SLCVBVWXLSEKPL-UHFFFAOYSA-N,True,88,31344,True,zinc-instock-mini,True,1,https://www.emolecules.com/search/?q=CC%28C%29%28CO%29CO&t=1,3,multiple_catalog_signals,required,blocked_pending_quote_sds_and_local_approval
commercial_h12mdi,H12MDI,HMDI / hydrogenated MDI,diisocyanate,discrete_substance,O=C=NC1CCC(CC2CCC(N=C=O)CC2)CC1,,,5124-30-1 / Desmodur W,Covestro,https://solutions.covestro.com/ja/products/desmodur/desmodur-w_000000000005907551,2026-08-24,requires_quote,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,comparison_light_stable,reality,Manufacturer page lists CAS and product specification; isomer mixture must be recorded by lot.,KORSJDCBLAPZEQ-UHFFFAOYSA-N,True,46,21202,False,zinc-instock-mini,True,1,https://www.emolecules.com/search/?q=O%3DC%3DNC1CCC%28CC2CCC%28N%3DC%3DO%29CC2%29CC1&t=1,2,multiple_catalog_signals,required,blocked_pending_quote_sds_and_local_approval
commercial_hdi,HDI,"1,6-Hexamethylene diisocyanate",diisocyanate,discrete_substance,O=C=NCCCCCCN=C=O,,,822-06-0 / Desmodur H,Covestro,https://solutions.covestro.com/de/products/desmodur/desmodur-h_000000000000409340,2026-08-24,requires_quote,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,comparison_flexible_aliphatic,reality,Manufacturer page lists CAS and assay; monomer volatility and inhalation controls require special review.,RRAMGCGOFNQTLD-UHFFFAOYSA-N,True,51,13192,False,zinc-instock-mini,False,0,https://www.emolecules.com/search/?q=O%3DC%3DNCCCCCCN%3DC%3DO&t=1,1,single_catalog_signal,required,blocked_pending_quote_sds_and_local_approval
commercial_ipdi,IPDI,Isophorone diisocyanate,diisocyanate,discrete_substance,CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,,,4098-71-9 / Desmodur I,Covestro,https://solutions.covestro.com/en/products/desmodur/desmodur-i_000000000000480770,2026-08-24,requires_quote,requires_human_sds_review,blocked_pending_quote_sds_and_local_approval,control_light_stable,reality,Manufacturer product page and specification; exact structure also indexed by PubChem CID 169132.,NIMLQBUJDJZYEJ-UHFFFAOYSA-N,True,41,169132,False,zinc-instock-mini,False,0,https://www.emolecules.com/search/?q=CC1%28C%29CC%28N%3DC%3DO%29CC%28C%29%28CN%3DC%3DO%29C1&t=1,1,single_catalog_signal,required,blocked_pending_quote_sds_and_local_approval
