evaluation_id,evaluation_scheme,held_out_source_family,training_mode,model_name,target_name,unit,aggregation_level,n_rows,n_groups,mae,rmse,r2,spearman
development_test::primary_only,development_test,,primary_only,multitask_gnn,Rg,angstrom,row_weighted,362,343,1.33115952177,1.78998572053,0.32215325036,0.52425277519
development_test::primary_only,development_test,,primary_only,multitask_gnn,Rg,angstrom,hard_group_macro,362,343,1.34412636701,1.80808770705,0.284138707668,0.493703408973
development_test::primary_only,development_test,,primary_only,multitask_gnn,bulk_modulus,Pa,row_weighted,351,332,398442262.751,509569147.747,0.310583709386,0.562134825262
development_test::primary_only,development_test,,primary_only,multitask_gnn,bulk_modulus,Pa,hard_group_macro,351,332,394173517.719,502082092.193,0.327486275564,0.576524436933
development_test::primary_only,development_test,,primary_only,multitask_gnn,density,g/cm^3,row_weighted,351,332,0.0105697557129,0.0139972194976,0.955926029431,0.985904770054
development_test::primary_only,development_test,,primary_only,multitask_gnn,density,g/cm^3,hard_group_macro,351,332,0.0105296320854,0.0140038914769,0.955367210273,0.985502964377
development_test::primary_only,development_test,,primary_only,multitask_gnn,thermal_conductivity,W/(m*K),row_weighted,263,252,0.0128159738249,0.0163913696118,0.63590055748,0.792467343078
development_test::primary_only,development_test,,primary_only,multitask_gnn,thermal_conductivity,W/(m*K),hard_group_macro,263,252,0.012331505468,0.015540828493,0.633595873997,0.77859163759
development_test::primary_plus_aux,development_test,,primary_plus_aux,multitask_gnn,Rg,angstrom,row_weighted,362,343,1.34079239816,1.78345371226,0.327091414672,0.531267658286
development_test::primary_plus_aux,development_test,,primary_plus_aux,multitask_gnn,Rg,angstrom,hard_group_macro,362,343,1.34278686378,1.78992750577,0.298446530248,0.502537787278
development_test::primary_plus_aux,development_test,,primary_plus_aux,multitask_gnn,bulk_modulus,Pa,row_weighted,351,332,395764089.711,506999452.037,0.317519463383,0.575727931285
development_test::primary_plus_aux,development_test,,primary_plus_aux,multitask_gnn,bulk_modulus,Pa,hard_group_macro,351,332,390029232.386,497201915.71,0.340496241321,0.600693949145
development_test::primary_plus_aux,development_test,,primary_plus_aux,multitask_gnn,density,g/cm^3,row_weighted,351,332,0.00817395149513,0.0113962545391,0.970783854897,0.985039723629
development_test::primary_plus_aux,development_test,,primary_plus_aux,multitask_gnn,density,g/cm^3,hard_group_macro,351,332,0.00817747301905,0.0114423914599,0.970201790944,0.984965746877
development_test::primary_plus_aux,development_test,,primary_plus_aux,multitask_gnn,thermal_conductivity,W/(m*K),row_weighted,263,252,0.0124823449309,0.0163617535477,0.63721508471,0.799846758657
development_test::primary_plus_aux,development_test,,primary_plus_aux,multitask_gnn,thermal_conductivity,W/(m*K),hard_group_macro,263,252,0.0120529678645,0.0156946514692,0.626306648024,0.778927579724
leave_one_source_family_out::primary_only::family_openpolymer_challenge_2025,leave_one_source_family_out,family_openpolymer_challenge_2025,primary_only,multitask_gnn,Rg,angstrom,row_weighted,106,106,3.05459474168,3.81523465796,0.0725359121172,0.648013703806
leave_one_source_family_out::primary_only::family_openpolymer_challenge_2025,leave_one_source_family_out,family_openpolymer_challenge_2025,primary_only,multitask_gnn,Rg,angstrom,hard_group_macro,106,106,3.05459474168,3.81523465796,0.0725359121172,0.648013703806
leave_one_source_family_out::primary_plus_aux::family_openpolymer_challenge_2025,leave_one_source_family_out,family_openpolymer_challenge_2025,primary_plus_aux,multitask_gnn,Rg,angstrom,row_weighted,106,106,3.09415295439,3.94865630783,0.00653342096365,0.636929742802
leave_one_source_family_out::primary_plus_aux::family_openpolymer_challenge_2025,leave_one_source_family_out,family_openpolymer_challenge_2025,primary_plus_aux,multitask_gnn,Rg,angstrom,hard_group_macro,106,106,3.09415295439,3.94865630783,0.00653342096365,0.636929742802
