curve_id,source_id,source_family_id,formulation_id,sample_id,release_model_ready,leakage_group,development_split,point_count,endpoint_status,curve_type,evidence_scope,source_locator,citation_keys,energy_density_to_25pct_mj_m3,low_strain_modulus_status,max_observed_strain,max_observed_strain_unit,max_observed_stress_mpa,recorded_energy_density_mj_m3,secant_modulus_10pct_mpa,stress_at_100pct_mpa,stress_at_10pct_mpa,stress_at_25pct_mpa,stress_at_300pct_mpa,stress_at_50pct_mpa
compression:RPUF_0:RPUF1_compression_Specimen_1,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_1,True,hard_group_fd781ae26d0b0ae3,train,233,physical_endpoints_ready,compression,within_source_auxiliary,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_1.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,0.02810829535,,0.26944,dimensionless,0.20102,0.0318942914,1.0873,,0.10873,0.18833,,
compression:RPUF_0:RPUF1_compression_Specimen_10,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_10,True,hard_group_fd781ae26d0b0ae3,train,225,physical_endpoints_ready,compression,within_source_auxiliary,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_10.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,0.03588075533,,0.26937,dimensionless,0.2476,0.04056207745,1.47061512605,,0.147061512605,0.235697,,
compression:RPUF_0:RPUF1_compression_Specimen_11,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_11,True,hard_group_fd781ae26d0b0ae3,train,226,physical_endpoints_ready,compression,within_source_auxiliary,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_11.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,0.0365275495826,,0.26979,dimensionless,0.25071,0.0413811019,1.52416,,0.152416,0.239843057851,,
compression:RPUF_0:RPUF1_compression_Specimen_2,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_2,True,hard_group_fd781ae26d0b0ae3,train,238,physical_endpoints_ready,compression,within_source_auxiliary,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_2.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,0.0295077270693,,0.26964,dimensionless,0.20031,0.0333262081,1.17513274336,,0.117513274336,0.188672280702,,
compression:RPUF_0:RPUF1_compression_Specimen_3,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_3,True,hard_group_fd781ae26d0b0ae3,train,235,physical_endpoints_ready,compression,within_source_auxiliary,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_3.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,0.03094891787,,0.26897,dimensionless,0.20667,0.03475632905,1.2457,,0.12457,0.195012,,
compression:RPUF_0:RPUF1_compression_Specimen_4,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_4,True,hard_group_fd781ae26d0b0ae3,train,234,physical_endpoints_ready,compression,within_source_auxiliary,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_4.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,0.03022498935,,0.26966,dimensionless,0.20658,0.0341656427,1.20984,,0.120984,0.19451,,
compression:RPUF_0:RPUF1_compression_Specimen_5,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_5,True,hard_group_fd781ae26d0b0ae3,train,235,physical_endpoints_ready,compression,within_source_auxiliary,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_5.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,0.0312595754443,,0.26896,dimensionless,0.20769,0.0350883789,1.2465,,0.12465,0.19659773913,,
compression:RPUF_0:RPUF1_compression_Specimen_6,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_6,True,hard_group_fd781ae26d0b0ae3,train,233,physical_endpoints_ready,compression,within_source_auxiliary,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_6.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,0.0309344767949,,0.26946,dimensionless,0.21138,0.03492453305,1.23898275862,,0.123898275862,0.198687966102,,
compression:RPUF_0:RPUF1_compression_Specimen_7,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_7,True,hard_group_fd781ae26d0b0ae3,train,239,physical_endpoints_ready,compression,within_source_auxiliary,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_7.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,0.0336223734611,,0.26892,dimensionless,0.24893,0.0382466691,1.15970088496,,0.115970088496,0.239651150442,,
compression:RPUF_0:RPUF1_compression_Specimen_8,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_8,True,hard_group_fd781ae26d0b0ae3,train,242,physical_endpoints_ready,compression,within_source_auxiliary,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_8.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,0.0328526823284,,0.2694,dimensionless,0.2442,0.0374987267,1.11757857143,,0.111757857143,0.233992162162,,
compression:RPUF_0:RPUF1_compression_Specimen_9,source_zenodo_5713819_recycled_pu_foam,family_elorza_recycled_pu_foam,RPUF_0,RPUF1_compression_Specimen_9,True,hard_group_fd781ae26d0b0ae3,train,242,physical_endpoints_ready,compression,within_source_auxiliary,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_9.csv#row=3,ledger-170-elorza-2021-recycled-pu-foam-data;ledger-171-elorza-2021-recycled-pu-foam,0.0328622355135,,0.2693,dimensionless,0.24806,0.0375469669,1.12954727273,,0.112954727273,0.237453243243,,
