evaluation_id,evaluation_scheme,held_out_source_family,training_mode,model_name,target_name,unit,evaluation_split,aggregation_level,n_rows,n_groups,mae,rmse,r2,spearman,selected_alpha,evidence_scope,target_semantics,status
source-loo::Rg::angstrom::primary_only::family_openpolymer_challenge_2025,leave_one_source_family_out,family_openpolymer_challenge_2025,primary_only,morgan_weighted_ridge,Rg,angstrom,held_out_source,hard_group_macro,106,106,4.04465964104,5.37302268321,-0.839466740283,0.143179585359,10,computational_source_extrapolation,published_computational_target,evaluated
source-loo::Rg::angstrom::primary_only::family_openpolymer_challenge_2025,leave_one_source_family_out,family_openpolymer_challenge_2025,primary_only,morgan_weighted_ridge,Rg,angstrom,held_out_source,row_weighted,106,106,4.04465964104,5.37302268321,-0.839466740283,0.143179585359,10,computational_source_extrapolation,published_computational_target,evaluated
source-loo::Rg::angstrom::primary_only::family_openpolymer_challenge_2025,leave_one_source_family_out,family_openpolymer_challenge_2025,primary_only,weighted_mean,Rg,angstrom,held_out_source,hard_group_macro,106,106,3.76193919392,4.71042176171,-0.413755088496,,,computational_source_extrapolation,published_computational_target,evaluated
source-loo::Rg::angstrom::primary_only::family_openpolymer_challenge_2025,leave_one_source_family_out,family_openpolymer_challenge_2025,primary_only,weighted_mean,Rg,angstrom,held_out_source,row_weighted,106,106,3.76193919392,4.71042176171,-0.413755088496,,,computational_source_extrapolation,published_computational_target,evaluated
source-loo::Rg::angstrom::primary_plus_aux::family_openpolymer_challenge_2025,leave_one_source_family_out,family_openpolymer_challenge_2025,primary_plus_aux,morgan_weighted_ridge,Rg,angstrom,held_out_source,hard_group_macro,106,106,3.43290864522,4.69706717104,-0.405750133605,0.290001763357,10,computational_source_extrapolation,published_computational_target,evaluated
source-loo::Rg::angstrom::primary_plus_aux::family_openpolymer_challenge_2025,leave_one_source_family_out,family_openpolymer_challenge_2025,primary_plus_aux,morgan_weighted_ridge,Rg,angstrom,held_out_source,row_weighted,106,106,3.43290864522,4.69706717104,-0.405750133605,0.290001763357,10,computational_source_extrapolation,published_computational_target,evaluated
source-loo::Rg::angstrom::primary_plus_aux::family_openpolymer_challenge_2025,leave_one_source_family_out,family_openpolymer_challenge_2025,primary_plus_aux,weighted_mean,Rg,angstrom,held_out_source,hard_group_macro,106,106,3.82699141937,4.78762352604,-0.460476510588,,,computational_source_extrapolation,published_computational_target,evaluated
source-loo::Rg::angstrom::primary_plus_aux::family_openpolymer_challenge_2025,leave_one_source_family_out,family_openpolymer_challenge_2025,primary_plus_aux,weighted_mean,Rg,angstrom,held_out_source,row_weighted,106,106,3.82699141937,4.78762352604,-0.460476510588,,,computational_source_extrapolation,published_computational_target,evaluated
development::Rg::angstrom::primary_only,published_development_split,,primary_only,morgan_weighted_ridge,Rg,angstrom,test,hard_group_macro,362,343,1.49413361796,1.93747826127,0.17801560231,0.442171137706,10,computational_transfer_baseline,published_computational_target,evaluated
development::Rg::angstrom::primary_only,published_development_split,,primary_only,morgan_weighted_ridge,Rg,angstrom,test,row_weighted,362,343,1.48022605283,1.92005775957,0.220060394759,0.469324086245,10,computational_transfer_baseline,published_computational_target,evaluated
development::Rg::angstrom::primary_only,published_development_split,,primary_only,morgan_weighted_ridge,Rg,angstrom,validation,hard_group_macro,357,338,1.55970556189,2.1605853332,0.00376437872317,0.332975355465,10,computational_transfer_baseline,published_computational_target,evaluated
development::Rg::angstrom::primary_only,published_development_split,,primary_only,morgan_weighted_ridge,Rg,angstrom,validation,row_weighted,357,338,1.60205652248,2.23134787584,-0.0364749016463,0.305632356316,10,computational_transfer_baseline,published_computational_target,evaluated
development::Rg::angstrom::primary_only,published_development_split,,primary_only,weighted_mean,Rg,angstrom,test,hard_group_macro,362,343,1.64002326511,2.13959120633,-0.00242411544132,0.0922936879611,,computational_transfer_baseline,published_computational_target,evaluated
development::Rg::angstrom::primary_only,published_development_split,,primary_only,weighted_mean,Rg,angstrom,test,row_weighted,362,343,1.66364484754,2.18091599101,-0.00626012010972,,,computational_transfer_baseline,published_computational_target,evaluated
