release_id,source_id,source_family_id,observation_id,formulation_id,sample_id,batch_id,lifecycle_status,model_admission_layer,usage_mode,recommended_loss_weight_ceiling,polymer_family,macrodiol_family,macrodiol_nominal_mn_g_mol,macrodiol_repeat_unit_text,macrodiol_structure_mapping_status,hard_segment_mass_fraction,diisocyanate_family,diisocyanate_smiles,chain_extension_route,chain_extension_reagent,curve_point_count,tensile_strength_MPa,elongation_at_break_percent,toughness_MJ_m3,young_modulus_0_5pct_MPa,negative_strain_step_fraction,endpoint_quality_status,test_speed,method_or_test_protocol,leakage_group,curve_sha256,source_file_sha256,source_locator,license,citation_keys
tpu-drum-mechanical-recycling-2026-08-30-v1,source_drum_tpuu_recycling_05ek6k60,family_drum_tpuu_recycling_2024,drum_tensile_00f85711160efe46d559,P4MCL-5k-29HS,10.13020/05ek-6k60|P4MCL-5k-29HS|DCB-4-10|P4MCL-5k-29HS|1 _ 3,P4MCL-5k-29HS|DCB-4-10,原生实验材料,核心实验层,primary_train,1.0,TPUU,P4MCL,5000.0,[-O-CH2-CH2-CH(CH3)-CH2-CH2-C(=O)-]n,repeat_topology_mapped,0.29,IPDI,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,water_to_urea,water,247,58.83169,815.8372,180.30764941664802,,0.0,valid,nan,README: Shimadzu AGS-X；室温；50 mm/min；至少5个拉伸重复；模量拟合0–5%应变,10.13020/05ek-6k60|P4MCL-5k-29HS|DCB-4-10,00f85711160efe46d5596a817d832917b346f4a6ef790dba5175a8e8806a5448,15778c9819d5518da2ad96618a0b3b4ef1618bcfabad6058fcd4efca0ceae85e,数据/原始/外部数据/新增开放数据/DRUM_TPUU_机械回收/解包内容/RAW_TPUU_characterization/Polyol-5k-29HS_Tensile_Prop.xlsx#sheet=P4MCL-5k-29HS;sample=1 _ 3,CC0-1.0,reference-53;reference-54
tpu-drum-mechanical-recycling-2026-08-30-v1,source_drum_tpuu_recycling_05ek6k60,family_drum_tpuu_recycling_2024,drum_tensile_06ed4b808ea18d0c0833,P4MCL-2k-18HS,10.13020/05ek-6k60|P4MCL-2k-18HS|DCB-3-152|P4MCL-2k-18HS|1 _ 1,P4MCL-2k-18HS|DCB-3-152,原生实验材料,核心实验层,primary_train,1.0,TPUU,P4MCL,2000.0,[-O-CH2-CH2-CH(CH3)-CH2-CH2-C(=O)-]n,repeat_topology_mapped,0.18,IPDI,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,water_to_urea,water,142,0.4550805,387.8759,1.2414539171516137,,0.0,valid,nan,README: Shimadzu AGS-X；室温；50 mm/min；至少5个拉伸重复；模量拟合0–5%应变,10.13020/05ek-6k60|P4MCL-2k-18HS|DCB-3-152,06ed4b808ea18d0c0833c99293a5e4cc75dab2a810a1a8596950a4705cb3ae1a,1ea43958ddb18c6bed9f52fed3e00ca3335d9248dabbca34f911f262a9843215,数据/原始/外部数据/新增开放数据/DRUM_TPUU_机械回收/解包内容/RAW_TPUU_characterization/Polyol-2k-18HS_Tensile_Prop.xlsx#sheet=P4MCL-2k-18HS;sample=1 _ 1,CC0-1.0,reference-53;reference-54
tpu-drum-mechanical-recycling-2026-08-30-v1,source_drum_tpuu_recycling_05ek6k60,family_drum_tpuu_recycling_2024,drum_tensile_0c66eaae293d58457aca,PCL-1k-28HS,10.13020/05ek-6k60|PCL-1k-28HS|DCB-3-112|PCL-1k-28HS|1 _ 7,PCL-1k-28HS|DCB-3-112,原生实验材料,核心实验层,primary_train,1.0,TPUU,PCL,1000.0,[-O-(CH2)5-C(=O)-]n,repeat_topology_mapped,0.28,IPDI,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,water_to_urea,water,197,47.49543,649.738,93.05552385075613,,0.0,valid,nan,README: Shimadzu AGS-X；室温；50 mm/min；至少5个拉伸重复；模量拟合0–5%应变,10.13020/05ek-6k60|PCL-1k-28HS|DCB-3-112,0c66eaae293d58457aca335d20885086699fc2a1344ac0d6f3995432446276dc,0f1aa0dbff5937f2846c0ea0473afbf2b3a09737b7082fd28257d85bc4d8c718,数据/原始/外部数据/新增开放数据/DRUM_TPUU_机械回收/解包内容/RAW_TPUU_characterization/Polyol-1k-28HS_Tensile_Prop.xlsx#sheet=PCL-1k-28HS;sample=1 _ 7,CC0-1.0,reference-53;reference-54
tpu-drum-mechanical-recycling-2026-08-30-v1,source_drum_tpuu_recycling_05ek6k60,family_drum_tpuu_recycling_2024,drum_tensile_0cefc2a0f5e266455881,PMCL-1k-46HS,10.13020/05ek-6k60|PMCL-1k-46HS|DCB-3-118|PMCL-1k-46HS|1 _ 1,PMCL-1k-46HS|DCB-3-118,原生实验材料,核心实验层,primary_train,1.0,TPUU,PMCL,1000.0,,family_only_regioisomer_distribution_unresolved,0.46,IPDI,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,water_to_urea,water,108,49.99881,334.5255,78.23281151269161,,0.0,valid,nan,README: Shimadzu AGS-X；室温；50 mm/min；至少5个拉伸重复；模量拟合0–5%应变,10.13020/05ek-6k60|PMCL-1k-46HS|DCB-3-118,0cefc2a0f5e2664558817fa6957fc8978e4c75ea0f43024108fc110bfa1ce10c,b9cfc1217788a2bc2917c53da24b120524d14dc65cffda3121beeafa5c3593d1,数据/原始/外部数据/新增开放数据/DRUM_TPUU_机械回收/解包内容/RAW_TPUU_characterization/Polyol_1k-45HS_Tensile_Prop.xlsx#sheet=PMCL-1k-46HS;sample=1 _ 1,CC0-1.0,reference-53;reference-54
tpu-drum-mechanical-recycling-2026-08-30-v1,source_drum_tpuu_recycling_05ek6k60,family_drum_tpuu_recycling_2024,drum_tensile_0d4dc08db7438fe826fe,P4MCL-1k-28HS,10.13020/05ek-6k60|P4MCL-1k-28HS|DCB-3-100|P4MCL-1k-28HS|1 _ 5,P4MCL-1k-28HS|DCB-3-100,原生实验材料,核心实验层,primary_train,1.0,TPUU,P4MCL,1000.0,[-O-CH2-CH2-CH(CH3)-CH2-CH2-C(=O)-]n,repeat_topology_mapped,0.28,IPDI,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,water_to_urea,water,212,46.76284,744.8826,106.49501512414454,,0.0,valid,nan,README: Shimadzu AGS-X；室温；50 mm/min；至少5个拉伸重复；模量拟合0–5%应变,10.13020/05ek-6k60|P4MCL-1k-28HS|DCB-3-100,0d4dc08db7438fe826fef9856d87a85168476858a0c06a655b8bce6122886dd8,0f1aa0dbff5937f2846c0ea0473afbf2b3a09737b7082fd28257d85bc4d8c718,数据/原始/外部数据/新增开放数据/DRUM_TPUU_机械回收/解包内容/RAW_TPUU_characterization/Polyol-1k-28HS_Tensile_Prop.xlsx#sheet=P4MCL-1k-28HS;sample=1 _ 5,CC0-1.0,reference-53;reference-54
tpu-drum-mechanical-recycling-2026-08-30-v1,source_drum_tpuu_recycling_05ek6k60,family_drum_tpuu_recycling_2024,drum_tensile_0f075e702ed412ba976d,P4PrCL-1k-28HS,10.13020/05ek-6k60|P4PrCL-1k-28HS|未解析批次|P4PrCL-1k-28HS|1 _ 2,P4PrCL-1k-28HS|未解析批次,原生实验材料,核心实验层,primary_train,1.0,TPUU,P4PrCL,1000.0,[-O-CH2-CH2-CH(CH2CH2CH3)-CH2-CH2-C(=O)-]n,repeat_topology_mapped,0.28,IPDI,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,water_to_urea,water,201,13.95645,728.2153,31.10113836041235,,0.0,valid,50mm/min,README: Shimadzu AGS-X；室温；50 mm/min；至少5个拉伸重复；模量拟合0–5%应变,10.13020/05ek-6k60|P4PrCL-1k-28HS|未解析批次,0f075e702ed412ba976dd8e005283ea88ccb74933b87a3a632b9c02c4354b11c,0f1aa0dbff5937f2846c0ea0473afbf2b3a09737b7082fd28257d85bc4d8c718,数据/原始/外部数据/新增开放数据/DRUM_TPUU_机械回收/解包内容/RAW_TPUU_characterization/Polyol-1k-28HS_Tensile_Prop.xlsx#sheet=P4PrCL-1k-28HS;sample=1 _ 2,CC0-1.0,reference-53;reference-54
tpu-drum-mechanical-recycling-2026-08-30-v1,source_drum_tpuu_recycling_05ek6k60,family_drum_tpuu_recycling_2024,drum_tensile_10b97ba421d9e9acaa36,P4MCL-1.6k-31HS,10.13020/05ek-6k60|P4MCL-1.6k-31HS|未解析批次|P4MCL-1.6k-31HS|1 _ 3,P4MCL-1.6k-31HS|未解析批次,回收单体再聚合,核心实验层,primary_train,1.0,TPUU,P4MCL,1600.0,[-O-CH2-CH2-CH(CH3)-CH2-CH2-C(=O)-]n,repeat_topology_mapped,0.31,IPDI,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,water_to_urea,water,177,41.73597,662.6845,93.13778508668855,,0.0,valid,50mm/min,README: Shimadzu AGS-X；室温；50 mm/min；至少5个拉伸重复；模量拟合0–5%应变,10.13020/05ek-6k60|P4MCL-1.6k-31HS|未解析批次,10b97ba421d9e9acaa3684eaca5ef6905e26b67ed071d1a03fe3516169015cef,95bd9f55b348aa2fb2c28640a93ca410e6dda21cf1e37f7f593bebd4ca072615,数据/原始/外部数据/新增开放数据/DRUM_TPUU_机械回收/解包内容/RAW_Chemical_recycling/Repolymerized_TPUUs_tensile.xlsx#sheet=P4MCL-1.6k-31HS;sample=1 _ 3,CC0-1.0,reference-53;reference-54
tpu-drum-mechanical-recycling-2026-08-30-v1,source_drum_tpuu_recycling_05ek6k60,family_drum_tpuu_recycling_2024,drum_tensile_12a3ec2b8fba2dca40a3,P4PrCL-1k-28HS,10.13020/05ek-6k60|P4PrCL-1k-28HS|未解析批次|P4PrCL-1k-28HS|1 _ 4,P4PrCL-1k-28HS|未解析批次,原生实验材料,核心实验层,primary_train,1.0,TPUU,P4PrCL,1000.0,[-O-CH2-CH2-CH(CH2CH2CH3)-CH2-CH2-C(=O)-]n,repeat_topology_mapped,0.28,IPDI,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,water_to_urea,water,201,14.96345,756.6309,34.487633618564274,,0.0,valid,50mm/min,README: Shimadzu AGS-X；室温；50 mm/min；至少5个拉伸重复；模量拟合0–5%应变,10.13020/05ek-6k60|P4PrCL-1k-28HS|未解析批次,12a3ec2b8fba2dca40a369396650412340523f332093baa488e0ae1169e91929,0f1aa0dbff5937f2846c0ea0473afbf2b3a09737b7082fd28257d85bc4d8c718,数据/原始/外部数据/新增开放数据/DRUM_TPUU_机械回收/解包内容/RAW_TPUU_characterization/Polyol-1k-28HS_Tensile_Prop.xlsx#sheet=P4PrCL-1k-28HS;sample=1 _ 4,CC0-1.0,reference-53;reference-54
tpu-drum-mechanical-recycling-2026-08-30-v1,source_drum_tpuu_recycling_05ek6k60,family_drum_tpuu_recycling_2024,drum_tensile_14d7bee85610e074c0d4,PCL-2k-30HS,10.13020/05ek-6k60|PCL-2k-30HS|DCB-4-9|PCL-2k-30HS|1 _ 4,PCL-2k-30HS|DCB-4-9,原生实验材料,核心实验层,primary_train,1.0,TPUU,PCL,2000.0,[-O-(CH2)5-C(=O)-]n,repeat_topology_mapped,0.3,IPDI,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,water_to_urea,water,216,58.53878,623.6187,138.25576214518946,,0.0,valid,nan,README: Shimadzu AGS-X；室温；50 mm/min；至少5个拉伸重复；模量拟合0–5%应变,10.13020/05ek-6k60|PCL-2k-30HS|DCB-4-9,14d7bee85610e074c0d4272b92a349b36081d90b7aedc17196d8d973d0bbeb24,8f89c6e6135d892d43401187948eb28d388ef5d8acfd35ab3e6137820cb8da16,数据/原始/外部数据/新增开放数据/DRUM_TPUU_机械回收/解包内容/RAW_TPUU_characterization/Polyol-2k-31HS_Tensile_Prop.xlsx#sheet=PCL-2k-30HS;sample=1 _ 4,CC0-1.0,reference-53;reference-54
tpu-drum-mechanical-recycling-2026-08-30-v1,source_drum_tpuu_recycling_05ek6k60,family_drum_tpuu_recycling_2024,drum_tensile_188035d79f83c9fd0fa6,P4MCL-1k-46HS,10.13020/05ek-6k60|P4MCL-1k-46HS|DCB-3-106|P4MCL-1k-46HS|1 _ 4,P4MCL-1k-46HS|DCB-3-106,原生实验材料,核心实验层,primary_train,1.0,TPUU,P4MCL,1000.0,[-O-CH2-CH2-CH(CH3)-CH2-CH2-C(=O)-]n,repeat_topology_mapped,0.46,IPDI,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,water_to_urea,water,97,47.87579,249.155,60.66947025416016,,0.0,valid,nan,README: Shimadzu AGS-X；室温；50 mm/min；至少5个拉伸重复；模量拟合0–5%应变,10.13020/05ek-6k60|P4MCL-1k-46HS|DCB-3-106,188035d79f83c9fd0fa61037778a32d517a83d25c6d780540a9cfe6feae1a67f,b9cfc1217788a2bc2917c53da24b120524d14dc65cffda3121beeafa5c3593d1,数据/原始/外部数据/新增开放数据/DRUM_TPUU_机械回收/解包内容/RAW_TPUU_characterization/Polyol_1k-45HS_Tensile_Prop.xlsx#sheet=P4MCL-1k-46HS;sample=1 _ 4,CC0-1.0,reference-53;reference-54
