release_id,source_id,formulation_id,polymer_family,HDI_mol_percent,HPED_mol_percent,TEA_mol_percent,fraction_basis,chemistry_mapping_status,identity_mapping_evidence,split_group,HDI_name,HDI_smiles,HPED_name,TEA_name,TEA_smiles,thermoplastic_tpu_core,model_admission_layer,usage_mode,future_weight_ceiling,source_locator,license,citation_keys,T5_C,T10_C,T50_C,Tg_DMA_C,tan_delta_peak,TGA_baseline_weight_percent,TGA_point_count,TGA_atmosphere,TGA_heating_rate_C_min,TGA_temperature_range_C,Tg_method
pu-shape-memory-dib-2020-v1,doi:10.1016/j.dib.2020.106294,SMP-1,crosslinked_shape_memory_polyurethane,53.5,46.5,0.0,molar_percent,monomer_set_molar_composition_mapped,doi:10.1016/j.jmbbm.2018.08.037; doi:10.1016/j.dib.2020.106294,doi:10.1016/j.dib.2020.106294|SMP-1,"1,6-hexamethylene diisocyanate",O=C=NCCCCCCN=C=O,"N,N,N',N'-tetrakis(2-hydroxypropyl)ethylenediamine",triethanolamine,OCCN(CCO)CCO,False,polyurethane_transfer,transfer_learning_only,0.2,数据/原始/外部数据/新增开放数据/DataInBrief_聚氨酯形状记忆多模态原始数据/mmc5.txt,CC-BY-4.0,reference-184;reference-185,282.5,289.5147058823529,356.6,82.6,0.9917,100.0,564,nitrogen,10.0,31-600,temperature_at_maximum_tan_delta
pu-shape-memory-dib-2020-v1,doi:10.1016/j.dib.2020.106294,SMP-2,crosslinked_shape_memory_polyurethane,53.9,44.5,1.6,molar_percent,monomer_set_molar_composition_mapped,doi:10.1016/j.jmbbm.2018.08.037; doi:10.1016/j.dib.2020.106294,doi:10.1016/j.dib.2020.106294|SMP-2,"1,6-hexamethylene diisocyanate",O=C=NCCCCCCN=C=O,"N,N,N',N'-tetrakis(2-hydroxypropyl)ethylenediamine",triethanolamine,OCCN(CCO)CCO,False,polyurethane_transfer,transfer_learning_only,0.2,数据/原始/外部数据/新增开放数据/DataInBrief_聚氨酯形状记忆多模态原始数据/mmc5.txt,CC-BY-4.0,reference-184;reference-185,280.1081081081081,288.6741573033708,353.57894736842104,78.74,1.0,100.0,870,nitrogen,10.0,31-600,temperature_at_maximum_tan_delta
pu-shape-memory-dib-2020-v1,doi:10.1016/j.dib.2020.106294,SMP-3,crosslinked_shape_memory_polyurethane,54.3,42.5,3.2,molar_percent,monomer_set_molar_composition_mapped,doi:10.1016/j.jmbbm.2018.08.037; doi:10.1016/j.dib.2020.106294,doi:10.1016/j.dib.2020.106294|SMP-3,"1,6-hexamethylene diisocyanate",O=C=NCCCCCCN=C=O,"N,N,N',N'-tetrakis(2-hydroxypropyl)ethylenediamine",triethanolamine,OCCN(CCO)CCO,False,polyurethane_transfer,transfer_learning_only,0.2,数据/原始/外部数据/新增开放数据/DataInBrief_聚氨酯形状记忆多模态原始数据/mmc5.txt,CC-BY-4.0,reference-184;reference-185,279.62857142857143,286.75257731958766,351.4054054054054,73.17,1.0,100.0,870,nitrogen,10.0,31-600,temperature_at_maximum_tan_delta
pu-shape-memory-dib-2020-v1,doi:10.1016/j.dib.2020.106294,SMP-4,crosslinked_shape_memory_polyurethane,55.1,38.4,6.5,molar_percent,monomer_set_molar_composition_mapped,doi:10.1016/j.jmbbm.2018.08.037; doi:10.1016/j.dib.2020.106294,doi:10.1016/j.dib.2020.106294|SMP-4,"1,6-hexamethylene diisocyanate",O=C=NCCCCCCN=C=O,"N,N,N',N'-tetrakis(2-hydroxypropyl)ethylenediamine",triethanolamine,OCCN(CCO)CCO,False,polyurethane_transfer,transfer_learning_only,0.2,数据/原始/外部数据/新增开放数据/DataInBrief_聚氨酯形状记忆多模态原始数据/mmc5.txt,CC-BY-4.0,reference-184;reference-185,286.7894736842105,293.4642857142857,351.0,65.65,1.0,100.0,670,nitrogen,10.0,31-600,temperature_at_maximum_tan_delta
pu-shape-memory-dib-2020-v1,doi:10.1016/j.dib.2020.106294,SMP-5,crosslinked_shape_memory_polyurethane,56.0,34.1,9.9,molar_percent,monomer_set_molar_composition_mapped,doi:10.1016/j.jmbbm.2018.08.037; doi:10.1016/j.dib.2020.106294,doi:10.1016/j.dib.2020.106294|SMP-5,"1,6-hexamethylene diisocyanate",O=C=NCCCCCCN=C=O,"N,N,N',N'-tetrakis(2-hydroxypropyl)ethylenediamine",triethanolamine,OCCN(CCO)CCO,False,polyurethane_transfer,transfer_learning_only,0.2,数据/原始/外部数据/新增开放数据/DataInBrief_聚氨酯形状记忆多模态原始数据/mmc5.txt,CC-BY-4.0,reference-184;reference-185,279.74583333333334,287.1322916666667,342.8783783783784,60.83,1.0,99.97,670,nitrogen,10.0,31-600,temperature_at_maximum_tan_delta
pu-shape-memory-dib-2020-v1,doi:10.1016/j.dib.2020.106294,SMP-6,crosslinked_shape_memory_polyurethane,56.9,29.7,13.4,molar_percent,monomer_set_molar_composition_mapped,doi:10.1016/j.jmbbm.2018.08.037; doi:10.1016/j.dib.2020.106294,doi:10.1016/j.dib.2020.106294|SMP-6,"1,6-hexamethylene diisocyanate",O=C=NCCCCCCN=C=O,"N,N,N',N'-tetrakis(2-hydroxypropyl)ethylenediamine",triethanolamine,OCCN(CCO)CCO,False,polyurethane_transfer,transfer_learning_only,0.2,数据/原始/外部数据/新增开放数据/DataInBrief_聚氨酯形状记忆多模态原始数据/mmc5.txt,CC-BY-4.0,reference-184;reference-185,279.88278688524593,285.5518181818182,341.25,55.39,1.0,99.97,670,nitrogen,10.0,31-600,temperature_at_maximum_tan_delta
pu-shape-memory-dib-2020-v1,doi:10.1016/j.dib.2020.106294,SMP-7,crosslinked_shape_memory_polyurethane,57.8,25.1,17.1,molar_percent,monomer_set_molar_composition_mapped,doi:10.1016/j.jmbbm.2018.08.037; doi:10.1016/j.dib.2020.106294,doi:10.1016/j.dib.2020.106294|SMP-7,"1,6-hexamethylene diisocyanate",O=C=NCCCCCCN=C=O,"N,N,N',N'-tetrakis(2-hydroxypropyl)ethylenediamine",triethanolamine,OCCN(CCO)CCO,False,polyurethane_transfer,transfer_learning_only,0.2,数据/原始/外部数据/新增开放数据/DataInBrief_聚氨酯形状记忆多模态原始数据/mmc5.txt,CC-BY-4.0,reference-184;reference-185,278.0924528301887,284.5160714285714,337.55555555555554,52.6,1.0,99.98,670,nitrogen,10.0,31-600,temperature_at_maximum_tan_delta
pu-shape-memory-dib-2020-v1,doi:10.1016/j.dib.2020.106294,SMP-8,crosslinked_shape_memory_polyurethane,58.8,20.4,20.8,molar_percent,monomer_set_molar_composition_mapped,doi:10.1016/j.jmbbm.2018.08.037; doi:10.1016/j.dib.2020.106294,doi:10.1016/j.dib.2020.106294|SMP-8,"1,6-hexamethylene diisocyanate",O=C=NCCCCCCN=C=O,"N,N,N',N'-tetrakis(2-hydroxypropyl)ethylenediamine",triethanolamine,OCCN(CCO)CCO,False,polyurethane_transfer,transfer_learning_only,0.2,数据/原始/外部数据/新增开放数据/DataInBrief_聚氨酯形状记忆多模态原始数据/mmc5.txt,CC-BY-4.0,reference-184;reference-185,281.419298245614,285.815873015873,333.85714285714283,47.08,1.0,99.98,670,nitrogen,10.0,31-600,temperature_at_maximum_tan_delta
pu-shape-memory-dib-2020-v1,doi:10.1016/j.dib.2020.106294,SMP-9,crosslinked_shape_memory_polyurethane,59.7,15.6,24.7,molar_percent,monomer_set_molar_composition_mapped,doi:10.1016/j.jmbbm.2018.08.037; doi:10.1016/j.dib.2020.106294,doi:10.1016/j.dib.2020.106294|SMP-9,"1,6-hexamethylene diisocyanate",O=C=NCCCCCCN=C=O,"N,N,N',N'-tetrakis(2-hydroxypropyl)ethylenediamine",triethanolamine,OCCN(CCO)CCO,False,polyurethane_transfer,transfer_learning_only,0.2,数据/原始/外部数据/新增开放数据/DataInBrief_聚氨酯形状记忆多模态原始数据/mmc5.txt,CC-BY-4.0,reference-184;reference-185,280.21649484536084,284.7844827586207,331.02702702702703,41.6,1.0,100.0,670,nitrogen,10.0,31-600,temperature_at_maximum_tan_delta
pu-shape-memory-dib-2020-v1,doi:10.1016/j.dib.2020.106294,SMP-10,crosslinked_shape_memory_polyurethane,60.7,10.6,28.7,molar_percent,monomer_set_molar_composition_mapped,doi:10.1016/j.jmbbm.2018.08.037; doi:10.1016/j.dib.2020.106294,doi:10.1016/j.dib.2020.106294|SMP-10,"1,6-hexamethylene diisocyanate",O=C=NCCCCCCN=C=O,"N,N,N',N'-tetrakis(2-hydroxypropyl)ethylenediamine",triethanolamine,OCCN(CCO)CCO,False,polyurethane_transfer,transfer_learning_only,0.2,数据/原始/外部数据/新增开放数据/DataInBrief_聚氨酯形状记忆多模态原始数据/mmc5.txt,CC-BY-4.0,reference-184;reference-185,273.9695652173913,279.1663716814159,321.175,37.06,1.0,99.98,670,nitrogen,10.0,31-600,temperature_at_maximum_tan_delta
