release_id,source_id,formulation_id,polymer_family,soft_segment_family,diisocyanate_family,formulation_code_value,formulation_semantics_status,chemistry_mapping_status,thermoplastic_tpu_core,model_admission_layer,usage_mode,future_weight_ceiling,split_group,license,citation_keys,cyclic_run_id,replicate_id,cycle_number,maximum_strain_percent,peak_stress_MPa,loading_energy_MJ_m3,unloading_energy_MJ_m3,hysteresis_energy_MJ_m3,cycle_point_count,peak_stress_retention_percent,hysteresis_retention_percent,dissipation_fraction,cycle_strain_range_percent,segmentation_low_threshold_percent,segmentation_high_threshold_percent,cyclic_target_role,direct_shape_recovery_available,shape_recovery_ratio_percent,source_member,source_curve_sha256,source_run_point_count
iir-oh-pu-cyclic-durability-2026-v1,doi:10.17632/wg3znh66bv.1,HDI-4,IIR_OH_crosslinked_polyurethane_network,hydroxylated_butyl_rubber_IIR_OH,HDI,4,numeric_code_4_unresolved,polymer_family_diisocyanate_code_mapped,False,polyurethane_adjacent_experimental,cyclic_and_durability_transfer_supervision,0.45,10.17632/wg3znh66bv.1|HDI-4,CC-BY-4.0,reference-190;reference-191,HDI-4_rep1,1,1,49.986989875,2.882960331,0.9870538662318586,0.2438984495033985,0.7431554167284602,4534,100.0,100.0,0.752902594430336,0-50,0.5,45.0,peak_stress_and_hysteresis_retention_transfer,False,,Low-Permeability and Calcification-resistant Polyu/Dataset 2. Network and mechanical data/cyclic tensile raw data/HDI-4-(C0-50)-1.txt,606c7b00cadffc31af3aaecdc9e30ec99547611321fa5d4871786d6d50ffaf86,456259
iir-oh-pu-cyclic-durability-2026-v1,doi:10.17632/wg3znh66bv.1,HDI-4,IIR_OH_crosslinked_polyurethane_network,hydroxylated_butyl_rubber_IIR_OH,HDI,4,numeric_code_4_unresolved,polymer_family_diisocyanate_code_mapped,False,polyurethane_adjacent_experimental,cyclic_and_durability_transfer_supervision,0.45,10.17632/wg3znh66bv.1|HDI-4,CC-BY-4.0,reference-190;reference-191,HDI-4_rep1,1,2,49.986146625,2.653470959,0.40882439279223726,0.22812954551403342,0.18069484727820384,4562,92.03980125802154,24.314543527606084,0.44198646280392606,0-50,0.5,45.0,peak_stress_and_hysteresis_retention_transfer,False,,Low-Permeability and Calcification-resistant Polyu/Dataset 2. Network and mechanical data/cyclic tensile raw data/HDI-4-(C0-50)-1.txt,606c7b00cadffc31af3aaecdc9e30ec99547611321fa5d4871786d6d50ffaf86,456259
iir-oh-pu-cyclic-durability-2026-v1,doi:10.17632/wg3znh66bv.1,HDI-4,IIR_OH_crosslinked_polyurethane_network,hydroxylated_butyl_rubber_IIR_OH,HDI,4,numeric_code_4_unresolved,polymer_family_diisocyanate_code_mapped,False,polyurethane_adjacent_experimental,cyclic_and_durability_transfer_supervision,0.45,10.17632/wg3znh66bv.1|HDI-4,CC-BY-4.0,reference-190;reference-191,HDI-4_rep1,1,3,49.98642771,2.517211663,0.3683777293069441,0.21934080839114414,0.14903692091579998,4562,87.31343390100916,20.054610053425236,0.4045763602381556,0-50,0.5,45.0,peak_stress_and_hysteresis_retention_transfer,False,,Low-Permeability and Calcification-resistant Polyu/Dataset 2. Network and mechanical data/cyclic tensile raw data/HDI-4-(C0-50)-1.txt,606c7b00cadffc31af3aaecdc9e30ec99547611321fa5d4871786d6d50ffaf86,456259
iir-oh-pu-cyclic-durability-2026-v1,doi:10.17632/wg3znh66bv.1,HDI-4,IIR_OH_crosslinked_polyurethane_network,hydroxylated_butyl_rubber_IIR_OH,HDI,4,numeric_code_4_unresolved,polymer_family_diisocyanate_code_mapped,False,polyurethane_adjacent_experimental,cyclic_and_durability_transfer_supervision,0.45,10.17632/wg3znh66bv.1|HDI-4,CC-BY-4.0,reference-190;reference-191,HDI-4_rep1,1,4,49.98520299,2.445496298,0.35339077567808164,0.21553658229622066,0.13785419338186097,4562,84.82587400540962,18.549847081614047,0.39008995952808373,0-50,0.5,45.0,peak_stress_and_hysteresis_retention_transfer,False,,Low-Permeability and Calcification-resistant Polyu/Dataset 2. Network and mechanical data/cyclic tensile raw data/HDI-4-(C0-50)-1.txt,606c7b00cadffc31af3aaecdc9e30ec99547611321fa5d4871786d6d50ffaf86,456259
iir-oh-pu-cyclic-durability-2026-v1,doi:10.17632/wg3znh66bv.1,HDI-4,IIR_OH_crosslinked_polyurethane_network,hydroxylated_butyl_rubber_IIR_OH,HDI,4,numeric_code_4_unresolved,polymer_family_diisocyanate_code_mapped,False,polyurethane_adjacent_experimental,cyclic_and_durability_transfer_supervision,0.45,10.17632/wg3znh66bv.1|HDI-4,CC-BY-4.0,reference-190;reference-191,HDI-4_rep1,1,5,49.98581535,2.380952367,0.3424775870246257,0.21223590550165836,0.13024168152296736,4562,82.58706654399678,17.52549716939708,0.38029256937506506,0-50,0.5,45.0,peak_stress_and_hysteresis_retention_transfer,False,,Low-Permeability and Calcification-resistant Polyu/Dataset 2. Network and mechanical data/cyclic tensile raw data/HDI-4-(C0-50)-1.txt,606c7b00cadffc31af3aaecdc9e30ec99547611321fa5d4871786d6d50ffaf86,456259
iir-oh-pu-cyclic-durability-2026-v1,doi:10.17632/wg3znh66bv.1,HDI-4,IIR_OH_crosslinked_polyurethane_network,hydroxylated_butyl_rubber_IIR_OH,HDI,4,numeric_code_4_unresolved,polymer_family_diisocyanate_code_mapped,False,polyurethane_adjacent_experimental,cyclic_and_durability_transfer_supervision,0.45,10.17632/wg3znh66bv.1|HDI-4,CC-BY-4.0,reference-190;reference-191,HDI-4_rep1,1,6,49.988586025,2.345094582,0.3340941119423417,0.207794488859059,0.12629962308328269,4562,81.34328304082378,16.99504844347128,0.37803606399708,0-50,0.5,45.0,peak_stress_and_hysteresis_retention_transfer,False,,Low-Permeability and Calcification-resistant Polyu/Dataset 2. Network and mechanical data/cyclic tensile raw data/HDI-4-(C0-50)-1.txt,606c7b00cadffc31af3aaecdc9e30ec99547611321fa5d4871786d6d50ffaf86,456259
iir-oh-pu-cyclic-durability-2026-v1,doi:10.17632/wg3znh66bv.1,HDI-4,IIR_OH_crosslinked_polyurethane_network,hydroxylated_butyl_rubber_IIR_OH,HDI,4,numeric_code_4_unresolved,polymer_family_diisocyanate_code_mapped,False,polyurethane_adjacent_experimental,cyclic_and_durability_transfer_supervision,0.45,10.17632/wg3znh66bv.1|HDI-4,CC-BY-4.0,reference-190;reference-191,HDI-4_rep1,1,7,49.983797575,2.337923148,0.3277978544739163,0.206266953732153,0.12153090074176329,4562,81.09453060663705,16.353362702618796,0.3707495307948509,0-50,0.5,45.0,peak_stress_and_hysteresis_retention_transfer,False,,Low-Permeability and Calcification-resistant Polyu/Dataset 2. Network and mechanical data/cyclic tensile raw data/HDI-4-(C0-50)-1.txt,606c7b00cadffc31af3aaecdc9e30ec99547611321fa5d4871786d6d50ffaf86,456259
iir-oh-pu-cyclic-durability-2026-v1,doi:10.17632/wg3znh66bv.1,HDI-4,IIR_OH_crosslinked_polyurethane_network,hydroxylated_butyl_rubber_IIR_OH,HDI,4,numeric_code_4_unresolved,polymer_family_diisocyanate_code_mapped,False,polyurethane_adjacent_experimental,cyclic_and_durability_transfer_supervision,0.45,10.17632/wg3znh66bv.1|HDI-4,CC-BY-4.0,reference-190;reference-191,HDI-4_rep1,1,8,49.98769258,2.309237003,0.3231780672006784,0.20414077671233946,0.11903729048833891,4562,80.0995066830838,16.01781912757472,0.36833344391041967,0-50,0.5,45.0,peak_stress_and_hysteresis_retention_transfer,False,,Low-Permeability and Calcification-resistant Polyu/Dataset 2. Network and mechanical data/cyclic tensile raw data/HDI-4-(C0-50)-1.txt,606c7b00cadffc31af3aaecdc9e30ec99547611321fa5d4871786d6d50ffaf86,456259
iir-oh-pu-cyclic-durability-2026-v1,doi:10.17632/wg3znh66bv.1,HDI-4,IIR_OH_crosslinked_polyurethane_network,hydroxylated_butyl_rubber_IIR_OH,HDI,4,numeric_code_4_unresolved,polymer_family_diisocyanate_code_mapped,False,polyurethane_adjacent_experimental,cyclic_and_durability_transfer_supervision,0.45,10.17632/wg3znh66bv.1|HDI-4,CC-BY-4.0,reference-190;reference-191,HDI-4_rep1,1,9,49.98483156,2.280550857,0.317936233164402,0.2017740352150967,0.1161621979493053,4562,79.10448272484399,15.63094277919386,0.3653631949814253,0-50,0.5,45.0,peak_stress_and_hysteresis_retention_transfer,False,,Low-Permeability and Calcification-resistant Polyu/Dataset 2. Network and mechanical data/cyclic tensile raw data/HDI-4-(C0-50)-1.txt,606c7b00cadffc31af3aaecdc9e30ec99547611321fa5d4871786d6d50ffaf86,456259
iir-oh-pu-cyclic-durability-2026-v1,doi:10.17632/wg3znh66bv.1,HDI-4,IIR_OH_crosslinked_polyurethane_network,hydroxylated_butyl_rubber_IIR_OH,HDI,4,numeric_code_4_unresolved,polymer_family_diisocyanate_code_mapped,False,polyurethane_adjacent_experimental,cyclic_and_durability_transfer_supervision,0.45,10.17632/wg3znh66bv.1|HDI-4,CC-BY-4.0,reference-190;reference-191,HDI-4_rep1,1,10,49.987371345,2.280550857,0.31423982117523175,0.19931485110214742,0.11492497007308433,4562,79.10448272484399,15.464459719477022,0.3657237635996423,0-50,0.5,45.0,peak_stress_and_hysteresis_retention_transfer,False,,Low-Permeability and Calcification-resistant Polyu/Dataset 2. Network and mechanical data/cyclic tensile raw data/HDI-4-(C0-50)-1.txt,606c7b00cadffc31af3aaecdc9e30ec99547611321fa5d4871786d6d50ffaf86,456259
