source_id,material_code,formulation_id,fiber_csv_id,hydration_condition,test_date_batch,diameter_um,temperature_degC,nominal_strain_percent,peak_force_cycle1_uN,loading_work_cycle1_pJ,recovery_work_cycle1_pJ,hysteresis_work_cycle1_pJ,dissipation_fraction_cycle1,loading_displacement_excursion_cycle1_um,residual_displacement_cycle1_um,displacement_recovery_proxy_cycle1,peak_force_cycle2_uN,loading_work_cycle2_pJ,recovery_work_cycle2_pJ,hysteresis_work_cycle2_pJ,dissipation_fraction_cycle2,loading_displacement_excursion_cycle2_um,residual_displacement_cycle2_um,displacement_recovery_proxy_cycle2,cycle2_peak_force_retention,cycle2_loading_work_retention,source_machine_row_count,nested_curve_segment_count,initialization_transient_rows_excluded,absolute_stress_available,complete_toughness_available,target_role,chemistry_mapping_status,model_admission_layer,usage_mode,sample_weight_ceiling,fiber_total_weight_ceiling,split_group,source_locator,source_sha256,license,citation_keys
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_001,Dry,01_29_25,0.727,24.1,10,6.85678199,872.6231521129757,755.4175067061848,117.20564540679095,0.13431415969538327,197.5140000000001,13.297900000000002,0.9326736332614397,6.617471989999999,821.2473681377724,707.1915151079766,114.0558530297958,0.13888124023876544,197.14433000000002,7.8774,0.960042472436311,0.9650987882728351,0.9411248901077153,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_001Data.csv,3d741f8d8f58c8b44f638dff1af8206476a8449bab146c98dc5f9ac835a941c6,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_001,Dry,01_29_25,0.727,24.1,15,14.17613199,3005.7039781082567,3189.519665749168,-183.81568764091116,-0.061155619109438016,425.81699000000015,4.752739999999999,0.9888385383589321,13.200231989999999,2688.3597943313944,2846.8341224844407,-158.47432815304637,-0.058948332915557365,394.36889999999994,1.0684899999999988,0.997290633211696,0.931158936676915,0.894419348649033,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_001Data.csv,3d741f8d8f58c8b44f638dff1af8206476a8449bab146c98dc5f9ac835a941c6,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_001,Dry,01_29_25,0.727,24.1,20,20.50983199,6278.677688397532,6714.081581537281,-435.403893139749,-0.06934643164504825,605.9757500000002,0.7280800000000003,0.9987984997749497,18.88003199,5307.583470709203,5701.550981929584,-393.9675112203813,-0.07422728505252112,559.0723300000001,8.17397,0.98537940520147,0.9205356728034318,0.8453345965691423,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_001Data.csv,3d741f8d8f58c8b44f638dff1af8206476a8449bab146c98dc5f9ac835a941c6,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_001,Dry,01_29_25,0.727,24.1,30,33.68613199,16455.535206567754,17200.76097077607,-745.2257642083168,-0.04528723951262803,990.6062999999999,14.9692,0.9848888503939456,29.94013199,13068.455761395946,14200.31058085567,-1131.8548194597242,-0.08660968366310036,870.8019999999999,13.734300000000001,0.9842279875333313,0.8887969684049202,0.7941677737822862,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_001Data.csv,3d741f8d8f58c8b44f638dff1af8206476a8449bab146c98dc5f9ac835a941c6,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_002,Dry,01_29_25,0.504,23.6,10,7.52843655,1317.9565008737316,934.6965049935776,383.25999588015395,0.2907986687163605,225.7392999999999,0.27263000000000215,0.998792279412579,7.183716550000001,1125.3923105145202,911.3136663662006,214.07864414831965,0.1902257925064768,212.32274999999987,16.02675,0.9245170383296184,0.9542109443693193,0.8538918467858749,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_002Data.csv,9fdacc5ddb4b0a81fc2813fe2b21aad47a8a3866e92ff7e8ec30dc3620c1d2fd,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_002,Dry,01_29_25,0.504,23.6,15,11.61174655,2148.379030126922,2120.636948357773,27.74208176914908,0.012913029488800278,192.74360000000013,145.73215,0.24390667186874226,10.854246550000001,1947.943027244308,1984.9299191682137,-36.98689192390566,-0.01898766617226471,319.59767000000005,1.4472599999999998,0.9954716190515407,0.9347643356890184,0.9067036123179938,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_002Data.csv,9fdacc5ddb4b0a81fc2813fe2b21aad47a8a3866e92ff7e8ec30dc3620c1d2fd,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_002,Dry,01_29_25,0.504,23.6,20,15.88364655,3908.386020513701,3978.842359966899,-70.45633945319787,-0.01802696537225292,452.78620000000006,0.042500000000000426,0.9999061367152974,14.46024655,3277.115239354793,3402.4928912477258,-125.37765189293259,-0.03825854226524462,412.56890000000016,9.803429999999999,0.9762380780519326,0.9103858175438939,0.8384830009508794,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_002Data.csv,9fdacc5ddb4b0a81fc2813fe2b21aad47a8a3866e92ff7e8ec30dc3620c1d2fd,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_002,Dry,01_29_25,0.504,23.6,30,24.60434655,8908.275543070211,9333.944876581276,-425.6693335110649,-0.04778358409021093,698.9130099999998,6.803430000000001,0.9902656984450754,22.27114655,7448.71738724313,7989.494085754851,-540.7766985117205,-0.07259997532432481,650.1177999999998,7.132869999999999,0.989028342248128,0.9051712267481455,0.8361570487160697,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_002Data.csv,9fdacc5ddb4b0a81fc2813fe2b21aad47a8a3866e92ff7e8ec30dc3620c1d2fd,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_003,Dry,01_29_25,0.498,24.0,10,3.7114195000000003,415.89183067547583,285.99520759437513,129.8966230811007,0.3123327112968954,106.52173000000002,7.222600000000001,0.9321959941882281,3.6643795000000003,354.73795652267404,347.56273296752795,7.17522355514609,0.020226827784321035,106.81933000000004,7.002059999999999,0.9344495045980911,0.9873256041253219,0.852957260416782,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_003Data.csv,3e3103cd8c255a54249041e2a304ed574e0f3996111944ca4896bf1fb6c793d6,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_003,Dry,01_29_25,0.498,24.0,15,7.751879499999999,1117.022470586468,1043.106141015082,73.91632957138609,0.06617264336014471,225.62301000000008,3.226719999999999,0.9856986217850742,7.5211795,991.9420747972109,1059.1554893236237,-67.21341452641275,-0.06775941482283995,216.08959,3.7945200000000003,0.9824400610876257,0.9702394754717227,0.8880233844144726,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_003Data.csv,3e3103cd8c255a54249041e2a304ed574e0f3996111944ca4896bf1fb6c793d6,CC0-1.0,reference-197
