source_id,material_grade,formulation_id,experiment_family,condition_key,replicate_curve_count,physical_specimen_count_known,curve_time_unit,temperature_degC,nominal_strain_percent,nominal_strain_rate_s-1,target_role,chemistry_mapping_status,model_admission_layer,usage_mode,sample_weight_ceiling,split_group,license,citation_keys,peak_stress_source_unit_median,peak_stress_source_unit_IQR,retention_at_record_end_median,retention_at_record_end_IQR,relaxation_fraction_at_record_end_median,relaxation_fraction_at_record_end_IQR,retention_at_10s_median,retention_at_10s_IQR,retention_at_100s_median,retention_at_100s_IQR,retention_at_300s_median,retention_at_300s_IQR,retention_at_500s_median,retention_at_500s_IQR,time_to_90pct_retention_median,time_to_90pct_retention_IQR,time_to_80pct_retention_median,time_to_80pct_retention_IQR,time_to_50pct_retention_median,time_to_50pct_retention_IQR,normalized_log_time_auc_median,normalized_log_time_auc_IQR,retention_at_20us_median,retention_at_20us_IQR,retention_at_50us_median,retention_at_50us_IQR,retention_at_100us_median,retention_at_100us_IQR
source_figshare_23635998_v1,Task 11,Task 11,SHPB_10mm_relaxation,SHPB_10mm,3,False,us,20,,1000.0,stress_relaxation_transfer_proxy_condition_aggregate,commercial_task_code_only,unknown_chemistry_cast_PU_relaxation_auxiliary,auxiliary_train_condition_aggregate,0.2,10.6084/m9.figshare.23635998.v1|Task 11,CC-BY-4.0,reference-47;reference-48,71.3172,1.0418999999999983,0.327730249231632,0.004685697150836665,0.6722697507683679,0.004685697150836665,,,,,,,,,14.796102738272126,4.237250597921982,19.2600998480573,4.517031366814187,42.3610371886728,3.7957813743698665,0.8687356937763916,0.012759382416076659,0.7783045324269602,0.09238472977398549,0.4595581430566539,0.021039132003674466,,
source_figshare_23635998_v1,Task 11,Task 11,SHPB_6mm_relaxation,SHPB_6mm,2,False,us,20,,1000.0,stress_relaxation_transfer_proxy_condition_aggregate,commercial_task_code_only,unknown_chemistry_cast_PU_relaxation_auxiliary,auxiliary_train_condition_aggregate,0.2,10.6084/m9.figshare.23635998.v1|Task 11,CC-BY-4.0,reference-47;reference-48,82.0055,3.0760999999999967,0.4263589516663878,0.011923868170073626,0.5736410483336122,0.011923868170073737,,,,,,,,,31.609179381093114,3.7419751158481915,37.042318228373475,3.589581941791039,80.32363767120876,1.5442397408230448,0.9205630438586394,0.006677238758511561,0.9799632266176939,0.015303670102631117,0.6448645667343189,0.01406286293320036,0.4262684293666319,0.0
source_figshare_23635998_v1,Task 11,Task 11,slow_large_strain_relaxation,strain_10pct,3,False,s,20,10,0.001,stress_relaxation_transfer_proxy_condition_aggregate,commercial_task_code_only,unknown_chemistry_cast_PU_relaxation_auxiliary,auxiliary_train_condition_aggregate,0.2,10.6084/m9.figshare.23635998.v1|Task 11,CC-BY-4.0,reference-47;reference-48,3.36141,0.1496050000000002,0.4582658210268043,0.014801744860593158,0.5417341789731958,0.014801744860593158,0.8617906523701673,0.026768310459339917,0.5946470061185438,0.013261737700890008,0.49499147946468525,0.014991985287405973,0.4518140719457855,0.006986851622567902,6.9477479757084915,1.847261820477729,16.75305523315354,2.6914881315890575,285.60457706093183,50.34760794262044,0.6715307377484295,0.016643696793480656,,,,,,
source_figshare_23635998_v1,Task 11,Task 11,slow_large_strain_relaxation,strain_15pct,3,False,s,20,15,0.001,stress_relaxation_transfer_proxy_condition_aggregate,commercial_task_code_only,unknown_chemistry_cast_PU_relaxation_auxiliary,auxiliary_train_condition_aggregate,0.2,10.6084/m9.figshare.23635998.v1|Task 11,CC-BY-4.0,reference-47;reference-48,3.95285,0.2250350000000001,0.5698192443426894,0.028416458472428796,0.4301807556573106,0.02841645847242885,0.8967770989514187,0.03229466758527311,0.6893513287880896,0.02640870041956367,0.5952791226583352,0.028686990695419023,,,9.642517072453828,3.0995647404467492,31.141604591836707,6.957126011558032,,,0.7553239536608838,0.025842850453480892,,,,,,
source_figshare_23635998_v1,Task 11,Task 11,slow_large_strain_relaxation,strain_6pct,3,False,s,20,6,0.001,stress_relaxation_transfer_proxy_condition_aggregate,commercial_task_code_only,unknown_chemistry_cast_PU_relaxation_auxiliary,auxiliary_train_condition_aggregate,0.2,10.6084/m9.figshare.23635998.v1|Task 11,CC-BY-4.0,reference-47;reference-48,2.554,0.016295000000000393,0.2916170712607674,0.03484134727380139,0.7083829287392326,0.03484134727380139,0.8170336048029235,0.06906161750561557,0.4493728791438267,0.03729317076468708,0.3380046202036022,0.03551238798718659,0.29952490472461496,0.034560578717164336,5.919269420588355,3.310570329935402,10.836236816812967,4.437907541553233,68.13670194986072,27.31733153510973,0.5477010924254366,0.045850099692075874,,,,,,
source_figshare_23635998_v1,Task 11,Task 11,slow_temperature_relaxation,temperature_-20C,3,False,s,-20,2.0,0.001,stress_relaxation_transfer_proxy_condition_aggregate,commercial_task_code_only,unknown_chemistry_cast_PU_relaxation_auxiliary,auxiliary_train_condition_aggregate,0.2,10.6084/m9.figshare.23635998.v1|Task 11,CC-BY-4.0,reference-47;reference-48,32.2332,0.35224999999999795,0.7664302644478365,0.01418747355204164,0.23356973555216354,0.014187473552041696,0.9627071880338699,0.0038506010165541005,0.8690324243776997,0.0008799877708284276,0.8059175012099327,0.007728154103032736,0.7760373362454448,0.012623964218500539,53.107674418604745,1.327893287435451,346.2118890356672,48.649090706650554,,,0.8862930483196914,0.0010122278945288166,,,,,,
source_figshare_23635998_v1,Task 11,Task 11,slow_temperature_relaxation,temperature_-40C,3,False,s,-40,2.0,0.001,stress_relaxation_transfer_proxy_condition_aggregate,commercial_task_code_only,unknown_chemistry_cast_PU_relaxation_auxiliary,auxiliary_train_condition_aggregate,0.2,10.6084/m9.figshare.23635998.v1|Task 11,CC-BY-4.0,reference-47;reference-48,19.285,0.24269999999999925,0.5507251590621756,0.016046830512641774,0.44927484093782444,0.016046830512641774,0.9254432258528714,0.004359482210494314,0.7317448478245229,0.014040488356760417,0.6170259878643355,0.016611830089801494,0.564684292845714,0.020067182663685457,14.733166448230678,1.266600339931669,48.30150073421441,6.709394812239225,,,0.7718596692526429,0.011655490014347514,,,,,,
source_figshare_23635998_v1,Task 11,Task 11,slow_temperature_relaxation,temperature_-60C,3,False,s,-60,2.0,0.001,stress_relaxation_transfer_proxy_condition_aggregate,commercial_task_code_only,unknown_chemistry_cast_PU_relaxation_auxiliary,auxiliary_train_condition_aggregate,0.2,10.6084/m9.figshare.23635998.v1|Task 11,CC-BY-4.0,reference-47;reference-48,2.554,0.016295000000000393,0.2916170712607674,0.0340582836842076,0.7083829287392326,0.0340582836842076,0.8170336048029235,0.06906161750561557,0.4493728791438267,0.03729317076468708,0.3380046202036022,0.03551238798718659,0.29952490472461496,0.034560578717164336,5.919269420588355,3.310570329935402,10.836236816812967,4.437907541553233,68.13670194986072,27.31733153510973,0.5482968129867999,0.04587670252959131,,,,,,
source_figshare_23635998_v1,Task 11,Task 11,slow_temperature_relaxation,temperature_0C,3,False,s,0,2.0,0.001,stress_relaxation_transfer_proxy_condition_aggregate,commercial_task_code_only,unknown_chemistry_cast_PU_relaxation_auxiliary,auxiliary_train_condition_aggregate,0.2,10.6084/m9.figshare.23635998.v1|Task 11,CC-BY-4.0,reference-47;reference-48,52.0539,0.16655000000000086,0.8635213349703088,0.010634234634246065,0.1364786650296912,0.010634234634246065,0.9732187854000053,0.0012906450910978862,0.9104345047473229,0.0043846307474708635,0.882259180522817,0.006404484030784197,0.8670638324117315,0.008830746686608881,138.9704396632367,23.07807569721112,,,,,0.9263423339648656,0.003622847771141857,,,,,,
source_figshare_23635998_v1,Task 11,Task 11,slow_temperature_relaxation,temperature_20C,3,False,s,20,2.0,0.001,stress_relaxation_transfer_proxy_condition_aggregate,commercial_task_code_only,unknown_chemistry_cast_PU_relaxation_auxiliary,auxiliary_train_condition_aggregate,0.2,10.6084/m9.figshare.23635998.v1|Task 11,CC-BY-4.0,reference-47;reference-48,53.0317,0.6131500000000045,0.8901276718475805,0.003942924665573333,0.10987232815241954,0.003942924665573444,0.9744379305208016,0.003216201333243518,0.9267517812317203,0.004309107457004302,0.9021101345264605,0.003923779697661223,0.8924056757193753,0.0032276491830562914,335.99401993355394,69.32131683899627,,,,,0.937758159858458,0.0037508149865113083,,,,,,
