source_id,material_grade,formulation_id,sample_id,material_class,chemistry_mapping_status,test_temperature,strain_rate_s-1,thickness_mm,width_mm,height_mm,model_admission_layer,split_group,source_member,member_sha256,source_locator,license,citation_keys,target_role,usage_mode,sample_weight_ceiling,curve_point_count,tensile_strength_MPa,elongation_at_break_percent,toughness_MJ_m3,young_modulus_0_5pct_MPa,negative_strain_step_fraction,endpoint_quality_status
source_zenodo_15370425_v1,EOS TPU 1301,EOS TPU 1301,1H,commercial_sls_thermoplastic_polyurethane,commercial_grade_identity_only,room_temperature,0.000737,4.01,4.95,114.56,core_tpu_application_experimental,10.5281/zenodo.15370425|EOS TPU 1301,ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_1H_7p37E-4_RT_TPU.csv,d1a6e65793eb2df920b18705f50f399c830ca355c4d1bc520d3649da83077f42,数据/原始/外部数据/新增开放数据/Zenodo_TPU1301热黏弹黏塑本构/ijss_2025_vevp_ScriptsForTestsImages.zip#ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_1H_7p37E-4_RT_TPU.csv,CC-BY-4.0,reference-38;reference-39,direct_tensile_curve_area_application,application_auxiliary_train,0.65,6155,5.66833,44.706,2.00704306665,54.85106509819538,0.0,valid
source_zenodo_15370425_v1,EOS TPU 1301,EOS TPU 1301,1V,commercial_sls_thermoplastic_polyurethane,commercial_grade_identity_only,room_temperature,0.000737,4.19,5.005,114.56,core_tpu_application_experimental,10.5281/zenodo.15370425|EOS TPU 1301,ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_1V_7p37E-4_RT_TPU.csv,ff9ec82769f3e9ab97300e0a52b5c34b3a569043e0f612f5271659e2e6542851,数据/原始/外部数据/新增开放数据/Zenodo_TPU1301热黏弹黏塑本构/ijss_2025_vevp_ScriptsForTestsImages.zip#ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_1V_7p37E-4_RT_TPU.csv,CC-BY-4.0,reference-38;reference-39,direct_tensile_curve_area_application,application_auxiliary_train,0.65,25257,9.09251,183.628,13.103526340950001,54.02667040143916,0.0,valid
source_zenodo_15370425_v1,EOS TPU 1301,EOS TPU 1301,2H,commercial_sls_thermoplastic_polyurethane,commercial_grade_identity_only,room_temperature,0.000737,4.02,4.915,114.56,core_tpu_application_experimental,10.5281/zenodo.15370425|EOS TPU 1301,ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_2H_7p37E-4_RT_TPU.csv,2e8fb39a132435551e72094d713e658407bc904aacb378ee616d1241f7495144,数据/原始/外部数据/新增开放数据/Zenodo_TPU1301热黏弹黏塑本构/ijss_2025_vevp_ScriptsForTestsImages.zip#ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_2H_7p37E-4_RT_TPU.csv,CC-BY-4.0,reference-38;reference-39,direct_tensile_curve_area_application,application_auxiliary_train,0.65,5013,5.59572,36.405,1.5675754086499998,55.203928565554,0.0,valid
source_zenodo_15370425_v1,EOS TPU 1301,EOS TPU 1301,2V,commercial_sls_thermoplastic_polyurethane,commercial_grade_identity_only,room_temperature,0.000737,4.14,4.985,114.56,core_tpu_application_experimental,10.5281/zenodo.15370425|EOS TPU 1301,ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_2V_7p37E-4_RT_TPU.csv,6180cc066ada43f2c2a4584aa7dfd9a3a391a150f5a44ebe4b96375a7987f844,数据/原始/外部数据/新增开放数据/Zenodo_TPU1301热黏弹黏塑本构/ijss_2025_vevp_ScriptsForTestsImages.zip#ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_2V_7p37E-4_RT_TPU.csv,CC-BY-4.0,reference-38;reference-39,direct_tensile_curve_area_application,application_auxiliary_train,0.65,24355,8.53672,177.093,11.7757073804,49.17504712202096,0.0,valid
source_zenodo_15370425_v1,EOS TPU 1301,EOS TPU 1301,3H,commercial_sls_thermoplastic_polyurethane,commercial_grade_identity_only,room_temperature,0.000737,4.105,4.96,114.56,core_tpu_application_experimental,10.5281/zenodo.15370425|EOS TPU 1301,ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_3H_7p37E-4_RT_TPU.csv,9ecad945e094aa04fb21fc650dda77fbf05ed3d7d6268e0d0e370ed16ef52a40,数据/原始/外部数据/新增开放数据/Zenodo_TPU1301热黏弹黏塑本构/ijss_2025_vevp_ScriptsForTestsImages.zip#ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_3H_7p37E-4_RT_TPU.csv,CC-BY-4.0,reference-38;reference-39,direct_tensile_curve_area_application,application_auxiliary_train,0.65,5079,5.68949,36.881,1.6145719836000003,56.86513825234431,0.0,valid
source_zenodo_15370425_v1,EOS TPU 1301,EOS TPU 1301,3V,commercial_sls_thermoplastic_polyurethane,commercial_grade_identity_only,room_temperature,0.00737,4.13,5.065,114.56,core_tpu_application_experimental,10.5281/zenodo.15370425|EOS TPU 1301,ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_3V_7p37E-3_RT_TPU.csv,34371204d91a319e1d5aa02523e4646f16970655217e930a9af00d79343fb6b4,数据/原始/外部数据/新增开放数据/Zenodo_TPU1301热黏弹黏塑本构/ijss_2025_vevp_ScriptsForTestsImages.zip#ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_3V_7p37E-3_RT_TPU.csv,CC-BY-4.0,reference-38;reference-39,direct_tensile_curve_area_application,application_auxiliary_train,0.65,2842,9.27759,205.767,15.076786626849998,56.93386218595901,0.0,valid
source_zenodo_15370425_v1,EOS TPU 1301,EOS TPU 1301,4H,commercial_sls_thermoplastic_polyurethane,commercial_grade_identity_only,room_temperature,0.00737,4.045,4.95,114.56,core_tpu_application_experimental,10.5281/zenodo.15370425|EOS TPU 1301,ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_4H_7p37E-3_RT_TPU.csv,66abf7f9e8d436dfc943249b87f12ec827c5fb8c5a1691ff157477013e231172,数据/原始/外部数据/新增开放数据/Zenodo_TPU1301热黏弹黏塑本构/ijss_2025_vevp_ScriptsForTestsImages.zip#ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_4H_7p37E-3_RT_TPU.csv,CC-BY-4.0,reference-38;reference-39,direct_tensile_curve_area_application,application_auxiliary_train,0.65,832,6.64677,59.870999999999995,3.16841074295,59.41884299464515,0.0,valid
source_zenodo_15370425_v1,EOS TPU 1301,EOS TPU 1301,4V,commercial_sls_thermoplastic_polyurethane,commercial_grade_identity_only,room_temperature,0.00737,4.15,4.97,114.56,core_tpu_application_experimental,10.5281/zenodo.15370425|EOS TPU 1301,ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_4V_7p37E-3_RT_TPU.csv,c4bcb976da5bb8477db149e0bdf98e9d0ad7dd91f70b487393a749502df4a7f2,数据/原始/外部数据/新增开放数据/Zenodo_TPU1301热黏弹黏塑本构/ijss_2025_vevp_ScriptsForTestsImages.zip#ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_4V_7p37E-3_RT_TPU.csv,CC-BY-4.0,reference-38;reference-39,direct_tensile_curve_area_application,application_auxiliary_train,0.65,2833,9.36906,205.112,15.472537072249999,59.57826319334768,0.0,valid
source_zenodo_15370425_v1,EOS TPU 1301,EOS TPU 1301,5H,commercial_sls_thermoplastic_polyurethane,commercial_grade_identity_only,room_temperature,0.00737,4.02,4.825,114.56,core_tpu_application_experimental,10.5281/zenodo.15370425|EOS TPU 1301,ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_5H_7p37E-3_RT_TPU.csv,eb8a4f55df074dc9d597fd8d180394a60ff170c593966de0be8c48293eef7fa5,数据/原始/外部数据/新增开放数据/Zenodo_TPU1301热黏弹黏塑本构/ijss_2025_vevp_ScriptsForTestsImages.zip#ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_5H_7p37E-3_RT_TPU.csv,CC-BY-4.0,reference-38;reference-39,direct_tensile_curve_area_application,application_auxiliary_train,0.65,784,6.33069,56.37,2.87697543185,58.956178416759414,0.0,valid
source_zenodo_15370425_v1,EOS TPU 1301,EOS TPU 1301,5V,commercial_sls_thermoplastic_polyurethane,commercial_grade_identity_only,room_temperature,0.00737,4.185,5.06,114.56,core_tpu_application_experimental,10.5281/zenodo.15370425|EOS TPU 1301,ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_5V_7p37E-3_RT_TPU.csv,8201fa161c88f657654d48fb8a33b8e337b051b08f8f0c6d398019279c084eb0,数据/原始/外部数据/新增开放数据/Zenodo_TPU1301热黏弹黏塑本构/ijss_2025_vevp_ScriptsForTestsImages.zip#ijss_2025_vevp_ScriptsForTestsImages/Experiments/TPU/BulkCharacterisation/Tensile_bulk_RoomT_TPU/Tensile_bulk_RoomT_TPU/Uniaxial_tension_5V_7p37E-3_RT_TPU.csv,CC-BY-4.0,reference-38;reference-39,direct_tensile_curve_area_application,application_auxiliary_train,0.65,2469,9.00672,178.681,12.89403445095,62.25305366889735,0.0,valid
