source_directory,source_record_id,observation_id,formulation_id,sample_id,record_kind,component_name,component_role,property_name,value,unit,uncertainty_value,uncertainty_type,condition_name,condition_value,condition_unit,target_origin,data_origin,reduction_level,method_or_test_protocol,fidelity_level,gold_admission_status,mapping_status,protocol_status,potential_weight_ceiling,current_weight_materialized,training_weight,split_group,source_locator,file_sha256,license,citation_keys,notes
第十六批实验_再生PU泡沫,compression:RPUF_0:RPUF1_compression_Specimen_1,recycled-pu:RPUF_0:RPUF1_compression_Specimen_1:stress-at-10pct,RPUF_0,RPUF1_compression_Specimen_1,derived_scalar,,,compressive_stress_at_10_percent_strain,0.10873,MPa,,,compressive_strain,0.1,dimensionless,experimental,deterministically_interpolated_from_source_curve,derived,linear interpolation between adjacent source points,deterministic_curve_derived_experimental,conditional_reference,formulation_resolved_commercial_components_unresolved,derived_from_valid_source_interval,0.2,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_1.csv#interpolated_strain=0.1,8e1909603aa70cd18f43a27a67833982e050bda0bf0374a8f483ce056b688cde,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,与母曲线共享试样和损失预算，不增加独立试样数。
第十六批实验_再生PU泡沫,compression:RPUF_0:RPUF1_compression_Specimen_1,recycled-pu:RPUF_0:RPUF1_compression_Specimen_1:stress-at-25pct,RPUF_0,RPUF1_compression_Specimen_1,derived_scalar,,,compressive_stress_at_25_percent_strain,0.18833,MPa,,,compressive_strain,0.25,dimensionless,experimental,deterministically_interpolated_from_source_curve,derived,linear interpolation between adjacent source points,deterministic_curve_derived_experimental,conditional_reference,formulation_resolved_commercial_components_unresolved,derived_from_valid_source_interval,0.2,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_1.csv#interpolated_strain=0.25,8e1909603aa70cd18f43a27a67833982e050bda0bf0374a8f483ce056b688cde,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,与母曲线共享试样和损失预算，不增加独立试样数。
第十六批实验_再生PU泡沫,compression:RPUF_0:RPUF1_compression_Specimen_10,recycled-pu:RPUF_0:RPUF1_compression_Specimen_10:stress-at-10pct,RPUF_0,RPUF1_compression_Specimen_10,derived_scalar,,,compressive_stress_at_10_percent_strain,0.147061512605,MPa,,,compressive_strain,0.1,dimensionless,experimental,deterministically_interpolated_from_source_curve,derived,linear interpolation between adjacent source points,deterministic_curve_derived_experimental,conditional_reference,formulation_resolved_commercial_components_unresolved,derived_from_valid_source_interval,0.2,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_10.csv#interpolated_strain=0.1,669164a2f96d9d6a2e1c038ae46edc75dd061d1115c1053347781199f4d66117,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,与母曲线共享试样和损失预算，不增加独立试样数。
第十六批实验_再生PU泡沫,compression:RPUF_0:RPUF1_compression_Specimen_10,recycled-pu:RPUF_0:RPUF1_compression_Specimen_10:stress-at-25pct,RPUF_0,RPUF1_compression_Specimen_10,derived_scalar,,,compressive_stress_at_25_percent_strain,0.235697,MPa,,,compressive_strain,0.25,dimensionless,experimental,deterministically_interpolated_from_source_curve,derived,linear interpolation between adjacent source points,deterministic_curve_derived_experimental,conditional_reference,formulation_resolved_commercial_components_unresolved,derived_from_valid_source_interval,0.2,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_10.csv#interpolated_strain=0.25,669164a2f96d9d6a2e1c038ae46edc75dd061d1115c1053347781199f4d66117,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,与母曲线共享试样和损失预算，不增加独立试样数。
第十六批实验_再生PU泡沫,compression:RPUF_0:RPUF1_compression_Specimen_11,recycled-pu:RPUF_0:RPUF1_compression_Specimen_11:stress-at-10pct,RPUF_0,RPUF1_compression_Specimen_11,derived_scalar,,,compressive_stress_at_10_percent_strain,0.152416,MPa,,,compressive_strain,0.1,dimensionless,experimental,deterministically_interpolated_from_source_curve,derived,linear interpolation between adjacent source points,deterministic_curve_derived_experimental,conditional_reference,formulation_resolved_commercial_components_unresolved,derived_from_valid_source_interval,0.2,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_11.csv#interpolated_strain=0.1,f08532cc1ee6a0a92cc3e5d484ebede4711d27856fe5bc97335c711d12c7a744,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,与母曲线共享试样和损失预算，不增加独立试样数。
第十六批实验_再生PU泡沫,compression:RPUF_0:RPUF1_compression_Specimen_11,recycled-pu:RPUF_0:RPUF1_compression_Specimen_11:stress-at-25pct,RPUF_0,RPUF1_compression_Specimen_11,derived_scalar,,,compressive_stress_at_25_percent_strain,0.239843057851,MPa,,,compressive_strain,0.25,dimensionless,experimental,deterministically_interpolated_from_source_curve,derived,linear interpolation between adjacent source points,deterministic_curve_derived_experimental,conditional_reference,formulation_resolved_commercial_components_unresolved,derived_from_valid_source_interval,0.2,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_11.csv#interpolated_strain=0.25,f08532cc1ee6a0a92cc3e5d484ebede4711d27856fe5bc97335c711d12c7a744,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,与母曲线共享试样和损失预算，不增加独立试样数。
第十六批实验_再生PU泡沫,compression:RPUF_0:RPUF1_compression_Specimen_2,recycled-pu:RPUF_0:RPUF1_compression_Specimen_2:stress-at-10pct,RPUF_0,RPUF1_compression_Specimen_2,derived_scalar,,,compressive_stress_at_10_percent_strain,0.117513274336,MPa,,,compressive_strain,0.1,dimensionless,experimental,deterministically_interpolated_from_source_curve,derived,linear interpolation between adjacent source points,deterministic_curve_derived_experimental,conditional_reference,formulation_resolved_commercial_components_unresolved,derived_from_valid_source_interval,0.2,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_2.csv#interpolated_strain=0.1,0b5c3953e9f6ffef43d8e5d275e88ba4b5bd31e4d2945349452c05ce755f71e7,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,与母曲线共享试样和损失预算，不增加独立试样数。
第十六批实验_再生PU泡沫,compression:RPUF_0:RPUF1_compression_Specimen_2,recycled-pu:RPUF_0:RPUF1_compression_Specimen_2:stress-at-25pct,RPUF_0,RPUF1_compression_Specimen_2,derived_scalar,,,compressive_stress_at_25_percent_strain,0.188672280702,MPa,,,compressive_strain,0.25,dimensionless,experimental,deterministically_interpolated_from_source_curve,derived,linear interpolation between adjacent source points,deterministic_curve_derived_experimental,conditional_reference,formulation_resolved_commercial_components_unresolved,derived_from_valid_source_interval,0.2,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_2.csv#interpolated_strain=0.25,0b5c3953e9f6ffef43d8e5d275e88ba4b5bd31e4d2945349452c05ce755f71e7,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,与母曲线共享试样和损失预算，不增加独立试样数。
第十六批实验_再生PU泡沫,compression:RPUF_0:RPUF1_compression_Specimen_3,recycled-pu:RPUF_0:RPUF1_compression_Specimen_3:stress-at-10pct,RPUF_0,RPUF1_compression_Specimen_3,derived_scalar,,,compressive_stress_at_10_percent_strain,0.12457,MPa,,,compressive_strain,0.1,dimensionless,experimental,deterministically_interpolated_from_source_curve,derived,linear interpolation between adjacent source points,deterministic_curve_derived_experimental,conditional_reference,formulation_resolved_commercial_components_unresolved,derived_from_valid_source_interval,0.2,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_3.csv#interpolated_strain=0.1,d98a2e892fe8cb82e66eae2696417d61b20b3dd2a0864ab85bcccd66ddff7612,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,与母曲线共享试样和损失预算，不增加独立试样数。
第十六批实验_再生PU泡沫,compression:RPUF_0:RPUF1_compression_Specimen_3,recycled-pu:RPUF_0:RPUF1_compression_Specimen_3:stress-at-25pct,RPUF_0,RPUF1_compression_Specimen_3,derived_scalar,,,compressive_stress_at_25_percent_strain,0.195012,MPa,,,compressive_strain,0.25,dimensionless,experimental,deterministically_interpolated_from_source_curve,derived,linear interpolation between adjacent source points,deterministic_curve_derived_experimental,conditional_reference,formulation_resolved_commercial_components_unresolved,derived_from_valid_source_interval,0.2,False,,family_elorza_recycled_pu_foam,数据/原始/外部数据/新增开放数据/第十六批实验_再生PU泡沫/原始文件/row data for _Sustainable insulating foams_3/RPUF00_compression_RawData/RPUF1_compression_Specimen_3.csv#interpolated_strain=0.25,d98a2e892fe8cb82e66eae2696417d61b20b3dd2a0864ab85bcccd66ddff7612,CC BY 4.0,elorza-2021-recycled-pu-foam-data;elorza-2021-recycled-pu-foam-paper,与母曲线共享试样和损失预算，不增加独立试样数。
