source_id,condition_id,reaction_system,macrodiol_code,macrodiol_identity,macrodiol_CAS,macrodiol_Mn_g_mol,diisocyanate_code,diisocyanate_identity,diisocyanate_CAS,diisocyanate_MW_g_mol,macrodiol_molar_parts,isocyanate_molar_parts,molar_ratio,temperature_degC,workbook_theoretical_initial_NCO_percent,paper_batch_theoretical_initial_NCO_percent,source_measurement_row_count,missing_time_measurement_count,replicate_series_count,unique_timed_point_count,first_measurement_time_h,first_measured_NCO_percent,last_measurement_time_h,last_measured_NCO_percent,NCO_retention_at_last_measurement,initial_NCO_decline_rate_percent_per_h,time_to_50pct_theoretical_NCO_h,time_to_50pct_status,time_to_10pct_theoretical_NCO_h,time_to_10pct_status,zero_NCO_observed,target_role,model_admission_layer,usage_mode,direct_mechanical_supervision,sample_weight_ceiling,split_group,license,citation_keys
source_zenodo_6406174_v1,b10_pcl_tdi_r0p3_t60,PCL+TDI,PCL,"polycaprolactone alpha,omega-diol",36890-68-3,2000,TDI,"2,4-/2,6-toluene diisocyanate mixture",584-84-9;91-08-7,174.16,1,0.3,1:0.3,60,1.228,1.237,7,0,1,7,1.0,1.0,7.0,0.0,0.0,-0.26,3.05,observed,5.872,observed,True,synthesis_feasibility_NCO_consumption_kinetics,synthesis_kinetics_experimental,reaction_window_and_synthesis_priority_model,False,0.6,10.5281/zenodo.6406174|b10_pcl_tdi_r0p3_t60,CC-BY-4.0,reference-159;reference-160
source_zenodo_6406174_v1,b10_pcl_tdi_r0p3_t70,PCL+TDI,PCL,"polycaprolactone alpha,omega-diol",36890-68-3,2000,TDI,"2,4-/2,6-toluene diisocyanate mixture",584-84-9;91-08-7,174.16,1,0.3,1:0.3,70,1.228,1.237,8,0,2,4,1.0,0.8300000000000001,5.0,0.0,0.0,-0.41500000000000004,1.5204819277108435,observed,3.9766666666666666,observed,True,synthesis_feasibility_NCO_consumption_kinetics,synthesis_kinetics_experimental,reaction_window_and_synthesis_priority_model,False,0.6,10.5281/zenodo.6406174|b10_pcl_tdi_r0p3_t70,CC-BY-4.0,reference-159;reference-160
source_zenodo_6406174_v1,b10_pcl_tdi_r0p3_t80,PCL+TDI,PCL,"polycaprolactone alpha,omega-diol",36890-68-3,2000,TDI,"2,4-/2,6-toluene diisocyanate mixture",584-84-9;91-08-7,174.16,1,0.3,1:0.3,80,1.228,1.237,6,0,2,3,1.0,0.735,3.0,0.0,0.0,-0.625,1.1936,observed,1.97952,observed,True,synthesis_feasibility_NCO_consumption_kinetics,synthesis_kinetics_experimental,reaction_window_and_synthesis_priority_model,False,0.6,10.5281/zenodo.6406174|b10_pcl_tdi_r0p3_t80,CC-BY-4.0,reference-159;reference-160
source_zenodo_6406174_v1,b10_pdea_hdi_r0p3_t70,PDEA+HDI,PDEA,"polydiethylene adipate, alpha,omega-diol",25036-49-1,2700,HDI,"1,6-hexamethylene diisocyanate",822-06-0,168.19,1,0.3,1:0.3,70,0.916,0.938,5,0,1,5,1.0,0.9,22.0,0.07,0.07641921397379912,-0.27,4.04,observed,20.919999999999998,observed,False,synthesis_feasibility_NCO_consumption_kinetics,synthesis_kinetics_experimental,reaction_window_and_synthesis_priority_model,False,0.6,10.5281/zenodo.6406174|b10_pdea_hdi_r0p3_t70,CC-BY-4.0,reference-159;reference-160
source_zenodo_6406174_v1,b10_pdea_hdi_r0p3_t80,PDEA+HDI,PDEA,"polydiethylene adipate, alpha,omega-diol",25036-49-1,2700,HDI,"1,6-hexamethylene diisocyanate",822-06-0,168.19,1,0.3,1:0.3,80,0.916,0.938,5,0,1,5,1.0,0.7,47.0,0.0,0.0,-0.09999999999999998,3.42,observed,19.885714285714286,observed,True,synthesis_feasibility_NCO_consumption_kinetics,synthesis_kinetics_experimental,reaction_window_and_synthesis_priority_model,False,0.6,10.5281/zenodo.6406174|b10_pdea_hdi_r0p3_t80,CC-BY-4.0,reference-159;reference-160
source_zenodo_6406174_v1,b10_pdea_hdi_r0p3_t90,PDEA+HDI,PDEA,"polydiethylene adipate, alpha,omega-diol",25036-49-1,2700,HDI,"1,6-hexamethylene diisocyanate",822-06-0,168.19,1,0.3,1:0.3,90,0.916,0.938,5,0,1,5,1.0,0.66,21.0,0.0,0.0,-0.13,2.5538461538461537,observed,14.754545454545454,observed,True,synthesis_feasibility_NCO_consumption_kinetics,synthesis_kinetics_experimental,reaction_window_and_synthesis_priority_model,False,0.6,10.5281/zenodo.6406174|b10_pdea_hdi_r0p3_t90,CC-BY-4.0,reference-159;reference-160
source_zenodo_6406174_v1,b10_pdea_hdi_r0p5_t70,PDEA+HDI,PDEA,"polydiethylene adipate, alpha,omega-diol",25036-49-1,2700,HDI,"1,6-hexamethylene diisocyanate",822-06-0,168.19,1,0.5,1:0.5,70,1.509,1.541,6,0,1,6,1.0,1.32,45.0,0.0,0.0,-0.18550000000000005,6.610311750599524,observed,35.61761658031088,observed,True,synthesis_feasibility_NCO_consumption_kinetics,synthesis_kinetics_experimental,reaction_window_and_synthesis_priority_model,False,0.6,10.5281/zenodo.6406174|b10_pdea_hdi_r0p5_t70,CC-BY-4.0,reference-159;reference-160
source_zenodo_6406174_v1,b10_pdea_hdi_r0p5_t80,PDEA+HDI,PDEA,"polydiethylene adipate, alpha,omega-diol",25036-49-1,2700,HDI,"1,6-hexamethylene diisocyanate",822-06-0,168.19,1,0.5,1:0.5,80,1.509,1.541,6,0,1,6,1.0,1.2,46.0,0.0,0.0,-0.22999999999999998,2.9369565217391305,observed,20.7095,observed,True,synthesis_feasibility_NCO_consumption_kinetics,synthesis_kinetics_experimental,reaction_window_and_synthesis_priority_model,False,0.6,10.5281/zenodo.6406174|b10_pdea_hdi_r0p5_t80,CC-BY-4.0,reference-159;reference-160
source_zenodo_6406174_v1,b10_pdea_hdi_r0p5_t90,PDEA+HDI,PDEA,"polydiethylene adipate, alpha,omega-diol",25036-49-1,2700,HDI,"1,6-hexamethylene diisocyanate",822-06-0,168.19,1,0.5,1:0.5,90,1.509,1.541,5,0,1,5,1.0,1.0,23.0,0.0,0.0,-0.21999999999999997,2.1624203821656054,observed,9.77680412371134,observed,True,synthesis_feasibility_NCO_consumption_kinetics,synthesis_kinetics_experimental,reaction_window_and_synthesis_priority_model,False,0.6,10.5281/zenodo.6406174|b10_pdea_hdi_r0p5_t90,CC-BY-4.0,reference-159;reference-160
source_zenodo_6406174_v1,b10_pdea_tdi_r1p25_t60,PDEA+TDI,PDEA,"polydiethylene adipate, alpha,omega-diol",25036-49-1,2700,TDI,"2,4-/2,6-toluene diisocyanate mixture",584-84-9;91-08-7,174.16,1,1.25,1:1.25,60,3.599,,12,2,2,5,0.15,3.93,24.0,0.405,0.1125312586829675,-1.688235294117647,2.636470588235294,observed,,right_censored_at_last_measurement,False,synthesis_feasibility_NCO_consumption_kinetics,synthesis_kinetics_experimental,reaction_window_and_synthesis_priority_model,False,0.6,10.5281/zenodo.6406174|b10_pdea_tdi_r1p25_t60,CC-BY-4.0,reference-159;reference-160
