target_family,property_name,evidence_role,method_family,system_relevance,allowed_use,row_count,source_count,independent_unit_count,hard_group_count,structure_count,system_count
cyclic_recovery,Density,mechanistic_proxy,MD,polymer_transfer,feature_or_residual_model_only,1401,1,1401,1401,1401,1401
cyclic_recovery,Density,mechanistic_proxy,MD,tpu_core,feature_or_residual_model_only,125,1,125,125,125,125
cyclic_recovery,cohesive_energy_per_chain,mechanistic_proxy,MD,tpu_formulation_mechanistic,feature_or_residual_model_only,4,1,4,4,0,4
cyclic_recovery,density,mechanistic_proxy,MD,polymer_transfer,feature_or_residual_model_only,6599,2,6548,6448,6448,6448
cyclic_recovery,mass_density,mechanistic_proxy,DFT-AA-MD-reactive-CG,pu_family_multiscale,feature_or_residual_model_only,10,1,10,10,0,10
cyclic_recovery,residual_reactive_sites,mechanistic_proxy,DFT-AA-MD-reactive-CG,pu_family_multiscale,feature_or_residual_model_only,4,1,4,1,0,1
thermal_stability,Tg,direct_low_fidelity_target,MD,tpu_core,multifidelity_auxiliary_target,21,1,21,21,21,21
thermal_stability,Tg,transfer_low_fidelity_target,MD,polymer_transfer,representation_pretraining_only,240,1,240,240,240,240
thermal_stability,cohesive_energy_per_chain,mechanistic_proxy,MD,tpu_formulation_mechanistic,feature_or_residual_model_only,4,1,4,4,0,4
toughness,Density,mechanistic_proxy,MD,polymer_transfer,feature_or_residual_model_only,1401,1,1401,1401,1401,1401
toughness,Density,mechanistic_proxy,MD,tpu_core,feature_or_residual_model_only,125,1,125,125,125,125
toughness,bulk_modulus,mechanistic_proxy,MD,polymer_transfer,feature_or_residual_model_only,6597,2,6547,6447,6447,6447
toughness,cohesive_energy_per_chain,mechanistic_proxy,MD,tpu_formulation_mechanistic,feature_or_residual_model_only,4,1,4,4,0,4
toughness,compression_energy_density_to_max_observed_log_strain,process_response_proxy,Abaqus_UMAT_Arrhenius_large_deformation,single_pu_formulation_process_space,within_system_process_proxy_only,3868,1,3868,1,0,1
toughness,density,mechanistic_proxy,MD,polymer_transfer,feature_or_residual_model_only,6599,2,6548,6448,6448,6448
toughness,isentropic_bulk_modulus,mechanistic_proxy,MD,polymer_transfer,feature_or_residual_model_only,6597,2,6547,6447,6447,6447
toughness,mass_density,mechanistic_proxy,DFT-AA-MD-reactive-CG,pu_family_multiscale,feature_or_residual_model_only,10,1,10,10,0,10
toughness,maximum_observed_mises_stress,process_response_proxy,Abaqus_UMAT_Arrhenius_large_deformation,single_pu_formulation_process_space,within_system_process_proxy_only,3868,1,3868,1,0,1
toughness,mises_stress_at_compressive_log_strain_0_1,process_response_proxy,Abaqus_UMAT_Arrhenius_large_deformation,single_pu_formulation_process_space,within_system_process_proxy_only,3868,1,3868,1,0,1
toughness,mises_stress_at_compressive_log_strain_0_5,process_response_proxy,Abaqus_UMAT_Arrhenius_large_deformation,single_pu_formulation_process_space,within_system_process_proxy_only,3868,1,3868,1,0,1
toughness,mises_stress_at_compressive_log_strain_1_0,process_response_proxy,Abaqus_UMAT_Arrhenius_large_deformation,single_pu_formulation_process_space,within_system_process_proxy_only,3868,1,3868,1,0,1
toughness,tensile_strength,direct_low_fidelity_target,DFT-AA-MD-reactive-CG,pu_family_multiscale,multifidelity_auxiliary_target,4,1,4,1,0,1
