formulation_id,experiment_order,experiment_stage,measurement_task,target_property,condition_key,model_id,model_training_release_id,prediction_value,prediction_unit,prediction_std,prediction_lower,prediction_upper,prediction_domain_status,batch_id,material_sample_id,gold_e_record_id,experimental_value,experimental_unit,experimental_std,experimental_qc_status,training_batch_leakage_status,calibration_role,residual_experiment_minus_prediction,standardized_residual,gold_e_admission_status,closed_loop_status,model_update_permission
commercial_system_59ebf4f5a2e01a54_d4bd65fe8c7c0e5c,1,A_calibration,FTIR_NCO_conversion,,,,,,,,,,not_evaluated,,,,,,,not_run,not_evaluated,holdout_calibration_only,,,blocked_missing_batch_or_measurement_evidence,blocked_missing_prediction_or_gold_e,blocked
commercial_system_59ebf4f5a2e01a54_d4bd65fe8c7c0e5c,1,A_calibration,GPC_Mn_Mw_PDI,,,,,,,,,,not_evaluated,,,,,,,not_run,not_evaluated,holdout_calibration_only,,,blocked_missing_batch_or_measurement_evidence,blocked_missing_prediction_or_gold_e,blocked
commercial_system_59ebf4f5a2e01a54_d4bd65fe8c7c0e5c,1,A_calibration,DMA_temperature_sweep,,,,,,,,,,not_evaluated,,,,,,,not_run,not_evaluated,holdout_calibration_only,,,blocked_missing_batch_or_measurement_evidence,blocked_missing_prediction_or_gold_e,blocked
commercial_system_59ebf4f5a2e01a54_d4bd65fe8c7c0e5c,1,A_calibration,tensile_full_curve,,,,,,,,,,not_evaluated,,,,,,,not_run,not_evaluated,holdout_calibration_only,,,blocked_missing_batch_or_measurement_evidence,blocked_missing_prediction_or_gold_e,blocked
commercial_system_59ebf4f5a2e01a54_d4bd65fe8c7c0e5c,1,A_calibration,density,,,,,,,,,,not_evaluated,,,,,,,not_run,not_evaluated,holdout_calibration_only,,,blocked_missing_batch_or_measurement_evidence,blocked_missing_prediction_or_gold_e,blocked
commercial_system_8f78b79e85d09a49_aa4e010292f6d778,2,A_calibration,FTIR_NCO_conversion,,,,,,,,,,not_evaluated,,,,,,,not_run,not_evaluated,holdout_calibration_only,,,blocked_missing_batch_or_measurement_evidence,blocked_missing_prediction_or_gold_e,blocked
commercial_system_8f78b79e85d09a49_aa4e010292f6d778,2,A_calibration,GPC_Mn_Mw_PDI,,,,,,,,,,not_evaluated,,,,,,,not_run,not_evaluated,holdout_calibration_only,,,blocked_missing_batch_or_measurement_evidence,blocked_missing_prediction_or_gold_e,blocked
commercial_system_8f78b79e85d09a49_aa4e010292f6d778,2,A_calibration,DMA_temperature_sweep,,,,,,,,,,not_evaluated,,,,,,,not_run,not_evaluated,holdout_calibration_only,,,blocked_missing_batch_or_measurement_evidence,blocked_missing_prediction_or_gold_e,blocked
commercial_system_8f78b79e85d09a49_aa4e010292f6d778,2,A_calibration,tensile_full_curve,,,,,,,,,,not_evaluated,,,,,,,not_run,not_evaluated,holdout_calibration_only,,,blocked_missing_batch_or_measurement_evidence,blocked_missing_prediction_or_gold_e,blocked
commercial_system_8f78b79e85d09a49_aa4e010292f6d778,2,A_calibration,density,,,,,,,,,,not_evaluated,,,,,,,not_run,not_evaluated,holdout_calibration_only,,,blocked_missing_batch_or_measurement_evidence,blocked_missing_prediction_or_gold_e,blocked
