task_index,candidate_id,component_role,canonical_smiles,charge,uhf,task_slug,initial_xyz_file,initial_xyz_sha256,initial_xyz_bytes,geometry_status,geometry_error,input_model_scope,input_geometry_source
0,commercial_bdo_14,chain_extender,OCCCCO,0,0,reality_commercial_bdo_14,初始结构/reality_commercial_bdo_14.xyz,42a8aaffc2c69b29767ea550246108f51279d17b91445eae531119d9be11a558,662,ready,,exact_discrete_commercial_substance,rdkit_force_field_converged
1,commercial_chdm_14,chain_extender,C1CC(CCC1CO)CO,0,0,reality_commercial_chdm_14,初始结构/reality_commercial_chdm_14.xyz,79fdfce19de4675ec41637f6267aff54d3defafd9b3e812594a1f132c9549429,1072,ready,,commercial_isomer_mixture_connectivity_no_stereoisomer_ratio_claim,rdkit_force_field_converged
2,commercial_deg,chain_extender,C(COCCO)O,0,0,reality_commercial_deg,初始结构/reality_commercial_deg.xyz,f266bb02f2896a3caaede0996f02ce0dc1bfd12526c6d6c747c5ecb45d8098d8,703,ready,,exact_discrete_commercial_substance,rdkit_force_field_converged
3,commercial_eg,chain_extender,C(CO)O,0,0,reality_commercial_eg,初始结构/reality_commercial_eg.xyz,1cc814b4dbbcde18962ae22ad877b5a50df882a0c71b1213982b460d7d23baef,416,ready,,exact_discrete_commercial_substance,rdkit_force_field_converged
4,commercial_hdo_16,chain_extender,C(CCCO)CCO,0,0,reality_commercial_hdo_16,初始结构/reality_commercial_hdo_16.xyz,89fc101f48cf4b698a06bf8cf5ad2511490d601c045dc899286f8840aef14128,908,ready,,exact_discrete_commercial_substance,rdkit_force_field_converged
5,commercial_hqee,chain_extender,C1=CC(=CC=C1OCCO)OCCO,0,0,reality_commercial_hqee,初始结构/reality_commercial_hqee.xyz,76133d214341263d0e34af9fd816506cb86f2fa0fb2ec09e7dafd0d761f590bb,1154,ready,,exact_discrete_commercial_substance,rdkit_force_field_converged
6,commercial_npg,chain_extender,CC(C)(CO)CO,0,0,reality_commercial_npg,初始结构/reality_commercial_npg.xyz,afaf392606c24a3877c40cb3b00e2312bf44a00979fd4bdfeee3a3786473f6ff,785,ready,,exact_discrete_commercial_substance,rdkit_force_field_converged
7,commercial_h12mdi,diisocyanate,O=C=NC1CCC(CC1)CC2CCC(CC2)N=C=O,0,0,reality_commercial_h12mdi,初始结构/reality_commercial_h12mdi.xyz,e301e33b039d8c4fabf8581c451a732b1c2f9b2910edce9c68e0823eef606fc2,1687,ready,,exact_discrete_commercial_substance,rdkit_force_field_converged
8,commercial_hdi,diisocyanate,O=C=NCCCCCCN=C=O,0,0,reality_commercial_hdi,初始结构/reality_commercial_hdi.xyz,968160a72110cbbed3111d42a530a2c4f9e764123efb89d7622a40fda6912af9,990,ready,,exact_discrete_commercial_substance,rdkit_force_field_converged
9,commercial_ipdi,diisocyanate,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,0,0,reality_commercial_ipdi,初始结构/reality_commercial_ipdi.xyz,71ba47acb9d0407d80c45d6980e933af6332e8ec52e2c01ef03776732e92f6cb,1400,ready,,exact_discrete_commercial_substance,rdkit_force_field_converged
10,commercial_mdi_44,diisocyanate,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,0,0,reality_commercial_mdi_44,初始结构/reality_commercial_mdi_44.xyz,7f3d6839d19d44dc2f7d7a8d6ee35b1fc80eb97c3889c288cba593c4d215bebd,1195,ready,,exact_discrete_commercial_substance,rdkit_force_field_converged
11,commercial_ndi_15,diisocyanate,C1=CC2=C(C=CC=C2N=C=O)C(=C1)N=C=O,0,0,reality_commercial_ndi_15,初始结构/reality_commercial_ndi_15.xyz,047ae5f2942fa00f59e7d88d9f2e22a65933bab15cf37826a3dba1fce24c6ff4,908,ready,,exact_discrete_commercial_substance,rdkit_force_field_converged
12,commercial_pdi_15,diisocyanate,C(CCN=C=O)CCN=C=O,0,0,reality_commercial_pdi_15,初始结构/reality_commercial_pdi_15.xyz,a7d8ca0bf6f758175c99b0c07ff47ff7b0d83e7c3e6727d17ef5001efcf8ab06,867,ready,,exact_discrete_commercial_substance,rdkit_force_field_converged
