formulation_id,heavy_atom_count,total_atom_count_with_hydrogen,urethane_occurrence_count,terminal_nco_occurrence_count,mapped_unique_heavy_atom_count,mapped_heavy_atom_fraction,mapped_total_atom_fraction,mapped_core_charge_sum_e,maximum_absolute_transfer_minus_gasteiger_e,aliphatic_urethane_occurrences,aromatic_urethane_occurrences,aliphatic_terminal_nco_occurrences,aromatic_terminal_nco_occurrences,mapping_status,production_md_permission
commercial_system_0a4072d5b07dec7f_aa4e010292f6d778,82,198,3,1,15,0.182926829268,0.0757575757576,-2.39433568184,0.513789444541,3,0,1,0,core_mapping_completed_full_charge_assignment_blocked,blocked_unmapped_atoms_and_forcefield_validation
commercial_system_14b9dea0be44a0a8_707fe304b16717b6,431,991,17,1,71,0.164733178654,0.0716448032291,-10.7521273724,0.5080291271,0,17,0,1,core_mapping_completed_full_charge_assignment_blocked,blocked_unmapped_atoms_and_forcefield_validation
commercial_system_1e9a19535918fee7_707fe304b16717b6,149,365,5,1,23,0.154362416107,0.0630136986301,-3.81251211363,0.513810113729,5,0,1,0,core_mapping_completed_full_charge_assignment_blocked,blocked_unmapped_atoms_and_forcefield_validation
commercial_system_275f68de57f6a031_707fe304b16717b6,197,489,5,1,23,0.116751269036,0.0470347648262,-3.81251211363,0.513520756401,5,0,1,0,core_mapping_completed_full_charge_assignment_blocked,blocked_unmapped_atoms_and_forcefield_validation
commercial_system_50aa43042a8e77b6_707fe304b16717b6,216,476,7,1,31,0.143518518519,0.0651260504202,-4.54256608465,0.508008556008,0,7,0,1,core_mapping_completed_full_charge_assignment_blocked,blocked_unmapped_atoms_and_forcefield_validation
commercial_system_59ebf4f5a2e01a54_d4bd65fe8c7c0e5c,435,991,13,1,55,0.126436781609,0.0554994954591,-8.26830285727,0.508030377775,0,13,0,1,core_mapping_completed_full_charge_assignment_blocked,blocked_unmapped_atoms_and_forcefield_validation
commercial_system_70d2f0f7e0facf07_d4bd65fe8c7c0e5c,632,1564,21,1,87,0.137658227848,0.0556265984655,-15.1579235679,0.513789444541,21,0,1,0,core_mapping_completed_full_charge_assignment_blocked,blocked_unmapped_atoms_and_forcefield_validation
commercial_system_7faa7e08bccea0b7_aa4e010292f6d778,131,319,5,1,23,0.175572519084,0.0721003134796,-3.81251211363,0.513789444541,5,0,1,0,core_mapping_completed_full_charge_assignment_blocked,blocked_unmapped_atoms_and_forcefield_validation
commercial_system_85feea981e4448c2_707fe304b16717b6,197,449,5,1,23,0.116751269036,0.0512249443207,-3.30065382711,0.508030377775,0,5,0,1,core_mapping_completed_full_charge_assignment_blocked,blocked_unmapped_atoms_and_forcefield_validation
commercial_system_8f78b79e85d09a49_aa4e010292f6d778,395,867,15,1,63,0.159493670886,0.0726643598616,-9.51021511482,0.508030377775,0,15,0,1,core_mapping_completed_full_charge_assignment_blocked,blocked_unmapped_atoms_and_forcefield_validation
commercial_system_aecb4daa61e5bf61_aa4e010292f6d778,456,1118,21,1,87,0.190789473684,0.0778175313059,-15.1579235679,0.513810113763,21,0,1,0,core_mapping_completed_full_charge_assignment_blocked,blocked_unmapped_atoms_and_forcefield_validation
commercial_system_cd065d7488917087_aa4e010292f6d778,513,1259,17,1,71,0.138401559454,0.0563939634631,-12.3215707044,0.513520756401,17,0,1,0,core_mapping_completed_full_charge_assignment_blocked,blocked_unmapped_atoms_and_forcefield_validation
