atom_index_zero_based,element,stage1_esp_charge_e,stage1_resp_charge_e,stage2_esp_charge_e,stage2_resp_charge_e
0,C,0.07356117467,0.00551861159711,0.0311817529352,0.0107933203664
1,O,-0.522064390898,-0.466778874159,-0.466778874159,-0.466778874159
2,C,1.00569713271,0.894952620697,0.894952620697,0.894952620697
3,O,-0.641055507424,-0.612153590442,-0.612153590442,-0.612153590442
4,N,-0.621472086683,-0.539080377405,-0.539080377405,-0.539080377405
5,C,-0.134768580778,-0.0953963245007,-0.121342315083,-0.0894729047831
6,H,0.0519145570911,0.0716638627338,0.0720548913404,0.0779243662555
7,H,0.0530545870362,0.0737798478143,0.0720548913404,0.0779243662555
8,H,0.0821557284805,0.0926100981483,0.0720548913404,0.0779243662555
9,H,0.350647752023,0.317378881494,0.317378881494,0.317378881494
10,H,0.108012998734,0.0941355027941,0.0932257426473,0.0835292751552
11,H,0.107732078522,0.0909164899871,0.0932257426473,0.0835292751552
12,H,0.0865845565173,0.0724532512411,0.0932257426473,0.0835292751552
