atom_index_zero_based,element,stage1_esp_charge_e,stage1_resp_charge_e,stage2_esp_charge_e,stage2_resp_charge_e
0,C,-0.271923422565,-0.14846439298,-0.270800644287,-0.0979681824051
1,C,0.38657576855,0.216880938579,0.306356770189,0.259375571207
2,N,-0.651808231158,-0.593213998586,-0.593213998586,-0.593213998586
3,C,0.818893308383,0.78107061434,0.78107061434,0.78107061434
4,O,-0.485037961179,-0.469035339746,-0.469035339746,-0.469035339746
5,H,0.0890859553552,0.0626290288385,0.0790050869076,0.0340106335759
6,H,0.0883019188303,0.0614545162486,0.0790050869076,0.0340106335759
7,H,0.0527215340874,0.027543129024,0.0790050869076,0.0340106335759
8,H,-0.01444737019,0.0291679736904,0.00430366868339,0.00886971723121
9,H,-0.0123615001131,0.0319675305918,0.00430366868339,0.00886971723121
