atom_index_zero_based,element,stage1_esp_charge_e,stage1_resp_charge_e,stage2_esp_charge_e,stage2_resp_charge_e
0,O,-0.44595464504,-0.43606425895,-0.43606425895,-0.43606425895
1,C,0.765007797116,0.745917937536,0.745917937536,0.745917937536
2,N,-0.558308035234,-0.511914398078,-0.511914398078,-0.511914398078
3,C,0.406309151782,0.223366342294,0.223366342294,0.223366342294
4,C,-0.295226747543,-0.136968237182,-0.136968237182,-0.136968237182
5,C,-0.0939437896578,-0.201598448733,-0.201598448733,-0.201598448733
6,C,-0.185174564499,-0.0909024272876,-0.0909024272877,-0.0909024272877
7,C,-0.124927938827,-0.231602809594,-0.231602809594,-0.231602809594
8,C,-0.259533042395,-0.10437104871,-0.10437104871,-0.10437104871
9,H,0.174750109546,0.142450644117,0.142450644117,0.142450644117
10,H,0.147271276137,0.16254865308,0.16254865308,0.16254865308
11,H,0.150590736925,0.135878146989,0.135878146989,0.135878146989
12,H,0.155392408574,0.170358464515,0.170358464515,0.170358464515
13,H,0.163747283116,0.132901440002,0.132901440002,0.132901440002
