atom_index_zero_based,element,stage1_esp_charge_e,stage1_resp_charge_e,stage2_esp_charge_e,stage2_resp_charge_e
0,C,-0.049538435924,-0.0332396890438,-0.033891412138,-0.0293268666547
1,O,-0.469639448328,-0.43617958867,-0.43617958867,-0.43617958867
2,C,1.14632340658,0.903529787783,0.903529787783,0.903529787783
3,O,-0.671646056107,-0.599554247363,-0.599554247363,-0.599554247363
4,N,-0.995370144864,-0.570878245846,-0.570878245846,-0.570878245846
5,C,0.723465081497,0.216905028542,0.216905028542,0.216905028542
6,C,-0.45375926018,-0.197427802217,-0.197427802217,-0.197427802217
7,C,-0.0378547071207,-0.177561836807,-0.177561836807,-0.177561836807
8,C,-0.261522393365,-0.106548939848,-0.106548939848,-0.106548939848
9,C,-0.0138457385034,-0.201931008319,-0.201931008319,-0.201931008319
10,C,-0.473532401225,-0.121481795556,-0.121481795556,-0.121481795556
11,H,0.10775339124,0.0995473720923,0.0898934142197,0.0883718990587
12,H,0.0855341659561,0.0852695864016,0.0898934142197,0.0883718990587
13,H,0.084598924579,0.0842115610711,0.0898934142197,0.0883718990587
14,H,0.421320705336,0.322914929898,0.322914929898,0.322914929898
15,H,0.195813690504,0.149262194036,0.149262194036,0.149262194036
16,H,0.13807535009,0.151817673586,0.151817673586,0.151817673586
17,H,0.15274865357,0.12509525427,0.12509525427,0.12509525427
18,H,0.132558209075,0.160212954429,0.160212954429,0.160212954429
19,H,0.238517007187,0.146036811558,0.146036811558,0.146036811558
