fragment_name,validation_family,atom_index_zero_based,element,stage1_esp_charge_e,stage1_resp_charge_e,stage2_esp_charge_e,stage2_resp_charge_e
ethyl_isocyanate,aliphatic_terminal_isocyanate,0,C,-0.271923422565,-0.14846439298,-0.270800644287,-0.0979681824051
ethyl_isocyanate,aliphatic_terminal_isocyanate,1,C,0.38657576855,0.216880938579,0.306356770189,0.259375571207
ethyl_isocyanate,aliphatic_terminal_isocyanate,2,N,-0.651808231158,-0.593213998586,-0.593213998586,-0.593213998586
ethyl_isocyanate,aliphatic_terminal_isocyanate,3,C,0.818893308383,0.78107061434,0.78107061434,0.78107061434
ethyl_isocyanate,aliphatic_terminal_isocyanate,4,O,-0.485037961179,-0.469035339746,-0.469035339746,-0.469035339746
ethyl_isocyanate,aliphatic_terminal_isocyanate,5,H,0.0890859553552,0.0626290288385,0.0790050869076,0.0340106335759
ethyl_isocyanate,aliphatic_terminal_isocyanate,6,H,0.0883019188303,0.0614545162486,0.0790050869076,0.0340106335759
ethyl_isocyanate,aliphatic_terminal_isocyanate,7,H,0.0527215340874,0.027543129024,0.0790050869076,0.0340106335759
ethyl_isocyanate,aliphatic_terminal_isocyanate,8,H,-0.01444737019,0.0291679736904,0.00430366868339,0.00886971723121
ethyl_isocyanate,aliphatic_terminal_isocyanate,9,H,-0.0123615001131,0.0319675305918,0.00430366868339,0.00886971723121
methyl_n_methyl_carbamate,aliphatic_urethane,0,C,0.07356117467,0.00551861159711,0.0311817529352,0.0107933203664
methyl_n_methyl_carbamate,aliphatic_urethane,1,O,-0.522064390898,-0.466778874159,-0.466778874159,-0.466778874159
methyl_n_methyl_carbamate,aliphatic_urethane,2,C,1.00569713271,0.894952620697,0.894952620697,0.894952620697
methyl_n_methyl_carbamate,aliphatic_urethane,3,O,-0.641055507424,-0.612153590442,-0.612153590442,-0.612153590442
methyl_n_methyl_carbamate,aliphatic_urethane,4,N,-0.621472086683,-0.539080377405,-0.539080377405,-0.539080377405
methyl_n_methyl_carbamate,aliphatic_urethane,5,C,-0.134768580778,-0.0953963245007,-0.121342315083,-0.0894729047831
methyl_n_methyl_carbamate,aliphatic_urethane,6,H,0.0519145570911,0.0716638627338,0.0720548913404,0.0779243662555
methyl_n_methyl_carbamate,aliphatic_urethane,7,H,0.0530545870362,0.0737798478143,0.0720548913404,0.0779243662555
