formulation_id,canonical_smiles_sha256,atom_count,atom_order_sha256,embedding_seed,embedding_method,embedding_seconds,mmff_variant,mmff_max_iterations,mmff_seconds,mmff_status_code,mmff_energy,geometry_status,xyz_file,xyz_sha256,xyz_bytes,seed_scope,md_execution_status,performance_claim_status
commercial_system_0a4072d5b07dec7f_aa4e010292f6d778,ac43f4ff8466fbcb6ea082071fb00ca4ec3c8764dbf49163a99d9af04c5c6113,198,f59a9d74048329e9527676487c10b09c7d01077558af12bc202e5c2339c97d48,20928917,ETKDGv3_random_coordinates,0.719,MMFF94s,1000,0.86,0,-81.8733424927,mmff_converged_seed,三维种子/commercial_system_0a4072d5b07dec7f_aa4e010292f6d778.xyz,1d7752986f1fb848e78eb078a0d0c38bf169c143a5e1e5870e38219d9215c715,7925,initial_single_chain_geometry_only,blocked_seed_only_forcefield_and_bulk_protocol_missing,no_performance_claim
commercial_system_14b9dea0be44a0a8_707fe304b16717b6,b33eeafcda42fba989f41fb3d49ded8b199897172305016af9660be0bab76d7b,991,7f4e222cd0c778f61dace70fc55b044a235e911589c64b535b892d4a78d9523f,20489929,ETKDGv3_random_coordinates,54.328,MMFF94s,1000,38.718,1,-551.566824448,mmff_max_iterations_seed,三维种子/commercial_system_14b9dea0be44a0a8_707fe304b16717b6.xyz,20f46c88d964c729867bc300260bafff8bb4af12238fdc10f40c566f60bc63cc,39645,initial_single_chain_geometry_only,blocked_seed_only_forcefield_and_bulk_protocol_missing,no_performance_claim
commercial_system_1e9a19535918fee7_707fe304b16717b6,809f53b40a14347861ca848ff4280d034c2415cf0e4844c734436090863bb48e,365,f7b88effa6e807017d97128c1ccb17d58c57a0dc87096e416219d586dd7dbacb,20378998,ETKDGv3_random_coordinates,3.235,MMFF94s,1000,4.437,1,-255.835024963,mmff_max_iterations_seed,三维种子/commercial_system_1e9a19535918fee7_707fe304b16717b6.xyz,04057082a9d519ad6e4ab5394528ca4e19df296913facf8ed0cf20d28c62f5f0,14605,initial_single_chain_geometry_only,blocked_seed_only_forcefield_and_bulk_protocol_missing,no_performance_claim
commercial_system_275f68de57f6a031_707fe304b16717b6,e1748fad67b0119ff122cf1104c892289f1fde2054b3e198d5f615fe49f1471c,489,d707b8191b775d6422609e867624860fe0728b20dd1bd89f4eb536c8dd19f1ae,20334607,ETKDGv3_random_coordinates,10.688,MMFF94s,1000,8.719,1,-123.48135672,mmff_max_iterations_seed,三维种子/commercial_system_275f68de57f6a031_707fe304b16717b6.xyz,7e0d56b641c42dd2bd4183f23d3102260bdc9143a8d6dd64f2dc56e92c236367,19565,initial_single_chain_geometry_only,blocked_seed_only_forcefield_and_bulk_protocol_missing,no_performance_claim
commercial_system_50aa43042a8e77b6_707fe304b16717b6,6cf7eff8df3547dca0529b599dd63e14907d4d0d7206d04d87ccd2735393064a,476,789dfebdd2a0c423033cb7fc0d51cf76d55f17f334073d43795ff03cc9c72a8a,21133714,ETKDGv3_random_coordinates,6.343,MMFF94s,1000,7.953,1,-29.6351318035,mmff_max_iterations_seed,三维种子/commercial_system_50aa43042a8e77b6_707fe304b16717b6.xyz,24eed9a84ac8d29092e7bfa0f0b8e278824341be9f4741f2439bb2fb041212dc,19045,initial_single_chain_geometry_only,blocked_seed_only_forcefield_and_bulk_protocol_missing,no_performance_claim
commercial_system_59ebf4f5a2e01a54_d4bd65fe8c7c0e5c,245a9b49bc38e6eeef323d9eaff2f4ab1aced2779c53b55b890e1871dde4da33,991,781a2b70074c6ed9a83d96011a99faf0c367977d045d165bc30503ae3ac09f9d,20480276,ETKDGv3_random_coordinates,172.078,MMFF94s,1000,37.094,1,-105.543143067,mmff_max_iterations_seed,三维种子/commercial_system_59ebf4f5a2e01a54_d4bd65fe8c7c0e5c.xyz,10f3dc308405d55b0a135e29a558f54fbd7061a4f42fb55dcb5093a9dd1f7a9d,39645,initial_single_chain_geometry_only,blocked_seed_only_forcefield_and_bulk_protocol_missing,no_performance_claim
commercial_system_70d2f0f7e0facf07_d4bd65fe8c7c0e5c,de19ae95b99626ab43a9d73bc8be58f7d0b6052c7a1a77b10053c7c6acadffb0,1564,b1655390c93aa58b21ff6f20c745467e55e07166217d5469a0d551a76110be27,21103261,ETKDGv3_random_coordinates,306.093,MMFF94s,1000,113.86,1,-669.40810691,mmff_max_iterations_seed,三维种子/commercial_system_70d2f0f7e0facf07_d4bd65fe8c7c0e5c.xyz,6beff94063d3e0e0b56cee6e9fb741d6718293c6676ba68558c3abb0ae4759e6,62566,initial_single_chain_geometry_only,blocked_seed_only_forcefield_and_bulk_protocol_missing,no_performance_claim
commercial_system_7faa7e08bccea0b7_aa4e010292f6d778,cea5b60944058786cdf58ef8412a3587247086ece8e4bd398f82dc22a422ad27,319,1be28cf85d97a2a87378cd30dff5a7f8b152427e61dcee55fc8e507120fb5b0d,20306938,ETKDGv3_random_coordinates,2.437,MMFF94s,1000,3.547,1,-169.963022745,mmff_max_iterations_seed,三维种子/commercial_system_7faa7e08bccea0b7_aa4e010292f6d778.xyz,12eb4c068b10b165f6d99b5f74c070a14005cab4736892df8c508711be1bff50,12765,initial_single_chain_geometry_only,blocked_seed_only_forcefield_and_bulk_protocol_missing,no_performance_claim
commercial_system_85feea981e4448c2_707fe304b16717b6,f7c93fc06b925ce3ce6dcd312f0436031db0650755d032c96229218199529071,449,b8de9ecd62296ca1d7513913328e7293ce3af031c1b4101308f0cf5b56928567,21221670,ETKDGv3_random_coordinates,7.969,MMFF94s,1000,7.234,1,31.6479857787,mmff_max_iterations_seed,三维种子/commercial_system_85feea981e4448c2_707fe304b16717b6.xyz,22942a36ed6a1ef5deb751acb3a3e4972b0ca34c9e99dbb5c028928890aca313,17965,initial_single_chain_geometry_only,blocked_seed_only_forcefield_and_bulk_protocol_missing,no_performance_claim
commercial_system_8f78b79e85d09a49_aa4e010292f6d778,7c00e53cc8385557eaaae6153a740116757557b7a90837bcf165e9c6bac243f4,867,e5114cb24b852046477d0f97087bcad61a40d94ee70000fafe52985dfef52985,21253188,ETKDGv3_random_coordinates,56.422,MMFF94s,1000,30.156,1,-321.483617954,mmff_max_iterations_seed,三维种子/commercial_system_8f78b79e85d09a49_aa4e010292f6d778.xyz,b176a8c5d1907effbd1d6a10eccaa5205f044b825f87455295506c656315955b,34685,initial_single_chain_geometry_only,blocked_seed_only_forcefield_and_bulk_protocol_missing,no_performance_claim
commercial_system_aecb4daa61e5bf61_aa4e010292f6d778,cdf47720ab929862ce5c1b53ce9045b007d9d12fe25773ed45e41624f5312c3a,1118,283284cbe83861ee3db6789fac3e4374d1c9ae02bf57f8bc2519ab1cf12fa5fb,20324787,ETKDGv3_random_coordinates,226.266,MMFF94s,1000,49.547,1,-1287.06594315,mmff_max_iterations_seed,三维种子/commercial_system_aecb4daa61e5bf61_aa4e010292f6d778.xyz,39fe90a8bdfd0576ec5ebbe8abc4e4b00790fd59eb7fd6fd6a9b9860a09ef100,44726,initial_single_chain_geometry_only,blocked_seed_only_forcefield_and_bulk_protocol_missing,no_performance_claim
commercial_system_cd065d7488917087_aa4e010292f6d778,78ba74ff3bbdbaf11a71a3b0382d096f47d967d7435fc61860323eba2574a5a4,1259,45fada96c728f2012384731039ded6dc7ddd69554981953e6baff17a214e2055,20914060,ETKDGv3_random_coordinates,260.829,MMFF94s,1000,64.937,1,-561.375916796,mmff_max_iterations_seed,三维种子/commercial_system_cd065d7488917087_aa4e010292f6d778.xyz,fa1588229d59552de08b7921f75c205ccbc7eb02dc0196f58f71e4a6ff293d11,50366,initial_single_chain_geometry_only,blocked_seed_only_forcefield_and_bulk_protocol_missing,no_performance_claim
