formulation_id,diisocyanate_id,macrodiol_id,chain_extender_id,hard_segment_mass_fraction_target,nco_oh_ratio_target,single_chain_backbone_nco_oh_ratio,nco_excess_fraction_batch_context,macrodiol_nominal_mn_g_mol,diisocyanate_mol_weight_g_mol,chain_extender_mol_weight_g_mol,macrodiol_count,chain_extender_count,diisocyanate_count,realized_hard_segment_mass_fraction,hard_segment_fraction_abs_error,estimated_nominal_chain_mass_g_mol,realized_nco_oh_ratio,estimated_urethane_bond_count,residual_nco_end_groups,residual_oh_end_groups,estimated_atom_count,hard_segment_definition,sequence_policy,model_scope,macrodiol_distribution_status,nco_excess_representation,md_execution_status,performance_claim_status
commercial_system_0a4072d5b07dec7f_aa4e010292f6d778,commercial_ipdi,commercial_ptmg_650,commercial_eg,0.45,1.02,1,0.02,650,222.288,62.068,1,1,2,0.43802933314,0.0119706668603,1156.644,1,3,1,1,198,(diisocyanate_mass+chain_extender_mass)/total_mass,linear_alternating_DII_with_segmented_macrodiol_extender_order,single_sequence_oligomer_proxy,single_chain_proxy_not_product_distribution,separate_batch_and_multichain_context_not_embedded_in_single_chain,blocked_pending_forcefield_COA_and_chain_distribution_validation,no_performance_claim
commercial_system_14b9dea0be44a0a8_707fe304b16717b6,commercial_tdi_24,commercial_ptmg_2000,commercial_bdo_14,0.35,1,1,0,2000,174.159,90.122,2,7,9,0.354660200362,0.00466020036187,6198.285,1,17,1,1,991,(diisocyanate_mass+chain_extender_mass)/total_mass,linear_alternating_DII_with_segmented_macrodiol_extender_order,single_sequence_oligomer_proxy,single_chain_proxy_not_product_distribution,not_applicable,blocked_pending_forcefield_COA_and_chain_distribution_validation,no_performance_claim
commercial_system_1e9a19535918fee7_707fe304b16717b6,commercial_pdi_15,commercial_ptmg_1400,commercial_chdm_14,0.35,1,1,0,1400,154.169,144.214,1,2,3,0.349120266303,0.000879733697206,2150.935,1,5,1,1,365,(diisocyanate_mass+chain_extender_mass)/total_mass,linear_alternating_DII_with_segmented_macrodiol_extender_order,single_sequence_oligomer_proxy,single_chain_proxy_not_product_distribution,not_applicable,blocked_pending_forcefield_COA_and_chain_distribution_validation,no_performance_claim
commercial_system_275f68de57f6a031_707fe304b16717b6,commercial_h12mdi,commercial_ptmg_1800,commercial_npg,0.35,1,1,0,1800,262.353,104.149,1,2,3,0.356075091661,0.00607509166092,2795.357,1,5,1,1,489,(diisocyanate_mass+chain_extender_mass)/total_mass,linear_alternating_DII_with_segmented_macrodiol_extender_order,single_sequence_oligomer_proxy,single_chain_proxy_not_product_distribution,not_applicable,blocked_pending_forcefield_COA_and_chain_distribution_validation,no_performance_claim
commercial_system_50aa43042a8e77b6_707fe304b16717b6,commercial_ndi_15,commercial_ptmg_650,commercial_hqee,0.35,1,1,0,650,210.192,198.218,3,1,4,0.347604839902,0.00239516009777,2988.986,1,7,1,1,476,(diisocyanate_mass+chain_extender_mass)/total_mass,linear_alternating_DII_with_segmented_macrodiol_extender_order,single_sequence_oligomer_proxy,single_chain_proxy_not_product_distribution,not_applicable,blocked_pending_forcefield_COA_and_chain_distribution_validation,no_performance_claim
commercial_system_59ebf4f5a2e01a54_d4bd65fe8c7c0e5c,commercial_mdi_44,commercial_ptmg_2000,commercial_bdo_14,0.35,1.02,1,0.02,2000,250.257,90.122,2,5,7,0.355089288694,0.00508928869412,6202.409,1,13,1,1,991,(diisocyanate_mass+chain_extender_mass)/total_mass,linear_alternating_DII_with_segmented_macrodiol_extender_order,single_sequence_oligomer_proxy,single_chain_proxy_not_product_distribution,separate_batch_and_multichain_context_not_embedded_in_single_chain,blocked_pending_forcefield_COA_and_chain_distribution_validation,no_performance_claim
commercial_system_70d2f0f7e0facf07_d4bd65fe8c7c0e5c,commercial_ipdi,commercial_ptmg_2000,commercial_bdo_14,0.35,1.02,1,0.02,2000,222.288,90.122,3,8,11,0.345417222335,0.00458277766529,9166.144,1,21,1,1,1564,(diisocyanate_mass+chain_extender_mass)/total_mass,linear_alternating_DII_with_segmented_macrodiol_extender_order,single_sequence_oligomer_proxy,single_chain_proxy_not_product_distribution,separate_batch_and_multichain_context_not_embedded_in_single_chain,blocked_pending_forcefield_COA_and_chain_distribution_validation,no_performance_claim
commercial_system_7faa7e08bccea0b7_aa4e010292f6d778,commercial_ipdi,commercial_ptmg_1000,commercial_bdo_14,0.45,1.02,1,0.02,1000,222.288,90.122,1,2,3,0.458613140109,0.00861314010875,1847.108,1,5,1,1,319,(diisocyanate_mass+chain_extender_mass)/total_mass,linear_alternating_DII_with_segmented_macrodiol_extender_order,single_sequence_oligomer_proxy,single_chain_proxy_not_product_distribution,separate_batch_and_multichain_context_not_embedded_in_single_chain,blocked_pending_forcefield_COA_and_chain_distribution_validation,no_performance_claim
commercial_system_85feea981e4448c2_707fe304b16717b6,commercial_mdi_44,commercial_ptmg_1800,commercial_deg,0.35,1,1,0,1800,250.257,106.121,1,2,3,0.348537267107,0.0014627328934,2763.013,1,5,1,1,449,(diisocyanate_mass+chain_extender_mass)/total_mass,linear_alternating_DII_with_segmented_macrodiol_extender_order,single_sequence_oligomer_proxy,single_chain_proxy_not_product_distribution,not_applicable,blocked_pending_forcefield_COA_and_chain_distribution_validation,no_performance_claim
commercial_system_8f78b79e85d09a49_aa4e010292f6d778,commercial_mdi_44,commercial_ptmg_1000,commercial_bdo_14,0.45,1.02,1,0.02,1000,250.257,90.122,3,5,8,0.449810423011,0.000189576988578,5452.666,1,15,1,1,867,(diisocyanate_mass+chain_extender_mass)/total_mass,linear_alternating_DII_with_segmented_macrodiol_extender_order,single_sequence_oligomer_proxy,single_chain_proxy_not_product_distribution,separate_batch_and_multichain_context_not_embedded_in_single_chain,blocked_pending_forcefield_COA_and_chain_distribution_validation,no_performance_claim
