validation_family,parameter_class,requested_type,alternate_type,formulation_count,formulation_fraction,validation_priority,production_md_permission
repeating_urethane_ns_substitution,angle,"c,ns,c3","c,n,c3",7,0.583333333333,P0_repeating_backbone,blocked_pending_parameter_validation
repeating_urethane_ns_substitution,angle,"c,ns,ca","c,n,ca",5,0.416666666667,P0_repeating_backbone,blocked_pending_parameter_validation
repeating_urethane_ns_substitution,angle,"c,ns,hn","c,n,hn",12,1,P0_repeating_backbone,blocked_pending_parameter_validation
repeating_urethane_ns_substitution,angle,"c3,c3,ns","c3,c3,n",7,0.583333333333,P0_repeating_backbone,blocked_pending_parameter_validation
repeating_urethane_ns_substitution,angle,"c3,ns,c","c3,n,c",7,0.583333333333,P0_repeating_backbone,blocked_pending_parameter_validation
repeating_urethane_ns_substitution,angle,"c3,ns,hn","c3,n,hn",7,0.583333333333,P0_repeating_backbone,blocked_pending_parameter_validation
repeating_urethane_ns_substitution,angle,"ca,ca,ns","ca,ca,n",5,0.416666666667,P0_repeating_backbone,blocked_pending_parameter_validation
repeating_urethane_ns_substitution,angle,"ca,ns,c","ca,n,c",5,0.416666666667,P0_repeating_backbone,blocked_pending_parameter_validation
repeating_urethane_ns_substitution,angle,"ca,ns,hn","ca,n,hn",5,0.416666666667,P0_repeating_backbone,blocked_pending_parameter_validation
repeating_urethane_ns_substitution,angle,"ns,c,o","n,c,o",12,1,P0_repeating_backbone,blocked_pending_parameter_validation
repeating_urethane_ns_substitution,angle,"ns,c,os","n,c,os",12,1,P0_repeating_backbone,blocked_pending_parameter_validation
repeating_urethane_ns_substitution,angle,"ns,c3,c3","n,c3,c3",7,0.583333333333,P0_repeating_backbone,blocked_pending_parameter_validation
repeating_urethane_ns_substitution,angle,"ns,c3,h1","n,c3,h1",7,0.583333333333,P0_repeating_backbone,blocked_pending_parameter_validation
repeating_urethane_ns_substitution,angle,"ns,ca,ca","n,ca,ca",5,0.416666666667,P0_repeating_backbone,blocked_pending_parameter_validation
