formulation_id,atom_count,estimated_urethane_bond_count,alternate_parameter_event_count,alternate_parameter_unique_count,events_per_estimated_urethane_bond,repeating_urethane_ns_unique_count,terminal_nco_unique_count,other_unique_count,parameter_validation_status,performance_claim_status
commercial_system_0a4072d5b07dec7f_aa4e010292f6d778,198,3,71,39,23.6666666667,34,5,0,blocked_repeating_urethane_and_terminal_nco_substitutions,no_performance_claim
commercial_system_14b9dea0be44a0a8_707fe304b16717b6,991,17,328,34,19.2941176471,29,5,0,blocked_repeating_urethane_and_terminal_nco_substitutions,no_performance_claim
commercial_system_1e9a19535918fee7_707fe304b16717b6,365,5,115,39,23,34,5,0,blocked_repeating_urethane_and_terminal_nco_substitutions,no_performance_claim
commercial_system_275f68de57f6a031_707fe304b16717b6,489,5,115,39,23,34,5,0,blocked_repeating_urethane_and_terminal_nco_substitutions,no_performance_claim
commercial_system_50aa43042a8e77b6_707fe304b16717b6,476,7,138,34,19.7142857143,29,5,0,blocked_repeating_urethane_and_terminal_nco_substitutions,no_performance_claim
commercial_system_59ebf4f5a2e01a54_d4bd65fe8c7c0e5c,991,13,252,34,19.3846153846,29,5,0,blocked_repeating_urethane_and_terminal_nco_substitutions,no_performance_claim
commercial_system_70d2f0f7e0facf07_d4bd65fe8c7c0e5c,1564,21,467,39,22.2380952381,34,5,0,blocked_repeating_urethane_and_terminal_nco_substitutions,no_performance_claim
commercial_system_7faa7e08bccea0b7_aa4e010292f6d778,319,5,115,39,23,34,5,0,blocked_repeating_urethane_and_terminal_nco_substitutions,no_performance_claim
commercial_system_85feea981e4448c2_707fe304b16717b6,449,5,100,34,20,29,5,0,blocked_repeating_urethane_and_terminal_nco_substitutions,no_performance_claim
commercial_system_8f78b79e85d09a49_aa4e010292f6d778,867,15,290,34,19.3333333333,29,5,0,blocked_repeating_urethane_and_terminal_nco_substitutions,no_performance_claim
commercial_system_aecb4daa61e5bf61_aa4e010292f6d778,1118,21,467,39,22.2380952381,34,5,0,blocked_repeating_urethane_and_terminal_nco_substitutions,no_performance_claim
commercial_system_cd065d7488917087_aa4e010292f6d778,1259,17,379,39,22.2941176471,34,5,0,blocked_repeating_urethane_and_terminal_nco_substitutions,no_performance_claim
