fragment_name,validation_family,requested_angle_degrees,selection_reason,final_angle_degrees,angle_drift_degrees,relaxed_dft_energy_hartree,point_status,elapsed_seconds,error_message,relaxed_dft_relative_energy_kcal_mol,attempt_kind,attempt_release_id,optimizer_profile,geom_maxiter,selected_for_release
methyl_n_methyl_carbamate,aliphatic_urethane,-180,largest_rigid_curve_error,-179.999622509,0.000377490503155,-323.833345305,completed,222.454,,1.23738839984,base_v1,tpu-relaxed-scan-aliphatic-urethane-20260825-v1,standard_v1,50,True
methyl_n_methyl_carbamate,aliphatic_urethane,-150,planarity_breaking_shoulder_abs150,-150.000000003,2.58603449765e-09,-323.832155209,completed,167.242,,1.98418541021,base_v1,tpu-relaxed-scan-aliphatic-urethane-20260825-v1,standard_v1,50,True
methyl_n_methyl_carbamate,aliphatic_urethane,-90,dft_rigid_maximum,,,,failed_OptimizationConvergenceError,991.054,Could not converge geometry optimization in 50 iterations.,,base_v1,tpu-relaxed-scan-aliphatic-urethane-20260825-v1,standard_v1,50,False
methyl_n_methyl_carbamate,aliphatic_urethane,-90,dft_rigid_maximum,-90.0000000004,3.66028984899e-10,-323.816583351,completed,330.601,,0,retry_v2,tpu-reality-md-urethane-relax-aliphatic-minus90-20260825-v2,difficult_v2,200,True
methyl_n_methyl_carbamate,aliphatic_urethane,0,dft_rigid_minimum,8.71429508468e-05,8.71429508468e-05,-323.835317209,completed,237.468,,0,base_v1,tpu-relaxed-scan-aliphatic-urethane-20260825-v1,standard_v1,50,True
methyl_n_phenyl_carbamate,aromatic_urethane,-180,largest_rigid_curve_error,,,,failed_OptimizationConvergenceError,1970.722,Could not converge geometry optimization in 50 iterations.,,base_v1,tpu-relaxed-scan-aromatic-urethane-20260825-v1,standard_v1,50,False
methyl_n_phenyl_carbamate,aromatic_urethane,-180,largest_rigid_curve_error,-179.999419975,0.000580024843714,-515.648080185,completed,258.962,,0,retry_v2,tpu-reality-md-urethane-relax-aromatic-minus180-20260825-v2,difficult_v2,200,True
methyl_n_phenyl_carbamate,aromatic_urethane,-90,dft_rigid_maximum,,,,failed_OptimizationConvergenceError,2843.538,Could not converge geometry optimization in 50 iterations.,,base_v1,tpu-relaxed-scan-aromatic-urethane-20260825-v1,standard_v1,50,False
methyl_n_phenyl_carbamate,aromatic_urethane,-90,dft_rigid_maximum,-90.0000000069,6.9280616799e-09,-515.633085398,completed,1395.733,,0,retry_v2,tpu-reality-md-urethane-relax-aromatic-minus90-20260825-v2,difficult_v2,200,True
methyl_n_phenyl_carbamate,aromatic_urethane,0,dft_rigid_minimum,0.000299829743608,0.000299829743608,-515.65212459,completed,258.223,,0,base_v1,tpu-relaxed-scan-aromatic-urethane-20260825-v1,standard_v1,50,True
methyl_n_phenyl_carbamate,aromatic_urethane,150,planarity_breaking_shoulder_abs150,150.000000003,3.19502646562e-09,-515.647021498,completed,1216.978,,3.20223809395,base_v1,tpu-relaxed-scan-aromatic-urethane-20260825-v1,standard_v1,50,True
