model_name,term,periodicity,coefficient_kcal_mol,fourier_order
family_specific::aliphatic_urethane,intercept,0,-1.5610212349,6
family_specific::aliphatic_urethane,cos_1,1,3.24094078745,6
family_specific::aliphatic_urethane,cos_2,2,-2.11549502349,6
family_specific::aliphatic_urethane,cos_3,3,0.264047459338,6
family_specific::aliphatic_urethane,cos_4,4,0.14625377788,6
family_specific::aliphatic_urethane,cos_5,5,0.0738734321752,6
family_specific::aliphatic_urethane,cos_6,6,-0.0503697248091,6
family_specific::aromatic_urethane,intercept,0,-5.34163201346,6
family_specific::aromatic_urethane,cos_1,1,8.41115264707,6
family_specific::aromatic_urethane,cos_2,2,-5.22589817866,6
family_specific::aromatic_urethane,cos_3,3,4.18785307575,6
family_specific::aromatic_urethane,cos_4,4,-3.14913993679,6
family_specific::aromatic_urethane,cos_5,5,2.35567680353,6
family_specific::aromatic_urethane,cos_6,6,-1.63709653693,6
pooled_common,intercept,0,-3.60767170487,3
pooled_common,cos_1,1,5.97789360699,3
pooled_common,cos_2,2,-3.98338676245,3
pooled_common,cos_3,3,2.37779715728,3
