model_name,fourier_order,training_rmse_kcal_mol,leave_angle_out_rmse_kcal_mol
family_specific::aliphatic_urethane,1,1.55193004084,1.82645940062
family_specific::aliphatic_urethane,2,0.232163150678,0.305037646482
family_specific::aliphatic_urethane,3,0.120443243255,0.171867347319
family_specific::aliphatic_urethane,4,0.0648550852161,0.10564155507
family_specific::aliphatic_urethane,5,0.0370485130451,0.0674632717912
family_specific::aliphatic_urethane,6,0.00799107427675,0.0182624937836
family_specific::aromatic_urethane,1,6.30383116617,7.76843314217
family_specific::aromatic_urethane,2,4.62877505205,6.33138445049
family_specific::aromatic_urethane,3,3.29059887899,5.00797664967
family_specific::aromatic_urethane,4,2.23309746614,3.85075625525
family_specific::aromatic_urethane,5,1.451000363,2.93272659325
family_specific::aromatic_urethane,6,0.850243924781,1.98957565421
pooled_common,1,5.55351606227,6.16475980908
pooled_common,2,4.73196173936,5.60072859215
pooled_common,3,4.40558450019,5.52623264198
pooled_common,4,4.25075478037,5.62065625428
pooled_common,5,4.15965124439,5.77990864549
pooled_common,6,4.11527416713,5.99792314425
