formulation_id,urethane_occurrence_count,aliphatic_urethane_occurrences,aromatic_urethane_occurrences,mapped_torsion_instance_count,coefficient_term_assignment_count,mapping_status,production_md_permission
commercial_system_0a4072d5b07dec7f_aa4e010292f6d778,3,3,0,3,6,candidate_mapping_complete_external_validation_pending,blocked_external_and_condensed_phase_validation
commercial_system_14b9dea0be44a0a8_707fe304b16717b6,17,0,17,17,17,candidate_mapping_complete_external_validation_pending,blocked_external_and_condensed_phase_validation
commercial_system_1e9a19535918fee7_707fe304b16717b6,5,5,0,5,10,candidate_mapping_complete_external_validation_pending,blocked_external_and_condensed_phase_validation
commercial_system_275f68de57f6a031_707fe304b16717b6,5,5,0,5,10,candidate_mapping_complete_external_validation_pending,blocked_external_and_condensed_phase_validation
commercial_system_50aa43042a8e77b6_707fe304b16717b6,7,0,7,7,7,candidate_mapping_complete_external_validation_pending,blocked_external_and_condensed_phase_validation
commercial_system_59ebf4f5a2e01a54_d4bd65fe8c7c0e5c,13,0,13,13,13,candidate_mapping_complete_external_validation_pending,blocked_external_and_condensed_phase_validation
commercial_system_70d2f0f7e0facf07_d4bd65fe8c7c0e5c,21,21,0,21,42,candidate_mapping_complete_external_validation_pending,blocked_external_and_condensed_phase_validation
commercial_system_7faa7e08bccea0b7_aa4e010292f6d778,5,5,0,5,10,candidate_mapping_complete_external_validation_pending,blocked_external_and_condensed_phase_validation
commercial_system_85feea981e4448c2_707fe304b16717b6,5,0,5,5,5,candidate_mapping_complete_external_validation_pending,blocked_external_and_condensed_phase_validation
commercial_system_8f78b79e85d09a49_aa4e010292f6d778,15,0,15,15,15,candidate_mapping_complete_external_validation_pending,blocked_external_and_condensed_phase_validation
commercial_system_aecb4daa61e5bf61_aa4e010292f6d778,21,21,0,21,42,candidate_mapping_complete_external_validation_pending,blocked_external_and_condensed_phase_validation
commercial_system_cd065d7488917087_aa4e010292f6d778,17,17,0,17,34,candidate_mapping_complete_external_validation_pending,blocked_external_and_condensed_phase_validation
