xtb_task_index,xtb_task_slug,candidate_id,component_role,conformer_id,source_task_slug,crest_rank,canonical_smiles,run_status,warning_codes,failure_type,failure_message,archive_file,archive_sha256,method,xtb_version,xtb_version_full,total_energy_hartree,relative_energy_kcal_mol,boltzmann_proxy_weight_298K,homo_ev,lumo_ev,homo_lumo_gap_ev,reported_homo_lumo_gap_ev,dipole_x_au,dipole_y_au,dipole_z_au,dipole_magnitude_debye,partial_charge_sum_e,gfn2_d4_alpha0_au,reactive_site_kind,reactive_site_count,reactive_site_distance_a,probe_radius_a,sphere_point_count,site_1_atom_index,site_1_charge_e,site_1_atomic_alpha0_au,site_1_incident_wbo_count,site_1_incident_wbo_sum,site_1_incident_wbo_mean,site_1_sasa_a2,site_1_relative_sasa,site_1_nonbonded_net_gap_a,site_2_atom_index,site_2_charge_e,site_2_atomic_alpha0_au,site_2_incident_wbo_count,site_2_incident_wbo_sum,site_2_incident_wbo_mean,site_2_sasa_a2,site_2_relative_sasa,site_2_nonbonded_net_gap_a,site_charge_e_mean,site_charge_e_min,site_charge_e_max,site_charge_e_abs_difference,site_atomic_alpha0_au_mean,site_atomic_alpha0_au_min,site_atomic_alpha0_au_max,site_atomic_alpha0_au_abs_difference,site_incident_wbo_sum_mean,site_incident_wbo_sum_min,site_incident_wbo_sum_max,site_incident_wbo_sum_abs_difference,site_sasa_a2_mean,site_sasa_a2_min,site_sasa_a2_max,site_sasa_a2_abs_difference,site_relative_sasa_mean,site_relative_sasa_min,site_relative_sasa_max,site_relative_sasa_abs_difference,site_nonbonded_net_gap_a_mean,site_nonbonded_net_gap_a_min,site_nonbonded_net_gap_a_max,site_nonbonded_net_gap_a_abs_difference,xtbout_json_sha256,stdout_sha256,wbo_sha256
0,0000_000001_cf_0b36833157d92edb7f94,commercial_bdo_14,chain_extender,cf_0b36833157d92edb7f94,reality_commercial_bdo_14,1,OCCCCO,success,,,,结果包/0b/0000_000001_cf_0b36833157d92edb7f94.tar.gz,3d3fb11cd605fca72faf1efa625690e4810690d7c0f7b027d09d94f01d591472,GFN2-xTB,6.7.1,6.7.1 (edcfbbe),-21.78364397,,,-10.75033216,0.82469795,11.57503011,11.57503012,0.95288406,0.95598377,0.69085798,3.8540595667893447,1.9081958235744878e-17,61.120108,hydroxyl_oxygen,2,2.7882133264051063,1.4,960,0,-0.44240372,6.287,2,1.8880881647926588,0.9440440823963294,19.643415441149873,0.18333333333333332,-0.8430743461821391,5,-0.46281171,6.347,2,1.870130752567062,0.935065376283531,32.59021198190774,0.30416666666666664,-0.2517866735948937,-0.45260771499999997,-0.46281171,-0.44240372,0.020407989999999987,6.317,6.287,6.347,0.0600000000000005,1.8791094586798605,1.870130752567062,1.8880881647926588,0.01795741222559677,26.116813711528806,19.643415441149873,32.59021198190774,12.94679654075787,0.24374999999999997,0.18333333333333332,0.30416666666666664,0.12083333333333332,-0.5474305098885164,-0.8430743461821391,-0.2517866735948937,0.5912876725872453,50a6d965bbfb9824e0b900f61584e3338690e7e899799732d2f72a7674acbacf,f88b60d0915935040b5c5501c188640ae3eb42ef7dfdff97d9953aa408813d0a,5f8f54c89bc969028fdb2bf0e82b8fb2ac09474fe35fa9110bf15101af4f2500
1,0000_000002_cf_0964c7b6bff7efabfc00,commercial_bdo_14,chain_extender,cf_0964c7b6bff7efabfc00,reality_commercial_bdo_14,2,OCCCCO,success,,,,结果包/09/0000_000002_cf_0964c7b6bff7efabfc00.tar.gz,08411f15e0f2ea22d830a5d59bba150d3289d8f404c5e2c1eff8bb629134bb2d,GFN2-xTB,6.7.1,6.7.1 (edcfbbe),-21.78170301,,,-10.63104895,0.58486172,11.21591067,11.21591066,1.19202502,0.46246084,-0.18533027,3.2838148271368883,1.0408340855860843e-17,61.153614,hydroxyl_oxygen,2,2.7799359347809625,1.4,960,0,-0.44203945,6.286,2,1.883821869510325,0.9419109347551625,14.955782210875475,0.13958333333333334,-0.8721967468907841,5,-0.4653412,6.355,2,1.866735781729477,0.9333678908647385,32.70182229691428,0.30520833333333336,-0.2600640652190376,-0.453690325,-0.4653412,-0.44203945,0.02330175000000001,6.3205,6.286,6.355,0.06900000000000084,1.8752788256199011,1.866735781729477,1.883821869510325,0.01708608778084808,23.828802253894878,14.955782210875475,32.70182229691428,17.746040086038803,0.22239583333333335,0.13958333333333334,0.30520833333333336,0.16562500000000002,-0.5661304060549108,-0.8721967468907841,-0.2600640652190376,0.6121326816717465,dbbed34f7c81d5b9e9f31c60a1442c3de34cfd52a371461c2fd050a9e43379ac,44a299c512da8d5f727db84240e76d5dcd27a4da30f417b570255fd652401b43,6ab90a2ee1a5e871b9047abec6a6fb92a6cf3f93e1edd3e036ee42da249d0bb5
2,0000_000003_cf_f1a6db9b28d8176e5c6b,commercial_bdo_14,chain_extender,cf_f1a6db9b28d8176e5c6b,reality_commercial_bdo_14,3,OCCCCO,success,,,,结果包/f1/0000_000003_cf_f1a6db9b28d8176e5c6b.tar.gz,3e87be41d2d0867ed74479574715a3f717badcd46cd5fc7245bca1c8ace4dbc6,GFN2-xTB,6.7.1,6.7.1 (edcfbbe),-21.78148019,,,-11.12026335,1.23539079,12.35565414,12.35565414,0.01684351,0.67689114,0.01205352,1.7212905962806446,3.8163916471489756e-17,61.118226,hydroxyl_oxygen,2,2.845958259820506,1.4,960,0,-0.45145438,6.314,2,1.889768657683224,0.944884328841612,24.331048671424277,0.22708333333333333,-0.3371202705719647,5,-0.45137151,6.313,2,1.889853308251556,0.944926654125778,24.889100246456945,0.23229166666666667,-0.34087838821943817,-0.45141294499999995,-0.45145438,-0.45137151,8.287000000001266e-05,6.3134999999999994,6.313,6.314,0.001000000000000334,1.88981098296739,1.889768657683224,1.889853308251556,8.465056833206752e-05,24.61007445894061,24.331048671424277,24.889100246456945,0.5580515750326676,0.2296875,0.22708333333333333,0.23229166666666667,0.005208333333333343,-0.33899932939570143,-0.34087838821943817,-0.3371202705719647,0.003758117647473469,2f360b42b4f9296d5a5941ad6611a45c65fc93488d842492944da1255e42e8b2,37ea6b025cd8c2e1c961ee6659bad978d6c7a6af4fac2073ca6b8ac04cbf0182,af645a09e390eafcfea36d8e6823d93c0e5af2a6309c82dee21db5e1da067f52
3,0000_000004_cf_a1a7625d2d82e0fbd7b7,commercial_bdo_14,chain_extender,cf_a1a7625d2d82e0fbd7b7,reality_commercial_bdo_14,4,OCCCCO,success,,,,结果包/a1/0000_000004_cf_a1a7625d2d82e0fbd7b7.tar.gz,c0d414cebd3f2f5c32424fb387d6210ab1aeddce5d2e7b20c9e7f7d0fd2d2b21,GFN2-xTB,6.7.1,6.7.1 (edcfbbe),-21.78140521,,,-11.03780568,1.43607583,12.47388151,12.4738815,0.00135598,0.05076629,0.00058655,0.12908964481390237,9.999999966980866e-09,61.035334,hydroxyl_oxygen,2,4.418737615260071,1.4,960,0,-0.44317455,6.289,2,1.902054723580672,0.951027361790336,27.902578751633346,0.2604166666666667,-0.22444209951763683,5,-0.44317728,6.289,2,1.902052143661467,0.9510260718307335,28.79546127168561,0.26875,-0.22448478006710704,-0.443175915,-0.44317728,-0.44317455,2.7300000000063385e-06,6.289,6.289,6.289,0.0,1.9020534336210695,1.902052143661467,1.902054723580672,2.5799192049369424e-06,28.349020011659476,27.902578751633346,28.79546127168561,0.8928825200522645,0.26458333333333334,0.2604166666666667,0.26875,0.008333333333333304,-0.22446343979237193,-0.22448478006710704,-0.22444209951763683,4.268054947020872e-05,681769b2f8d5b49a079982b4283c82506bedc6201e2efcc2c7b9cdee744637ee,b366e46bd502a3e54923fb9db47324fe196154226d5d64184ee73a0074585255,a73ee242e3122fc192a2c76f560f4de08a7b4c4598fd71ef3dfa7a5d1e03d14d
4,0000_000005_cf_1b2c2aa1ab5c3bfcbc01,commercial_bdo_14,chain_extender,cf_1b2c2aa1ab5c3bfcbc01,reality_commercial_bdo_14,5,OCCCCO,success,,,,结果包/1b/0000_000005_cf_1b2c2aa1ab5c3bfcbc01.tar.gz,e04034c0604c3f88d95dfb120fcb6750e9dad56477cc02da3d0590fa717abed8,GFN2-xTB,6.7.1,6.7.1 (edcfbbe),-21.78137687,,,-10.74887597,0.82440814,11.57328411,11.5732841,1.02698801,1.09879406,0.26103209,3.8799654957826792,1.0000000039839252e-08,61.10544,hydroxyl_oxygen,2,2.912801880164097,1.4,960,0,-0.44466572,6.294,2,1.892843900488748,0.946421950244374,20.08985670117601,0.1875,-0.717454444763671,5,-0.45958105,6.338,2,1.8778161104979891,0.9389080552489946,33.70631513197308,0.3145833333333333,-0.20310145777140787,-0.452123385,-0.45958105,-0.44466572,0.014915330000000004,6.316,6.294,6.338,0.04400000000000048,1.8853300054933686,1.8778161104979891,1.892843900488748,0.015027789990758933,26.898085916574544,20.08985670117601,33.70631513197308,13.616458430797067,0.25104166666666666,0.1875,0.3145833333333333,0.12708333333333333,-0.46027795126753945,-0.717454444763671,-0.20310145777140787,0.5143529869922632,61e30f54999e53007c77ddaa84f4352631769903d3c9184119fd3c98c388ad4c,7b381c3a45f77bce07bf93120c742f67bd51c98cb558c39a66fad5e152e9a1ca,84ffa2727968fcbb7b7a09c2ec048dbeeebbd92fa881d6166f754396d6a2f118
5,0000_000006_cf_53770dd168abcf2dc2e3,commercial_bdo_14,chain_extender,cf_53770dd168abcf2dc2e3,reality_commercial_bdo_14,6,OCCCCO,success,,,,结果包/53/0000_000006_cf_53770dd168abcf2dc2e3.tar.gz,6a22954c8526e532795b8d66f2101e556d9eb19d276388ab1e1f1325b3b22f0c,GFN2-xTB,6.7.1,6.7.1 (edcfbbe),-21.78102684,,,-11.23238372,1.01484485,12.247228569999999,12.24722858,0.02819844,0.98480146,0.0117026,2.504317749044953,-9.999999949633631e-09,61.103663,hydroxyl_oxygen,2,2.8551704763583152,1.4,960,0,-0.45445682,6.322,2,1.884433384261682,0.942216692130841,27.344527176600675,0.2552083333333333,-0.4533494626792074,5,-0.45445354,6.322,2,1.884438603622361,0.9422193018111805,27.344527176600675,0.2552083333333333,-0.45366111503169226,-0.45445517999999996,-0.45445682,-0.45445354,3.2799999999943985e-06,6.322,6.322,6.322,0.0,1.8844359939420214,1.884433384261682,1.884438603622361,5.219360678987428e-06,27.344527176600675,27.344527176600675,27.344527176600675,0.0,0.2552083333333333,0.2552083333333333,0.2552083333333333,0.0,-0.45350528885544983,-0.45366111503169226,-0.4533494626792074,0.0003116523524848702,91bdf86f1244cf07e646276e34e295aab144ccd837adb13af84dc21782ec925e,fcf2c39088d618da82392a0a0caa1680f0719aa65d8903a7fb6203d07a0a0f3a,d6718d8166c93ad295e671b2985473ebbca6c57016d8c0a3bfe0875608879f81
6,0000_000007_cf_932f2127cac611fa01de,commercial_bdo_14,chain_extender,cf_932f2127cac611fa01de,reality_commercial_bdo_14,7,OCCCCO,success,,,,结果包/93/0000_000007_cf_932f2127cac611fa01de.tar.gz,be3a36652194ad88a3ff1098e8682dd5a75f689d7ce98a1a25f982b9e5b16ca3,GFN2-xTB,6.7.1,6.7.1 (edcfbbe),-21.78096356,,,-11.04874837,1.44349101,12.492239380000001,12.49223939,-0.00010516,9.683e-05,-0.00013107,0.0004929547104385673,9.99999997391976e-09,61.047122,hydroxyl_oxygen,2,5.247725996149412,1.4,960,0,-0.44193289,6.286,2,1.9029073927016968,0.9514536963508484,28.460630326666013,0.265625,-0.2306644432999414,5,-0.44193051,6.286,2,1.9029102687438328,0.9514551343719164,29.465123161724815,0.275,-0.23051247312433198,-0.44193170000000004,-0.44193289,-0.44193051,2.3800000000240296e-06,6.286,6.286,6.286,0.0,1.9029088307227648,1.9029073927016968,1.9029102687438328,2.8760421360018995e-06,28.962876744195412,28.460630326666013,29.465123161724815,1.0044928350588016,0.2703125,0.265625,0.275,0.009375000000000022,-0.2305884582121367,-0.2306644432999414,-0.23051247312433198,0.00015197017560941717,4092523c993efcd424055c088109b5bc41006f5521fd156ba94b3c657582ba3e,ef3a5f9781120e84049115a85045229b81b1ef8337a514ae93af4857a4b5bc3b,a376eaa883a9889efe0d7d69d52bf9e6a5773d59bef6a86c68ecea61d71b84c0
7,0000_000008_cf_10a7f73e5348fca522f6,commercial_bdo_14,chain_extender,cf_10a7f73e5348fca522f6,reality_commercial_bdo_14,8,OCCCCO,success,,,,结果包/10/0000_000008_cf_10a7f73e5348fca522f6.tar.gz,ea63a97e8fe6de40c9fcc46f741882dc3af2020e7673105f05fbd7b6a16d5200,GFN2-xTB,6.7.1,6.7.1 (edcfbbe),-21.78086311,,,-10.89055305,1.50656487,12.39711792,12.39711792,0.42702915,0.89145268,0.57526484,2.906907916569261,2.0000000058861822e-08,61.069509,hydroxyl_oxygen,2,3.532513560674771,1.4,960,0,-0.44503473,6.295,2,1.902402054000649,0.9512010270003245,25.000710561463478,0.23333333333333334,-0.25437743692905346,5,-0.44317713,6.289,2,1.898526152517003,0.9492630762585015,25.781982766509213,0.240625,-0.37292055851644057,-0.44410593,-0.44503473,-0.44317713,0.0018576000000000148,6.292,6.289,6.295,0.006000000000000227,1.9004641032588259,1.898526152517003,1.902402054000649,0.003875901483646027,25.391346663986347,25.000710561463478,25.781982766509213,0.7812722050457346,0.23697916666666669,0.23333333333333334,0.240625,0.0072916666666666685,-0.313648997722747,-0.37292055851644057,-0.25437743692905346,0.11854312158738711,51f374848233c4e466b852b7702269f2478e3502fd333f79fd24db5a49273447,43455ee73bd81c23f43185eb3eb170861bb8e0f30ef99e4225cd2cc6630e07a9,078ff2168a89d148138064ac23bdd33264e5cfe73aa95c0e62ed3b5925169ca6
8,0000_000009_cf_4cf828329d3ccbbc16d0,commercial_bdo_14,chain_extender,cf_4cf828329d3ccbbc16d0,reality_commercial_bdo_14,9,OCCCCO,success,,,,结果包/4c/0000_000009_cf_4cf828329d3ccbbc16d0.tar.gz,eedf487983fdb0a04253e147994b858e97696f3b492e4d44bc6b7ea1481ecd57,GFN2-xTB,6.7.1,6.7.1 (edcfbbe),-21.78053374,,,-11.09002858,0.98763421,12.07766279,12.07766278,-0.45949113,0.21007119,0.73413513,2.265174020775271,-1.0000000020757294e-08,61.050118,hydroxyl_oxygen,2,5.266881012008713,1.4,960,0,-0.44096545,6.283,2,1.903167133809537,0.9515835669047685,33.59470481696655,0.31354166666666666,-0.058823330209799574,5,-0.43979505,6.279,2,1.9044416208461739,0.9522208104230869,28.572240641672543,0.26666666666666666,-0.2317073464145174,-0.44038025000000003,-0.44096545,-0.43979505,0.0011703999999999604,6.281000000000001,6.279,6.283,0.004000000000000448,1.9038043773278555,1.903167133809537,1.9044416208461739,0.0012744870366367955,31.083472729319546,28.572240641672543,33.59470481696655,5.0224641752940045,0.29010416666666666,0.26666666666666666,0.31354166666666666,0.046875,-0.1452653383121585,-0.2317073464145174,-0.058823330209799574,0.17288401620471783,442c359e346ce926fa121495eb86d34afa40bd0067ae5d48742cefadb09348cf,44fa95158d04e0680db49c506728fee1c019c9bfb027fb29c41ad79cc19ca464,594d018bdefa8a8e1e71a3cc80ee7142660a1b2d298e90d53dd3ef91c50cf3b5
9,0000_000010_cf_e3849ce23fe59859f04d,commercial_bdo_14,chain_extender,cf_e3849ce23fe59859f04d,reality_commercial_bdo_14,10,OCCCCO,success,,,,结果包/e3/0000_000010_cf_e3849ce23fe59859f04d.tar.gz,906239601523a08bbe41c30518670a24676e9303dbbe2b3c0f771b2b308cb6b8,GFN2-xTB,6.7.1,6.7.1 (edcfbbe),-21.78047174,,,-10.77270184,0.84161665,11.61431849,11.61431849,-0.98769164,0.69441085,-0.11625821,3.0830207362823225,-2.00000000276368e-08,61.096698,hydroxyl_oxygen,2,2.859406072526712,1.4,960,0,-0.45755083,6.332,2,1.878445175323257,0.9392225876616285,32.478601666901206,0.303125,-0.28325547991538413,5,-0.44374276,6.291,2,1.89190763956932,0.94595381978466,19.978246386169474,0.18645833333333334,-0.7383482357841544,-0.45064679500000004,-0.45755083,-0.44374276,0.013808070000000006,6.3115000000000006,6.291,6.332,0.04099999999999948,1.8851764074462884,1.878445175323257,1.89190763956932,0.01346246424606301,26.22842402653534,19.978246386169474,32.478601666901206,12.500355280731732,0.24479166666666666,0.18645833333333334,0.303125,0.11666666666666664,-0.5108018578497693,-0.7383482357841544,-0.28325547991538413,0.4550927558687703,dae60b3b82e51f4679c7a9cbb3ea9df77bcf11086a409c49342f668cb4450845,ae9c2a60becf1c690b25047dd6f288277b3182049fe4cd2bda25bb2a1736ac9f,b675b1aea89a29b583f1dde05b301d84429f3471b983ffbb5a4df8033062a6fb
10,0000_000011_cf_b43b15579e029dab90ba,commercial_bdo_14,chain_extender,cf_b43b15579e029dab90ba,reality_commercial_bdo_14,11,OCCCCO,success,,,,结果包/b4/0000_000011_cf_b43b15579e029dab90ba.tar.gz,89fc4e203af79698dcf0d9cfa0c6d2ad4cff5c9c1eb4ad0c98ab0217512407f2,GFN2-xTB,6.7.1,6.7.1 (edcfbbe),-21.78034818,,,-11.13327377,1.56994011,12.70321388,12.70321388,0.02603283,1.12010956,-0.02059526,2.848283901145413,-1.9999999996411777e-08,61.032526,hydroxyl_oxygen,2,4.925551817068884,1.4,960,0,-0.44223981,6.286,2,1.902769960984131,0.9513849804920655,28.34902001165948,0.26458333333333334,-0.23023582501511775,5,-0.44223987,6.286,2,1.902769816649533,0.9513849083247665,28.014189066639883,0.26145833333333335,-0.23024241187770156,-0.44223984,-0.44223987,-0.44223981,5.999999996841865e-08,6.286,6.286,6.286,0.0,1.902769888816832,1.902769816649533,1.902769960984131,1.4433459805118787e-07,28.18160453914968,28.014189066639883,28.34902001165948,0.334830945019597,0.26302083333333337,0.26145833333333335,0.26458333333333334,0.003124999999999989,-0.23023911844640965,-0.23024241187770156,-0.23023582501511775,6.5868625838128025e-06,4a70ce7a38cfd2bed3c573c2a73b4c27bd6c6f327fee23cb003708fd67ba7c36,65f784476943cb3415192108fc3bea53ac20ac581aa1afb9ad50f660f6751086,22cf0b2764227b32e2c36b5c70371b8076df9d28dfbff237ba62fb3675366ce1
