task_index,candidate_id,component_role,canonical_smiles,commercial_identity,model_scope,geometry_seed,initial_conformer_count,charge,uhf,task_slug,initial_xyz_file,atom_count,embedded_conformer_count,initial_force_field,initial_force_field_energy,initial_force_field_converged,geometry_status,geometry_error,initial_xyz_sha256,initial_xyz_bytes,preoptimization_status,preoptimization_method,preoptimized_xyz_file,preoptimized_xyz_sha256,preoptimization_log_file
0,commercial_bdo_14,chain_extender,OCCCCO,"1,4-BDO",exact_discrete_commercial_substance,20260824,10,0,0,reality_commercial_bdo_14,初始结构/reality_commercial_bdo_14.xyz,16,10,MMFF94s,-0.611582002342,True,ready,,42a8aaffc2c69b29767ea550246108f51279d17b91445eae531119d9be11a558,662,not_required,,,,
1,commercial_chdm_14,chain_extender,C1CC(CCC1CO)CO,"1,4-CHDM",commercial_isomer_mixture_connectivity_no_stereoisomer_ratio_claim,20260824,10,0,0,reality_commercial_chdm_14,初始结构/reality_commercial_chdm_14.xyz,26,10,MMFF94s,11.5161303312,True,ready,,79fdfce19de4675ec41637f6267aff54d3defafd9b3e812594a1f132c9549429,1072,not_required,,,,
2,commercial_deg,chain_extender,C(COCCO)O,DEG,exact_discrete_commercial_substance,20260824,10,0,0,reality_commercial_deg,初始结构/reality_commercial_deg.xyz,17,10,MMFF94s,36.0857525797,True,ready,,f266bb02f2896a3caaede0996f02ce0dc1bfd12526c6d6c747c5ecb45d8098d8,703,not_required,,,,
3,commercial_eg,chain_extender,C(CO)O,EG,exact_discrete_commercial_substance,20260824,10,0,0,reality_commercial_eg,初始结构/reality_commercial_eg.xyz,10,10,MMFF94s,16.0652521958,True,ready,,1cc814b4dbbcde18962ae22ad877b5a50df882a0c71b1213982b460d7d23baef,416,not_required,,,,
4,commercial_hdo_16,chain_extender,C(CCCO)CCO,"1,6-HDO",exact_discrete_commercial_substance,20260824,10,0,0,reality_commercial_hdo_16,初始结构/reality_commercial_hdo_16.xyz,22,10,MMFF94s,0.827969983751,True,ready,,89fc101f48cf4b698a06bf8cf5ad2511490d601c045dc899286f8840aef14128,908,not_required,,,,
5,commercial_hqee,chain_extender,C1=CC(=CC=C1OCCO)OCCO,HQEE,exact_discrete_commercial_substance,20260824,10,0,0,reality_commercial_hqee,初始结构/reality_commercial_hqee.xyz,28,10,MMFF94s,52.4525575306,True,ready,,76133d214341263d0e34af9fd816506cb86f2fa0fb2ec09e7dafd0d761f590bb,1154,not_required,,,,
6,commercial_npg,chain_extender,CC(C)(CO)CO,NPG,exact_discrete_commercial_substance,20260824,10,0,0,reality_commercial_npg,初始结构/reality_commercial_npg.xyz,19,10,MMFF94s,12.6338395975,True,ready,,afaf392606c24a3877c40cb3b00e2312bf44a00979fd4bdfeee3a3786473f6ff,785,not_required,,,,
7,commercial_h12mdi,diisocyanate,O=C=NC1CCC(CC1)CC2CCC(CC2)N=C=O,H12MDI,exact_discrete_commercial_substance,20260824,10,0,0,reality_commercial_h12mdi,初始结构/reality_commercial_h12mdi.xyz,41,10,MMFF94s,4.1138696864,True,ready,,e301e33b039d8c4fabf8581c451a732b1c2f9b2910edce9c68e0823eef606fc2,1687,not_required,,,,
8,commercial_hdi,diisocyanate,O=C=NCCCCCCN=C=O,HDI,exact_discrete_commercial_substance,20260824,10,0,0,reality_commercial_hdi,初始结构/reality_commercial_hdi.xyz,24,10,MMFF94s,-14.4751011901,True,ready,,968160a72110cbbed3111d42a530a2c4f9e764123efb89d7622a40fda6912af9,990,not_required,,,,
9,commercial_ipdi,diisocyanate,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,IPDI,exact_discrete_commercial_substance,20260824,10,0,0,reality_commercial_ipdi,初始结构/reality_commercial_ipdi.xyz,34,10,MMFF94s,23.7705096013,True,ready,,71ba47acb9d0407d80c45d6980e933af6332e8ec52e2c01ef03776732e92f6cb,1400,not_required,,,,
10,commercial_mdi_44,diisocyanate,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,"4,4'-MDI",exact_discrete_commercial_substance,20260824,10,0,0,reality_commercial_mdi_44,初始结构/reality_commercial_mdi_44.xyz,29,10,MMFF94s,33.7459954919,True,ready,,7f3d6839d19d44dc2f7d7a8d6ee35b1fc80eb97c3889c288cba593c4d215bebd,1195,not_required,,,,
