candidate_id,component_role,descriptor_fidelity,xtb_task_slug,total_energy_hartree,source_root_kind,source_relative_path,source_xyz_sha256,representation_scope,published_xyz_file,published_xyz_sha256,published_xyz_bytes
commercial_bdo_14,chain_extender,crest_ensemble_lowest_xtb_energy,0000_000001_cf_0b36833157d92edb7f94,-21.78364397,discrete,输入构象/0000_000001_cf_0b36833157d92edb7f94.xyz,8c533bf4e6b3e1023cd5c2613df766f75534db5d488a290c2b517bc21c37ffc6,exact_discrete_commercial_substance,单体结构/commercial_bdo_14.xyz,8c533bf4e6b3e1023cd5c2613df766f75534db5d488a290c2b517bc21c37ffc6,1064
commercial_chdm_14,chain_extender,crest_ensemble_lowest_xtb_energy,0001_000001_cf_62c3bd792af4c807dc81,-33.43569844,discrete,输入构象/0001_000001_cf_62c3bd792af4c807dc81.xyz,6e7eb0daa12f37467e2b5f33b7358a827eda9dc4a7b0dfb0207211900e82f05c,exact_discrete_commercial_substance,单体结构/commercial_chdm_14.xyz,6e7eb0daa12f37467e2b5f33b7358a827eda9dc4a7b0dfb0207211900e82f05c,1714
commercial_deg,chain_extender,crest_ensemble_lowest_xtb_energy,0002_000001_cf_6103aab19dfc84cbedf3,-25.83771865,discrete,输入构象/0002_000001_cf_6103aab19dfc84cbedf3.xyz,dde19705451c604ba00ad86d4c8b038460306260484a88830098ddc996f145e7,exact_discrete_commercial_substance,单体结构/commercial_deg.xyz,dde19705451c604ba00ad86d4c8b038460306260484a88830098ddc996f145e7,1129
commercial_eg,chain_extender,crest_ensemble_lowest_xtb_energy,0003_000001_cf_c97a91aafed997b037af,-15.45215476,discrete,输入构象/0003_000001_cf_c97a91aafed997b037af.xyz,a00c33a47dfd9729b1eaf31dfe954e45669c62c10b673e5d515bc6026832b0c5,exact_discrete_commercial_substance,单体结构/commercial_eg.xyz,a00c33a47dfd9729b1eaf31dfe954e45669c62c10b673e5d515bc6026832b0c5,674
commercial_hdo_16,chain_extender,crest_ensemble_lowest_xtb_energy,0004_000001_cf_e89e22b07f7d35bd6b32,-28.11017777,discrete,输入构象/0004_000001_cf_e89e22b07f7d35bd6b32.xyz,1bb74ee0dd4e3b88997df44e1d4f766b9f76a85aea5915cdf58d3f9688092334,exact_discrete_commercial_substance,单体结构/commercial_hdo_16.xyz,1bb74ee0dd4e3b88997df44e1d4f766b9f76a85aea5915cdf58d3f9688092334,1454
commercial_hqee,chain_extender,crest_ensemble_lowest_xtb_energy,0005_000001_cf_91c62a6d453c7f5a36b7,-44.79407404,discrete,输入构象/0005_000001_cf_91c62a6d453c7f5a36b7.xyz,8f475403f6da45486a2d5d2c5e8e5fdeefefe82b43046162355b344e1dc9da3c,exact_discrete_commercial_substance,单体结构/commercial_hqee.xyz,8f475403f6da45486a2d5d2c5e8e5fdeefefe82b43046162355b344e1dc9da3c,1844
commercial_npg,chain_extender,crest_ensemble_lowest_xtb_energy,0006_000001_cf_a5fab83b8a6ffa2c96a2,-24.95344152,discrete,输入构象/0006_000001_cf_a5fab83b8a6ffa2c96a2.xyz,fb03bcfdbcfff66f3fb7375117f7f126c998d2c84c85ffed6c435b47e3ba116e,exact_discrete_commercial_substance,单体结构/commercial_npg.xyz,fb03bcfdbcfff66f3fb7375117f7f126c998d2c84c85ffed6c435b47e3ba116e,1259
commercial_h12mdi,diisocyanate,crest_ensemble_lowest_xtb_energy,0007_000001_cf_63cd643d99daeb83a484,-57.4208626,discrete,输入构象/0007_000001_cf_63cd643d99daeb83a484.xyz,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,exact_discrete_commercial_substance,单体结构/commercial_h12mdi.xyz,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,2689
commercial_hdi,diisocyanate,crest_ensemble_lowest_xtb_energy,0008_000001_cf_9d9c9380992842bdad7a,-37.27234089,discrete,输入构象/0008_000001_cf_9d9c9380992842bdad7a.xyz,f803407f5b86187aa5b1156dabc45dfd2ef15e9c691991f4617d525bfe2e01f8,exact_discrete_commercial_substance,单体结构/commercial_hdi.xyz,f803407f5b86187aa5b1156dabc45dfd2ef15e9c691991f4617d525bfe2e01f8,1584
commercial_ipdi,diisocyanate,crest_ensemble_lowest_xtb_energy,0009_000001_cf_a2272d7c8aebbf4f6116,-48.93123979,discrete,输入构象/0009_000001_cf_a2272d7c8aebbf4f6116.xyz,7aaa51468f3a5e25aa7ddec14020f06327ced692d4da9a2d0922e8d2a3bff133,exact_discrete_commercial_substance,单体结构/commercial_ipdi.xyz,7aaa51468f3a5e25aa7ddec14020f06327ced692d4da9a2d0922e8d2a3bff133,2234
