task_index,task_slug,pair_index,pair_id,pair_type,diisocyanate_id,oh_component_id,oh_component_role,start_index,nco_site_number,oh_site_number,torsion_start_deg,torsion_collision_adjustment_deg,torsion_actual_deg,attack_side,attack_angle_deg,attack_azimuth_adjustment_deg,initial_reactive_distance_a,initial_min_interfragment_distance_a,geometry_status,execution_permission,nco_carbon_atom_index_1based,oh_oxygen_atom_index_1based,atom_count,charge,uhf,monomer_energy_sum_hartree,diisocyanate_xyz_sha256,oh_component_xyz_sha256,input_xyz_file,input_xyz_sha256,xcontrol_file,xcontrol_sha256,constraint_force_constant,xtb_version,xtb_binary_sha256,method,environment_model,optimization_level,calculation_scope,performance_claim_status,run_status,run_issue,association_energy_proxy_kcal_mol,complex_total_energy_hartree,final_reactive_distance_a,runtime_seconds,state_file
0,pair_3ea150d80d5c55174de7_s01,0,pair_3ea150d80d5c55174de7,diisocyanate_chain_extender,commercial_h12mdi,commercial_chdm_14,chain_extender,1,1,1,0,0,0,1,105,0,2.7,1.55134582409,ready,allowed,2,49,67,0,0,-90.85656104,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,6e7eb0daa12f37467e2b5f33b7358a827eda9dc4a7b0dfb0207211900e82f05c,输入复合物/pair_3ea150d80d5c55174de7_s01.xyz,75a2bc7ade0f37696037116c2623ac02a84c5e3f69bd3978f935e7882d427f77,约束/pair_3ea150d80d5c55174de7_s01.inp,b9fcc4a09a27c2531265717e843683e6e4538f9eae74e042e7b7b7accb5944aa,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-5.6245117432,-90.86552427,2.7010976596,3.104,状态/pair_3ea150d80d5c55174de7_s01.json
1,pair_3ea150d80d5c55174de7_s02,0,pair_3ea150d80d5c55174de7,diisocyanate_chain_extender,commercial_h12mdi,commercial_chdm_14,chain_extender,2,1,2,90,0,90,-1,105,0,2.7,2.43356250085,ready,allowed,2,51,67,0,0,-90.85656104,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,6e7eb0daa12f37467e2b5f33b7358a827eda9dc4a7b0dfb0207211900e82f05c,输入复合物/pair_3ea150d80d5c55174de7_s02.xyz,8329ba171f684d570542082621540e06a7c2f94b72b6ccfb56bfbef833c3ca73,约束/pair_3ea150d80d5c55174de7_s02.inp,6c1ed0fa193b387cbe5aa693661213695a2b79f284ce095e47f1e95d1e165919,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-3.19533471778,-90.86165313,2.70055610693,8.936,状态/pair_3ea150d80d5c55174de7_s02.json
2,pair_3ea150d80d5c55174de7_s03,0,pair_3ea150d80d5c55174de7,diisocyanate_chain_extender,commercial_h12mdi,commercial_chdm_14,chain_extender,3,2,1,180,0,180,-1,105,0,2.7,2.01012754437,ready,allowed,18,49,67,0,0,-90.85656104,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,6e7eb0daa12f37467e2b5f33b7358a827eda9dc4a7b0dfb0207211900e82f05c,输入复合物/pair_3ea150d80d5c55174de7_s03.xyz,f5081ae0546bc0335b15373514c703a879d280baac64f16e7e57aa0544d512dd,约束/pair_3ea150d80d5c55174de7_s03.inp,9fa3478a9034c6e088c03ea0ecdcdb2d00c43b2f856b15d295355647da3712f9,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-4.61813087399,-90.8639205,2.70180899435,13.604,状态/pair_3ea150d80d5c55174de7_s03.json
3,pair_3ea150d80d5c55174de7_s04,0,pair_3ea150d80d5c55174de7,diisocyanate_chain_extender,commercial_h12mdi,commercial_chdm_14,chain_extender,4,2,2,270,0,270,1,105,90,2.7,1.91389894116,ready,allowed,18,51,67,0,0,-90.85656104,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,6e7eb0daa12f37467e2b5f33b7358a827eda9dc4a7b0dfb0207211900e82f05c,输入复合物/pair_3ea150d80d5c55174de7_s04.xyz,aa51913648ca72edb03ae6b6e2a77fa41b0c4ac185b42f3be55f156d72c30a8f,约束/pair_3ea150d80d5c55174de7_s04.inp,677ca2f198e05cba8fb2f982c190d50e14dde93da8b45e058dced64e144f36b9,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-5.33130166635,-90.86505701,2.70181906706,7.159,状态/pair_3ea150d80d5c55174de7_s04.json
4,pair_3bc7f7b5c70bdd45dac4_s01,1,pair_3bc7f7b5c70bdd45dac4,diisocyanate_chain_extender,commercial_h12mdi,commercial_npg,chain_extender,1,1,1,0,-30,330,1,105,0,2.7,0.957008439668,ready,allowed,2,46,60,0,0,-82.37430412,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,fb03bcfdbcfff66f3fb7375117f7f126c998d2c84c85ffed6c435b47e3ba116e,输入复合物/pair_3bc7f7b5c70bdd45dac4_s01.xyz,f31e4423bb3ab108ea715cf5a3f32f0e358dad1766047dd64bcfde72a5ad0cdb,约束/pair_3bc7f7b5c70bdd45dac4_s01.inp,484856452708cdedcce43b3e184f2e431a098d94b33a4bb56b5e39ff1ad26a69,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-4.92232236663,-82.38214834,2.7012413154,2.86,状态/pair_3bc7f7b5c70bdd45dac4_s01.json
5,pair_3bc7f7b5c70bdd45dac4_s02,1,pair_3bc7f7b5c70bdd45dac4,diisocyanate_chain_extender,commercial_h12mdi,commercial_npg,chain_extender,2,1,2,90,0,90,-1,105,0,2.7,2.03354187312,ready,allowed,2,48,60,0,0,-82.37430412,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,fb03bcfdbcfff66f3fb7375117f7f126c998d2c84c85ffed6c435b47e3ba116e,输入复合物/pair_3bc7f7b5c70bdd45dac4_s02.xyz,5261eb40f19ae169df7deeddfb743e598b460a974916e4aaa5b2908fc0cd3584,约束/pair_3bc7f7b5c70bdd45dac4_s02.inp,c725b70dc2d5d479c3b1864fceb829ef46dc8bb465ec1bc806ea7457b7f84485,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-2.7160367064,-82.3786324,2.70245895756,2.935,状态/pair_3bc7f7b5c70bdd45dac4_s02.json
6,pair_3bc7f7b5c70bdd45dac4_s03,1,pair_3bc7f7b5c70bdd45dac4,diisocyanate_chain_extender,commercial_h12mdi,commercial_npg,chain_extender,3,2,1,180,0,180,-1,105,0,2.7,2.42936890559,ready,allowed,18,46,60,0,0,-82.37430412,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,fb03bcfdbcfff66f3fb7375117f7f126c998d2c84c85ffed6c435b47e3ba116e,输入复合物/pair_3bc7f7b5c70bdd45dac4_s03.xyz,218c63726c19b445996d46eb5d5b48233ac18924d5700a5bc6f24ba96bef1917,约束/pair_3bc7f7b5c70bdd45dac4_s03.inp,2b4e0b8f391d76773a05ee49332f2f4181a31e21d67f4861430e0fab520f86c8,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-5.2043000239,-82.3825977,2.70071421746,7.296,状态/pair_3bc7f7b5c70bdd45dac4_s03.json
7,pair_3bc7f7b5c70bdd45dac4_s04,1,pair_3bc7f7b5c70bdd45dac4,diisocyanate_chain_extender,commercial_h12mdi,commercial_npg,chain_extender,4,2,2,270,0,270,1,105,90,2.7,1.07792228557,ready,allowed,18,48,60,0,0,-82.37430412,ca94a72718ffa0164816b869ff3cbc7d21d56950ef6940a8c5062bcf23d23828,fb03bcfdbcfff66f3fb7375117f7f126c998d2c84c85ffed6c435b47e3ba116e,输入复合物/pair_3bc7f7b5c70bdd45dac4_s04.xyz,a0054b9a06f3a01aafd06cea62cf52d70659730a2648a47580d5fe5cd01b4af9,约束/pair_3bc7f7b5c70bdd45dac4_s04.inp,99a24382dbb38d653a1af0dbaea19125bcfa9eef8391667761dac6dcd1b53453,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-3.24175786867,-82.37947019,2.70071594728,8.639,状态/pair_3bc7f7b5c70bdd45dac4_s04.json
8,pair_607a6a8329ad6b63c6a5_s01,2,pair_607a6a8329ad6b63c6a5,diisocyanate_chain_extender,commercial_hdi,commercial_hdo_16,chain_extender,1,1,1,0,-30,330,1,105,45,2.7,1.0688732165,ready,allowed,2,29,46,0,0,-65.38251866,f803407f5b86187aa5b1156dabc45dfd2ef15e9c691991f4617d525bfe2e01f8,1bb74ee0dd4e3b88997df44e1d4f766b9f76a85aea5915cdf58d3f9688092334,输入复合物/pair_607a6a8329ad6b63c6a5_s01.xyz,ca36293ad88ddf48e8ec5d003a3929f0ea73645fc7afd747ea72bcdc00fad36f,约束/pair_607a6a8329ad6b63c6a5_s01.inp,d6e838a7a7f8cf509aa9526d5099686dbadb79fcdf6f7df4064a8a7583e3791f,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-4.01550215057,-65.38891777,2.70109554905,5.654,状态/pair_607a6a8329ad6b63c6a5_s01.json
9,pair_607a6a8329ad6b63c6a5_s02,2,pair_607a6a8329ad6b63c6a5,diisocyanate_chain_extender,commercial_hdi,commercial_hdo_16,chain_extender,2,1,2,90,0,90,-1,105,0,2.7,2.05105949885,ready,allowed,2,32,46,0,0,-65.38251866,f803407f5b86187aa5b1156dabc45dfd2ef15e9c691991f4617d525bfe2e01f8,1bb74ee0dd4e3b88997df44e1d4f766b9f76a85aea5915cdf58d3f9688092334,输入复合物/pair_607a6a8329ad6b63c6a5_s02.xyz,45a1721e0056d92a38ce0dfe07db4a4fc7280de44868b609997faa07aa6eb2c2,约束/pair_607a6a8329ad6b63c6a5_s02.inp,94f9e9f7b6504186c240de66701918fe5fed86583a1a2fb42925409ec8b6446e,0.5,6.7.1,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,GFN2-xTB,gas_phase,tight,constrained_prereaction_association_proxy,no_performance_claim,completed,,-7.7824038728,-65.39492071,2.69984751635,4.497,状态/pair_607a6a8329ad6b63c6a5_s02.json
