pair_id,pair_type,diisocyanate_id,oh_component_id,planned_starts,ready_starts,blocked_starts,completed_starts,nonconverged_starts,failed_or_pending_starts,pair_status,pair_quality_tier,pair_release_eligible,best_task_slug,best_association_energy_proxy_kcal_mol,median_association_energy_proxy_kcal_mol,association_energy_start_span_kcal_mol,best_final_reactive_distance_a,interpretation_limit,quality_warning
pair_3ea150d80d5c55174de7,diisocyanate_chain_extender,commercial_h12mdi,commercial_chdm_14,4,4,0,4,0,0,complete,admitted_reference,True,pair_3ea150d80d5c55174de7_s01,-5.6245117432,-4.97471627017,2.42917702543,2.7010976596,constrained_GFN2-xTB_prereaction_association_proxy_not_DFT_barrier,
pair_3bc7f7b5c70bdd45dac4,diisocyanate_chain_extender,commercial_h12mdi,commercial_npg,4,4,0,4,0,0,complete,admitted_reference,True,pair_3bc7f7b5c70bdd45dac4_s03,-5.2043000239,-4.08204011765,2.48826331751,2.70071421746,constrained_GFN2-xTB_prereaction_association_proxy_not_DFT_barrier,
pair_607a6a8329ad6b63c6a5,diisocyanate_chain_extender,commercial_hdi,commercial_hdo_16,4,4,0,3,1,0,conditional_nonconverged_starts,conditional_reference,True,pair_607a6a8329ad6b63c6a5_s02,-7.7824038728,-7.46822242933,3.76690172222,2.69984751635,constrained_GFN2-xTB_prereaction_association_proxy_not_DFT_barrier,one_or_more_multistart_geometries_not_converged
pair_2b9627b1261e4b218da8,diisocyanate_chain_extender,commercial_ipdi,commercial_bdo_14,4,4,0,3,1,0,conditional_nonconverged_starts,conditional_reference,True,pair_2b9627b1261e4b218da8_s03,-6.98292542737,7.34042384985,17.431516654,2.70293841874,constrained_GFN2-xTB_prereaction_association_proxy_not_DFT_barrier,one_or_more_multistart_geometries_not_converged
pair_2ac1f6ff9ec115897862,diisocyanate_chain_extender,commercial_ipdi,commercial_eg,4,4,0,4,0,0,complete,admitted_reference,True,pair_2ac1f6ff9ec115897862_s04,-5.03608983428,-4.18772840082,21.2285953068,2.70163695634,constrained_GFN2-xTB_prereaction_association_proxy_not_DFT_barrier,
pair_fd001194f5aff44100ff,diisocyanate_chain_extender,commercial_mdi_44,commercial_bdo_14,4,4,0,3,1,0,conditional_nonconverged_starts,conditional_reference,True,pair_fd001194f5aff44100ff_s01,-6.72504413391,-4.91911579322,2.04559303412,2.70078177199,constrained_GFN2-xTB_prereaction_association_proxy_not_DFT_barrier,one_or_more_multistart_geometries_not_converged
pair_597bf6d46537121911f9,diisocyanate_chain_extender,commercial_mdi_44,commercial_deg,4,4,0,3,1,0,conditional_nonconverged_starts,conditional_reference,True,pair_597bf6d46537121911f9_s01,-6.8255209509,-5.88582551349,3.79591148522,2.70080778736,constrained_GFN2-xTB_prereaction_association_proxy_not_DFT_barrier,one_or_more_multistart_geometries_not_converged
pair_3f18c776b3702a389f8b,diisocyanate_chain_extender,commercial_ndi_15,commercial_hqee,4,4,0,3,1,0,conditional_nonconverged_starts,conditional_reference,True,pair_3f18c776b3702a389f8b_s04,-4.80127578909,-3.83669960103,1.08545333805,2.70064592731,constrained_GFN2-xTB_prereaction_association_proxy_not_DFT_barrier,one_or_more_multistart_geometries_not_converged
pair_90a17c3807fb14954fff,diisocyanate_chain_extender,commercial_pdi_15,commercial_chdm_14,4,4,0,3,1,0,conditional_nonconverged_starts,conditional_reference,True,pair_90a17c3807fb14954fff_s01,-5.65766934382,-3.69862869146,2.99252993086,2.70219684663,constrained_GFN2-xTB_prereaction_association_proxy_not_DFT_barrier,one_or_more_multistart_geometries_not_converged
pair_853f476a9d9d031b71ca,diisocyanate_chain_extender,commercial_tdi_24,commercial_bdo_14,4,4,0,4,0,0,complete,admitted_reference,True,pair_853f476a9d9d031b71ca_s02,-7.18701033362,-4.75119425796,26.3588303875,2.70094735748,constrained_GFN2-xTB_prereaction_association_proxy_not_DFT_barrier,
