pair_index,pair_id,pair_type,diisocyanate_id,oh_component_id,oh_component_role,formulation_count,formulation_ids,base_system_count,base_system_ids
0,pair_3ea150d80d5c55174de7,diisocyanate_chain_extender,commercial_h12mdi,commercial_chdm_14,chain_extender,1,commercial_system_cd065d7488917087_aa4e010292f6d778,1,commercial_system_cd065d7488917087
1,pair_3bc7f7b5c70bdd45dac4,diisocyanate_chain_extender,commercial_h12mdi,commercial_npg,chain_extender,1,commercial_system_275f68de57f6a031_707fe304b16717b6,1,commercial_system_275f68de57f6a031
2,pair_607a6a8329ad6b63c6a5,diisocyanate_chain_extender,commercial_hdi,commercial_hdo_16,chain_extender,1,commercial_system_aecb4daa61e5bf61_aa4e010292f6d778,1,commercial_system_aecb4daa61e5bf61
3,pair_2b9627b1261e4b218da8,diisocyanate_chain_extender,commercial_ipdi,commercial_bdo_14,chain_extender,2,commercial_system_70d2f0f7e0facf07_d4bd65fe8c7c0e5c;commercial_system_7faa7e08bccea0b7_aa4e010292f6d778,2,commercial_system_70d2f0f7e0facf07;commercial_system_7faa7e08bccea0b7
4,pair_2ac1f6ff9ec115897862,diisocyanate_chain_extender,commercial_ipdi,commercial_eg,chain_extender,1,commercial_system_0a4072d5b07dec7f_aa4e010292f6d778,1,commercial_system_0a4072d5b07dec7f
5,pair_fd001194f5aff44100ff,diisocyanate_chain_extender,commercial_mdi_44,commercial_bdo_14,chain_extender,2,commercial_system_59ebf4f5a2e01a54_d4bd65fe8c7c0e5c;commercial_system_8f78b79e85d09a49_aa4e010292f6d778,2,commercial_system_59ebf4f5a2e01a54;commercial_system_8f78b79e85d09a49
6,pair_597bf6d46537121911f9,diisocyanate_chain_extender,commercial_mdi_44,commercial_deg,chain_extender,1,commercial_system_85feea981e4448c2_707fe304b16717b6,1,commercial_system_85feea981e4448c2
7,pair_3f18c776b3702a389f8b,diisocyanate_chain_extender,commercial_ndi_15,commercial_hqee,chain_extender,1,commercial_system_50aa43042a8e77b6_707fe304b16717b6,1,commercial_system_50aa43042a8e77b6
8,pair_90a17c3807fb14954fff,diisocyanate_chain_extender,commercial_pdi_15,commercial_chdm_14,chain_extender,1,commercial_system_1e9a19535918fee7_707fe304b16717b6,1,commercial_system_1e9a19535918fee7
9,pair_853f476a9d9d031b71ca,diisocyanate_chain_extender,commercial_tdi_24,commercial_bdo_14,chain_extender,1,commercial_system_14b9dea0be44a0a8_707fe304b16717b6,1,commercial_system_14b9dea0be44a0a8
10,pair_19e6c3e0a0de52025d7a,diisocyanate_macrodiol,commercial_h12mdi,commercial_ptmg_1800,macrodiol_proxy,1,commercial_system_275f68de57f6a031_707fe304b16717b6,1,commercial_system_275f68de57f6a031
11,pair_d0340fb5d58cddfcd8e1,diisocyanate_macrodiol,commercial_h12mdi,commercial_ptmg_2000,macrodiol_proxy,1,commercial_system_cd065d7488917087_aa4e010292f6d778,1,commercial_system_cd065d7488917087
12,pair_c331ce60e3e4002a477c,diisocyanate_macrodiol,commercial_hdi,commercial_ptmg_1800,macrodiol_proxy,1,commercial_system_aecb4daa61e5bf61_aa4e010292f6d778,1,commercial_system_aecb4daa61e5bf61
13,pair_d2c043f5b3c834e8f59f,diisocyanate_macrodiol,commercial_ipdi,commercial_ptmg_1000,macrodiol_proxy,1,commercial_system_7faa7e08bccea0b7_aa4e010292f6d778,1,commercial_system_7faa7e08bccea0b7
14,pair_7281369a0f23aafabcfb,diisocyanate_macrodiol,commercial_ipdi,commercial_ptmg_2000,macrodiol_proxy,1,commercial_system_70d2f0f7e0facf07_d4bd65fe8c7c0e5c,1,commercial_system_70d2f0f7e0facf07
15,pair_d0f7348c2ab6da21546e,diisocyanate_macrodiol,commercial_ipdi,commercial_ptmg_650,macrodiol_proxy,1,commercial_system_0a4072d5b07dec7f_aa4e010292f6d778,1,commercial_system_0a4072d5b07dec7f
16,pair_5122a20522ecb6d42280,diisocyanate_macrodiol,commercial_mdi_44,commercial_ptmg_1000,macrodiol_proxy,1,commercial_system_8f78b79e85d09a49_aa4e010292f6d778,1,commercial_system_8f78b79e85d09a49
17,pair_86897ffb45df49ff7132,diisocyanate_macrodiol,commercial_mdi_44,commercial_ptmg_1800,macrodiol_proxy,1,commercial_system_85feea981e4448c2_707fe304b16717b6,1,commercial_system_85feea981e4448c2
18,pair_1eed3bf4b6fc24a22592,diisocyanate_macrodiol,commercial_mdi_44,commercial_ptmg_2000,macrodiol_proxy,1,commercial_system_59ebf4f5a2e01a54_d4bd65fe8c7c0e5c,1,commercial_system_59ebf4f5a2e01a54
19,pair_40af32527bfdc13057fd,diisocyanate_macrodiol,commercial_ndi_15,commercial_ptmg_650,macrodiol_proxy,1,commercial_system_50aa43042a8e77b6_707fe304b16717b6,1,commercial_system_50aa43042a8e77b6
20,pair_d434badaff61c4b9cbd1,diisocyanate_macrodiol,commercial_pdi_15,commercial_ptmg_1400,macrodiol_proxy,1,commercial_system_1e9a19535918fee7_707fe304b16717b6,1,commercial_system_1e9a19535918fee7
21,pair_7d06ceb5c63af0dd1f38,diisocyanate_macrodiol,commercial_tdi_24,commercial_ptmg_2000,macrodiol_proxy,1,commercial_system_14b9dea0be44a0a8_707fe304b16717b6,1,commercial_system_14b9dea0be44a0a8
